id,Larvae_Count,Notes,Condition
SB2020-05,NA,not sorted due to condition,B
SB2020-06,NA,not sorted due to condition,B
SB2020-07,NA,not sorted due to condition,B
SB2020-08,NA,not sorted due to condition,B
SB2020-09,NA,not sorted due to condition,B
SB2020-10,NA,not sorted due to condition,B
GB2020-02,NA,not sorted due to condition,B
GB2020-03,NA,not sorted due to condition,B
GB2020-04,NA,not sorted due to condition,B
GB2020-05,NA,not sorted due to condition,B
GB2019-01,NA,Rotten did not sort,B
GB2019-02,NA,Rotten did not sort,B
