Ground,Lat,Lon,Official
NB Coastal,45.095,-66.476,NB Coastal
Grand Manan,44.611,-66.66655556,Grand Manan
Grand Manan Banks,44.33325,-66.9375,Grand Manan Banks
Long Island,44.33344444,-66.35166667,Long Island
German Bank,43.3,-66.8334,German Bank
Seal Island,43.35714286,-65.619,Seal Island
Scots Bay,45,-65.57563636,Scots Bay
Yankee,44.85714286,-66.095,Yankee
Trinity,44.0334,-66.3,Trinity
Browns Bank,42.4998,-66.8998,Browns Bank
SW Grounds,43.02385714,-66.45242857,SW Grounds
Gannet Dry Ledge,43.69042857,-66.52385714,Gannet Dry Ledge
Lurcher,43.85714286,-66.88085714,Lurcher
,,,
Back Bay,45.04816667,66.854,
Blacks Harbour,45.052645,-66.793285,
Blisses,45.01983333,66.8445,
Bradfords Cove,44.60584,-66.94,
Campobello,44.89316667,-66.959,
Chance Harbour,45.131,-66.3485,
Chattis Point,45.016,-66.9,
Cora Bell,44.7564,-66.7342,
Crow Harbour,45.10216667,-66.61083333,
Crow Island,45.04283333,-66.88016667,
Curry Cove,44.92866667,-66.9365,
Deadmans,45.04983333,-66.771,
Deep Cove,45.11933333,-66.52616667,
Digdeguash Basin,45.19116667,-66.95966667,
Fairhaven,44.96583333,-67.01016667,
Friers Bay,44.8865,-66.95283333,
Fryes Island,45.06583333,-66.8365,
Herring Cove,44.87466667,-66.92183333,
Indian Island,44.932,-66.966,
Iron Lady,44.75683333,-66.75,
Lawrence Cove,45.00183333,-66.9485,
Leonardville,44.97483333,-66.9515,
Lepreau,45.14533333,-66.485,
Lords Cove,45.00183333,-66.9485,
Meadow Brook,44.88083333,-66.9125,
Mill Cove,44.93033333,-66.90466667,
Money Cove,44.777,-66.82,
Mumps,44.67364,-66.686615,
New River,45.1315,-66.53383333,
Oak Bay,45.22416667,-67.17916667,
Patridge Island,45.2375,-66.052,
Pipe Dream,44.74283333,-66.75,
Red Head,45.10633333,-66.6005,
Round Meadow,45.10566667,-66.49716667,
Sand Beach,45.00616667,-66.9,
Sandy Cove,45.07083333,-66.68116667,Long Island
Schooner Cove,44.9,-66.902,
Seelys Basin,45.07166667,-66.67883333,
Seelys Cove,45.08633333,-66.65033333,
Seelys Head,45.04533333,-66.78,
Ship Beach,44.97816667,-66.69433333,
Spectacle,44.99033333,-66.91533333,
Spider Cove,45.02916667,-66.827,
Spruce Cove,45.02566667,-66.86116667,
Tuckers Cove,45.01716667,-66.84833333,
Whale Cove,44.77283333,-66.758,
Winner,44.77433333,-66.76016667,
Wolves,44.95533333,-66.72105556,
,,,
Beaver Harbour,45.0456118,-66.73253046,
Block Island,41.16518921,-71.51952191,
Cape Cod,41.93737305,-70.31897133,
Cape Cod Island,41.93737305,-70.31897133,
Caraquet,47.95945882,-64.97430071,
Deer Island,44.12778656,-68.57367468,
Dipper Harbour,45.08319767,-66.38234915,
Eagle Island,45.03,-66.87,
Emerald Basin,43.93238838,-63.56728998,
Georges Bank,41.6857638,-67.43312954,
Gloucester,42.66990965,-70.56927822,
Halifax,44.50120419,-63.350585,
Jeffreys Ledge,42.84561449,-70.2785453,
Letang,45.05463326,-66.82447571,
L'etete,45.05919424,-66.92032799,
Long Island Shoal,44.3443951,-66.34333657,
Maces Bay,45.08543954,-66.49890408,
Margaretsville,45.06269418,-65.07807333,
Montauk,41.08410176,-71.78377623,
Moores Ledge,44.03835829,-68.66055861,
Moose Island,44.89083083,-66.98362489,
Moriches,40.76967358,-72.78866097,
Mt Desert,44.22250499,-68.1347541,
Narragansett,41.41855419,-71.40934304,
Nauset Beach,41.78625851,-69.92909104,
NE Banks,44.27697,-67.055,
Passamaquoddy,45.09881325,-66.98237386,
Point Judith,41.35334783,-71.47100556,
Port Mouton,43.92620148,-64.80896741,
Prong,44.41020588,-66.73238236,Grand Manan
Rhode Island,41.41460769,-71.35063657,
Roseway,43.62558316,-65.32248582,
Schoodic Ridge,44.32285195,-68.05717077,
Seelys Head,45.08633333,-66.65033333,
Seelys Cove,45.083633,-66.65,
Sheet Harbour,44.79921858,-62.50327167,
Shelburne,43.3,-64.75,
Ship Head Cove,44.91616667,-66.88983333,
St Andrews Bay,45.06925971,-67.05879512,
St Marys Bay,44.43039754,-66.09021807,
Teardrop,44.42,-66.725,
Thatchers Island,42.63782397,-70.57020679,
The Patch,44.35,-62.25,Offshore Banks
Tusket Basin,42.83436333,-66.7513967,
Western Head,43.97724536,-64.67842978,
White Head,44.29816667,-66.65083333,Grand Manan
Bullpen,44.33333333,-61.6,
Centerville,44.51033333,-66.10066667,
Crab Rock,45.02,-66.85,
Mystrey Island,44.78,-66.76,
Sea Wall,44.75,-66.84,
North Head,44.75915098,-66.739379,
Horseshoe,43.65,-66.9,
East of Gully,43.45,-66.21666667,
Kettle Bottom,43.5,-69.5,
Hudson Canyon,39.44444609,-72.19678104,
,,,
Middle Banks,,,
Murphy's Weir,,,
NW Banks,,,
NW Shoal,,,
The Rip,,,
Toms River,,,
