id,PID,POS,X,Y,Box
1,1,1,-65.202,45.012,ScotsBay
2,1,2,-65.202,45.174,ScotsBay
3,1,3,-64.834,45.315,ScotsBay
4,1,4,-64.672,45.218,ScotsBay
5,2,1,-66.473,43.567,GermanBank
6,2,2,-66.26,43.567,GermanBank
7,2,3,-66.26,43.233,GermanBank
8,2,4,-66.473,43.233,GermanBank
9,3,1,-67.19,44.35394,NortheastBank
10,3,2,-66.92,44.35394,NortheastBank
11,3,3,-66.92,44.07592,NortheastBank
12,3,4,-67.19,44.07592,NortheastBank
13,4,1,-66.83,43.58,FeedingGround
14,4,2,-66.6,43.58,FeedingGround
15,4,3,-66.6,43.41,FeedingGround
16,4,4,-66.83,43.41,FeedingGround
17,5,1,-65.255,45.03,SBPlanktonBox
18,5,2,-65.11,45.07,SBPlanktonBox
19,5,3,-65.11,45.113,SBPlanktonBox
20,5,4,-65.255,45.075,SBPlanktonBox
21,6,1,-66.0665,43.42765,Seal_Past
22,6,2,-66.0665,43.2529,Seal_Past
23,6,3,-65.9831,43.2529,Seal_Past
24,6,4,-65.9831,43.42765,Seal_Past
25,7,1,-66.24,43.56,Seal_2018A
26,7,2,-66.24,43.33,Seal_2018A
27,7,3,-66.08,43.33,Seal_2018A
28,7,4,-66.08,43.56,Seal_2018A
29,8,1,-66.18333,43.55861,Seal_Owen
30,8,2,-66.18333,43.5,Seal_Owen
31,8,3,-66.15278,43.5,Seal_Owen
32,8,4,-66.15278,43.55861,Seal_Owen
33,9,1,-66.3767,43.567,Tow
34,9,2,-66.3767,43.41778,Tow
35,9,3,-66.3,43.41778,Tow
36,9,4,-66.3,43.567,Tow
37,10,1,-65.48,43.08,SI_2003
38,10,2,-65.48,43.07,SI_2003
39,10,3,-65.46,43.07,SI_2003
40,10,4,-65.46,43.08,SI_2003
41,11,1,-66.833,43.75,GBCatchBox
42,11,2,-66.0833,43.75,GBCatchBox
43,11,3,-66.0833,43,GBCatchBox
44,11,4,-66.833,43,GBCatchBox
45,12,1,-66.368,43.572,GBocean
46,12,2,-66.368,43.56,GBocean
47,12,3,-66.35,43.56,GBocean
48,12,4,-66.35,43.572,GBocean
49,13,1,-65.218,45.062,SBocean
50,13,2,-65.218,45.05,SBocean
51,13,3,-65.2,45.05,SBocean
52,13,4,-65.2,45.062,SBocean
53,14,1,-66.11666667,43.73333333,ChadSeal
54,14,2,-66.14833333,43.635,ChadSeal
55,14,3,-66.04,43.50833333,ChadSeal
56,14,4,-65.74166667,43.50833333,ChadSeal
57,15,1,-66.229,43.502,Seal_2019
58,15,2,-66.229,43.2475,Seal_2019
59,15,3,-66.075,43.2475,Seal_2019
60,15,4,-66.075,43.502,Seal_2019
61,16,1,-65.4,45.38,SBCatchBox
62,16,2,-64.6,45.38,SBCatchBox
63,16,3,-64.6,45.205,SBCatchBox
64,16,4,-65.4,44.92,SBCatchBox
65,17,1,-66.218,43.392,SL_2019
66,17,2,-66.148,43.373,SL_2019
67,17,3,-66.16,43.299,SL_2019
68,17,4,-66.23,43.299,SL_2019
