id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,,,,,,,,,,,,,,,,,,,,,,
2,2,BP_T02,Transect,,,,,,,,,,,,,,,,,,,,,,
3,1,C1_T01,Transect,,,,,,,,,,,,,,,,,,,,,,
4,2,C1_T02,Transect,,,,,,,,,,,,,,,,,,,,,,
5,1,FM_T01,Transect,,,,,,,,,,,,,,,,,,,,,,
6,2,FM_T02,Transect,,,,,,,,,,,,,,,,,,,,,,
7,1,LJ_T01,Transect,,,,,,,,,,,,,,,,,,,,,,
8,2,LJ_T02,Transect,,,,,,,,,,,,,,,,,,,,,,
9,1,LM_T01,Transect,,,,,,,,,,,,,,,,,,,,,,
10,2,LM_T02,Transect,,,,,,,,,,,,,,,,,,,,,,
11,1,MS_T01,Transect,,,,,,,,,,,,,,,,,,,,,,
12,2,MS_T02,Transect,,,,,,,,,,,,,,,,,,,,,,
13,1,SL_T01,Transect,,,,,,,,,,,,,,,,,,,,,,
14,2,SL_T02,Transect,,,,,,,,,,,,,,,,,,,,,,
