Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2022-09-25T19:55:04Z,2022-09-25T22:19:06Z,-66.4780151,43.56564699,-66.47819092,43.23364633,36.960347918,Actual,4,GB,36.960347918,2022-09-25T19:55:04Z,2022-09-25T22:19:06Z,144.03333333333333,8.313469416445859,2022,2022-09-25
BP,T02,2022-09-25T22:59:05Z,2022-09-26T01:15:04Z,-66.34417003,43.23356204,-66.34432761,43.56541871,36.94410367,Actual,4,GB,36.94410367,2022-09-25T22:59:05Z,2022-09-26T01:15:04Z,135.98333333333332,8.801743654601397,2022,2022-09-25
C1,T01,2022-09-25T19:53:34Z,2022-09-25T22:18:44Z,-66.49460528,43.56853528,-66.49566309,43.23423651,40.586277924,Actual,4,GB,40.586277924,2022-09-25T19:53:34Z,2022-09-25T22:18:44Z,145.16666666666666,9.057776174487735,2022,2022-09-25
C1,T02,2022-09-25T22:57:19Z,2022-09-26T01:17:56Z,-66.35928771,43.23477314,-66.35831536,43.56637791,39.73814492,Actual,4,GB,39.73814492,2022-09-25T22:57:19Z,2022-09-26T01:17:56Z,140.61666666666667,9.155457582232168,2022,2022-09-25
FM,T01,2022-09-26T20:47:40Z,2022-09-26T23:19:34Z,-66.38880791,43.56667541,-66.38866511,43.23346144,38.425992416,Actual,4,GB,38.425992416,2022-09-26T20:47:40Z,2022-09-26T23:19:34Z,151.9,8.195521296677358,2022,2022-09-26
FM,T02,2022-09-26T23:56:41Z,2022-09-27T02:20:15Z,-66.25556003,43.23541435,-66.25497382,43.56760208,37.97223828,Actual,4,GB,37.97223828,2022-09-26T23:56:41Z,2022-09-27T02:20:15Z,143.56666666666666,8.568836273298723,2022,2022-09-26
LB,T01,2022-09-25T19:52:19Z,2022-09-25T22:34:14Z,-66.43373964,43.56663035,-66.43356089,43.23291815,38.509904001,Actual,4,GB,38.509904001,2022-09-25T19:52:19Z,2022-09-25T22:34:14Z,161.91666666666666,7.705310529418821,2022,2022-09-25
LB,T02,2022-09-25T23:18:05Z,2022-09-26T01:32:55Z,-66.29943415,43.23305826,-66.29968527,43.56595913,37.83893051,Actual,4,GB,37.83893051,2022-09-25T23:18:05Z,2022-09-26T01:32:55Z,134.83333333333334,9.091820356311295,2022,2022-09-25
LJ,T01,2022-09-25T19:58:03Z,2022-09-25T22:22:24Z,-66.37413333,43.56519843,-66.37420601,43.23344672,36.964408493,Actual,4,GB,36.964408493,2022-09-25T19:58:03Z,2022-09-25T22:22:24Z,144.35,8.296143148023683,2022,2022-09-25
LJ,T02,2022-09-25T23:01:26Z,2022-09-26T01:21:27Z,-66.23986667,43.23377809,-66.23991667,43.56657349,37.07358121,Actual,4,GB,37.07358121,2022-09-25T23:01:26Z,2022-09-26T01:21:27Z,140.01666666666668,8.57815856436691,2022,2022-09-25
LM,T01,2022-09-25T19:51:45Z,2022-09-25T22:21:21Z,-66.44820992,43.56790747,-66.44826219,43.23272324,38.00424797,Actual,4,GB,38.00424797,2022-09-25T19:51:45Z,2022-09-25T22:21:21Z,149.6,8.230189101381997,2022,2022-09-25
LM,T02,2022-09-25T23:00:18Z,2022-09-26T01:21:43Z,-66.31456039,43.23170984,-66.31422503,43.56643339,37.77306395,Actual,4,GB,37.77306395,2022-09-25T23:00:18Z,2022-09-26T01:21:43Z,141.41666666666666,8.653481747621452,2022,2022-09-25
MS,T01,2022-09-25T19:58:45Z,2022-09-25T22:36:33Z,-66.46403955,43.56568163,-66.46345881,43.2324913,39.780145286,Actual,4,GB,39.780145286,2022-09-25T19:58:45Z,2022-09-25T22:36:33Z,157.79999999999998,8.16711423877675,2022,2022-09-25
MS,T02,2022-09-25T23:20:50Z,2022-09-26T01:45:56Z,-66.32834029,43.23519245,-66.32928174,43.5669447,39.45658456,Actual,4,GB,39.45658456,2022-09-25T23:20:50Z,2022-09-26T01:45:56Z,145.1,8.809704494728969,2022,2022-09-25
TM,T01,2022-09-25T19:54:06Z,2022-09-25T22:26:50Z,-66.41843333,43.56844065,-66.41927324,43.23409801,37.218285082,Actual,4,GB,37.218285082,2022-09-25T19:54:06Z,2022-09-25T22:26:50Z,152.73333333333335,7.894630213203284,2022,2022-09-25
TM,T02,2022-09-25T23:07:21Z,2022-09-26T01:29:47Z,-66.28563978,43.23393837,-66.2844572,43.5689856,37.26843606,Actual,4,GB,37.26843606,2022-09-25T23:07:21Z,2022-09-26T01:29:47Z,142.43333333333334,8.476933858047087,2022,2022-09-25
BP,T03,2022-09-26T02:08:05Z,2022-09-26T03:53:07Z,-66.21499932,43.50013128,-66.21679,43.25011336,27.8098812,Actual,4,GB,27.8098812,2022-09-26T02:08:05Z,2022-09-26T03:53:07Z,105.03333333333333,8.577905343035228,2022,2022-09-26
C1,T03,2022-09-26T01:56:07Z,2022-09-26T03:45:58Z,-66.23014167,43.50219729,-66.22895189,43.24501215,30.7421508,Actual,4,GB,30.7421508,2022-09-26T01:56:07Z,2022-09-26T03:45:58Z,109.85,9.066579033693218,2022,2022-09-26
FM,T03,2022-09-27T03:00:00Z,2022-09-27T04:48:59Z,-66.1373752,43.49939523,-66.1376772,43.24611249,29.127537,Actual,4,GB,29.127537,2022-09-27T03:00:00Z,2022-09-27T04:48:59Z,108.98333333333333,8.658704927677014,2022,2022-09-27
LB,T03,2022-09-26T02:15:32Z,2022-09-26T04:02:30Z,-66.17718,43.504875,-66.17751201,43.24725674,29.4161017,Actual,4,GB,29.4161017,2022-09-26T02:15:32Z,2022-09-26T04:02:30Z,106.96666666666667,8.909347947729511,2022,2022-09-26
LJ,T03,2022-09-26T01:59:03Z,2022-09-26T03:52:12Z,-66.12509485,43.50314091,-66.12490175,43.24719211,28.66076064,Actual,4,GB,28.66076064,2022-09-26T01:59:03Z,2022-09-26T03:52:12Z,113.14999999999999,8.206206063110562,2022,2022-09-26
LM,T03,2022-09-26T02:00:23Z,2022-09-26T03:57:55Z,-66.19048247,43.50349351,-66.18968224,43.24694885,29.0695433,Actual,4,GB,29.0695433,2022-09-26T02:00:23Z,2022-09-26T03:57:55Z,117.53333333333333,8.012839059596145,2022,2022-09-26
MS,T03,2022-09-26T02:29:55Z,2022-09-26T04:18:09Z,-66.20286668,43.50084589,-66.2036106,43.2466689,29.7550048,Actual,4,GB,29.7550048,2022-09-26T02:29:55Z,2022-09-26T04:18:09Z,108.23333333333333,8.90652425784293,2022,2022-09-26
TM,T03,2022-09-26T02:11:40Z,2022-09-26T03:57:01Z,-66.16423333,43.49761789,-66.16530275,43.24750565,27.8186348,Actual,4,GB,27.8186348,2022-09-26T02:11:40Z,2022-09-26T03:57:01Z,105.35,8.554813331693087,2022,2022-09-26
LJ,NA,NA,NA,-66.37416667,43.56666667,-66.37416667,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-66.24,43.56666667,-66.24,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-66.125,43.502,-66.125,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-66.389,43.56666667,-66.389,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-66.25483333,43.56666667,-66.25483333,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-66.13813333,43.502,-66.13813333,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
SL,NA,NA,NA,-66.404,43.56666667,-66.404,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
SL,NA,NA,NA,-66.26983333,43.56666667,-66.26983333,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
SL,NA,NA,NA,-66.15125,43.502,-66.15125,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
TM,NA,NA,NA,-66.41883333,43.56666667,-66.41883333,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
TM,NA,NA,NA,-66.284666669999993,43.56666667,-66.284666669999993,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
TM,NA,NA,NA,-66.16438333,43.502,-66.16438333,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-66.43366667,43.56666667,-66.43366667,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-66.29966667,43.56666667,-66.29966667,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-66.1775,43.502,-66.1775,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-66.44866667,43.56666667,-66.44866667,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-66.3145,43.56666667,-66.3145,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-66.19063333,43.502,-66.19063333,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-66.4635,43.56666667,-66.4635,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-66.32933333,43.56666667,-66.32933333,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-66.20375,43.502,-66.20375,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-66.4785,43.56666667,-66.4785,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-66.34433333,43.56666667,-66.34433333,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-66.21688333,43.502,-66.21688333,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,-66.49333333,43.56666667,-66.49333333,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,-66.35916667,43.56666667,-66.35916667,43.23333333,NA,Plan,4,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,-66.23,43.502,-66.23,43.2475,NA,Plan,4,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
