Vessel,Start Lat,Start Lon,End Lat,End Lon
LJ,43.56666667,-66.37416667,43.23333333,-66.37416667
LJ,43.56666667,-66.24,43.23333333,-66.24
LJ,43.502,-66.125,43.2475,-66.125
FM,43.56666667,-66.389,43.23333333,-66.389
FM,43.56666667,-66.25483333,43.23333333,-66.25483333
FM,43.502,-66.13813333,43.2475,-66.13813333
SL,43.56666667,-66.404,43.23333333,-66.404
SL,43.56666667,-66.26983333,43.23333333,-66.26983333
SL,43.502,-66.15125,43.2475,-66.15125
TM,43.56666667,-66.41883333,43.23333333,-66.41883333
TM,43.56666667,-66.28466667,43.23333333,-66.28466667
TM,43.502,-66.16438333,43.2475,-66.16438333
LB,43.56666667,-66.43366667,43.23333333,-66.43366667
LB,43.56666667,-66.29966667,43.23333333,-66.29966667
LB,43.502,-66.1775,43.2475,-66.1775
LM,43.56666667,-66.44866667,43.23333333,-66.44866667
LM,43.56666667,-66.3145,43.23333333,-66.3145
LM,43.502,-66.19063333,43.2475,-66.19063333
MS,43.56666667,-66.4635,43.23333333,-66.4635
MS,43.56666667,-66.32933333,43.23333333,-66.32933333
MS,43.502,-66.20375,43.2475,-66.20375
BP,43.56666667,-66.4785,43.23333333,-66.4785
BP,43.56666667,-66.34433333,43.23333333,-66.34433333
BP,43.502,-66.21688333,43.2475,-66.21688333
C1,43.56666667,-66.49333333,43.23333333,-66.49333333
C1,43.56666667,-66.35916667,43.23333333,-66.35916667
C1,43.502,-66.23,43.2475,-66.23
