Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2022-09-25 19:55:04,2022-09-25 22:19:06,-66.4780151,43.56564699,-66.47819092,43.23364633,36.960347918
BP,T02,2022-09-25 22:59:05,2022-09-26 01:15:04,-66.34417003,43.23356204,-66.34432761,43.56541871,36.94410367
C1,T01,2022-09-25 19:53:34,2022-09-25 22:18:44,-66.49460528,43.56853528,-66.49566309,43.23423651,40.586277924
C1,T02,2022-09-25 22:57:19,2022-09-26 01:17:56,-66.35928771,43.23477314,-66.35831536,43.56637791,39.73814492
FM,T01,2022-09-26 20:47:40,2022-09-26 23:19:34,-66.38880791,43.56667541,-66.38866511,43.23346144,38.425992416
FM,T02,2022-09-26 23:56:41,2022-09-27 02:20:15,-66.25556003,43.23541435,-66.25497382,43.56760208,37.97223828
LB,T01,2022-09-25 19:52:19,2022-09-25 22:34:14,-66.43373964,43.56663035,-66.43356089,43.23291815,38.509904001
LB,T02,2022-09-25 23:18:05,2022-09-26 01:32:55,-66.29943415,43.23305826,-66.29968527,43.56595913,37.83893051
LJ,T01,2022-09-25 19:58:03,2022-09-25 22:22:24,-66.37413333,43.56519843,-66.37420601,43.23344672,36.964408493
LJ,T02,2022-09-25 23:01:26,2022-09-26 01:21:27,-66.23986667,43.23377809,-66.23991667,43.56657349,37.07358121
LM,T01,2022-09-25 19:51:45,2022-09-25 22:21:21,-66.44820992,43.56790747,-66.44826219,43.23272324,38.00424797
LM,T02,2022-09-25 23:00:18,2022-09-26 01:21:43,-66.31456039,43.23170984,-66.31422503,43.56643339,37.77306395
MS,T01,2022-09-25 19:58:45,2022-09-25 22:36:33,-66.46403955,43.56568163,-66.46345881,43.2324913,39.780145286
MS,T02,2022-09-25 23:20:50,2022-09-26 01:45:56,-66.32834029,43.23519245,-66.32928174,43.5669447,39.45658456
TM,T01,2022-09-25 19:54:06,2022-09-25 22:26:50,-66.41843333,43.56844065,-66.41927324,43.23409801,37.218285082
TM,T02,2022-09-25 23:07:21,2022-09-26 01:29:47,-66.28563978,43.23393837,-66.2844572,43.5689856,37.26843606
BP,T03,2022-09-26 02:08:05,2022-09-26 03:53:07,-66.21499932,43.50013128,-66.21679,43.25011336,27.8098812
C1,T03,2022-09-26 01:56:07,2022-09-26 03:45:58,-66.23014167,43.50219729,-66.22895189,43.24501215,30.7421508
FM,T03,2022-09-27 03:00:00,2022-09-27 04:48:59,-66.1373752,43.49939523,-66.1376772,43.24611249,29.127537
LB,T03,2022-09-26 02:15:32,2022-09-26 04:02:30,-66.17718,43.504875,-66.17751201,43.24725674,29.4161017
LJ,T03,2022-09-26 01:59:03,2022-09-26 03:52:12,-66.12509485,43.50314091,-66.12490175,43.24719211,28.66076064
LM,T03,2022-09-26 02:00:23,2022-09-26 03:57:55,-66.19048247,43.50349351,-66.18968224,43.24694885,29.0695433
MS,T03,2022-09-26 02:29:55,2022-09-26 04:18:09,-66.20286668,43.50084589,-66.2036106,43.2466689,29.7550048
TM,T03,2022-09-26 02:11:40,2022-09-26 03:57:01,-66.16423333,43.49761789,-66.16530275,43.24750565,27.8186348
