Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,,,,,,,,,,,,,,,,,
BP,T02,,,,,,,,,,,,,,,,,
BP,T03,,,,,,,,,,,,,,,,,
BP,T04,,,,,,,,,,,,,,,,,
C1,T01,,,,,,,,,,,,,,,,,
C1,T02,,,,,,,,,,,,,,,,,
FM,T01,,,,,,,,,,,,,,,,,
FM,T02,,,,,,,,,,,,,,,,,
LB,T01,,,,,,,,,,,,,,,,,
LB,T02,,,,,,,,,,,,,,,,,
LJ,T01,,,,,,,,,,,,,,,,,
LJ,T02,,,,,,,,,,,,,,,,,
LM,T01,,,,,,,,,,,,,,,,,
LM,T02,,,,,,,,,,,,,,,,,
MS,T01,,,,,,,,,,,,,,,,,
MS,T02,,,,,,,,,,,,,,,,,
MS,T03,,,,,,,,,,,,,,,,,
MS,T04,,,,,,,,,,,,,,,,,
SL,T01,,,,,,,,,,,,,,,,,
SL,T02,,,,,,,,,,,,,,,,,
BP,T01,,,,,,,,,,,,,,,,,
BP,T02,,,,,,,,,,,,,,,,,
BP,T03,,,,,,,,,,,,,,,,,
BP,T04,,,,,,,,,,,,,,,,,
MS,T01,,,,,,,,,,,,,,,,,
MS,T02,,,,,,,,,,,,,,,,,
MS,T03,,,,,,,,,,,,,,,,,
MS,T04,,,,,,,,,,,,,,,,,
FM,NA,,,,,,,,,,,,,,,,,
FM,NA,,,,,,,,,,,,,,,,,
LJ,NA,,,,,,,,,,,,,,,,,
LJ,NA,,,,,,,,,,,,,,,,,
LM,NA,,,,,,,,,,,,,,,,,
LM,NA,,,,,,,,,,,,,,,,,
C1,NA,,,,,,,,,,,,,,,,,
C1,NA,,,,,,,,,,,,,,,,,
MS,NA,,,,,,,,,,,,,,,,,
MS,NA,,,,,,,,,,,,,,,,,
MS,NA,,,,,,,,,,,,,,,,,
MS,NA,,,,,,,,,,,,,,,,,
LB,NA,,,,,,,,,,,,,,,,,
LB,NA,,,,,,,,,,,,,,,,,
BP,NA,,,,,,,,,,,,,,,,,
BP,NA,,,,,,,,,,,,,,,,,
BP,NA,,,,,,,,,,,,,,,,,
BP,NA,,,,,,,,,,,,,,,,,
SL,NA,,,,,,,,,,,,,,,,,
SL,NA,,,,,,,,,,,,,,,,,
