Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2022-08-07 21:01,2022-08-07 21:55,-65.04649125,45.29112083,-64.88489982,45.33825282,13.78500101
BP,T02,2022-08-07 22:00,2022-08-07 22:58,-64.86983267,45.33220477,-65.04987664,45.27611785,15.45343798
BP,T03,2022-08-07 23:03,2022-08-08 0:08,-65.05027204,45.2635692,-64.85083921,45.32349137,17.08291205
BP,T04,2022-08-08 0:13,2022-08-08 1:23,-64.83938644,45.31505474,-65.05031658,45.24982826,18.09383133
C1,T01,2022-08-07 20:57,2022-08-07 23:53,-65.23082846,45.09710102,-64.74575273,45.2600642,44.12362546
C1,T02,2022-08-08 0:19,2022-08-08 2:37,-64.82777859,45.31103901,-65.23754026,45.1652559,38.02797743
FM,T01,2022-08-08 21:57,2022-08-09 1:20,-65.23112927,45.07292998,-64.71983344,45.2421276,45.43334823
FM,T02,2022-08-09 1:47,2022-08-09 4:06,-64.8111612,45.28957323,-65.23356229,45.14386595,37.42888989
LB,T01,2022-08-07 20:49,2022-08-08 0:35,-65.23528588,45.08319432,-64.73276627,45.25109134,44.7078118
LB,T02,2022-08-08 1:04,2022-08-08 3:24,-64.81066147,45.30297503,-65.23175333,45.15535167,37.27539301
LJ,T01,2022-08-07 21:00,2022-08-08 0:32,-65.23078032,45.04918989,-64.69744235,45.22396441,46.84276184
LJ,T02,2022-08-08 0:58,2022-08-08 3:29,-64.77381925,45.27663736,-65.23194941,45.11971686,40.18755859
LM,T01,2022-08-07 20:51,2022-08-08 0:02,-65.23692034,45.0587068,-64.70746982,45.23392109,46.49324026
LM,T02,2022-08-08 0:25,2022-08-08 2:53,-64.79478361,45.28239488,-65.23263104,45.13072821,38.61055684
MS,T01,2022-08-07 21:48,2022-08-07 22:44,-64.69816878,45.22215869,-64.55065186,45.26400936,13.03739932
MS,T02,2022-08-07 22:56,2022-08-07 23:47,-64.550951,45.28546,-64.71140827,45.23978785,14.06867741
MS,T03,2022-08-08 0:00,2022-08-08 1:24,-64.72833217,45.25593713,-64.54988046,45.30685037,17.13455511
MS,T04,2022-08-08 1:34,2022-08-08 2:34,-64.56789299,45.32904863,-64.74493675,45.27243833,16.21215003
SL,T01,2022-08-07 21:01,2022-08-08 0:33,-65.22353578,45.03954042,-64.68135474,45.21609583,49.54777462
SL,T02,2022-08-08 1:01,2022-08-08 3:43,-64.76163283,45.2688961,-65.23212636,45.10773787,42.82008889
BP,T01,2022-08-07 21:01,2022-08-07 21:55,-65.04649125,45.29112083,-64.88489982,45.33825282,13.78500101
BP,T02,2022-08-07 22:00,2022-08-07 22:58,-64.86983267,45.33220477,-65.04987664,45.27611785,15.45343798
BP,T03,2022-08-07 23:03,2022-08-08 0:08,-65.05027204,45.2635692,-64.85083921,45.32349137,17.08291205
BP,T04,2022-08-08 0:13,2022-08-08 1:23,-64.83938644,45.31505474,-65.05031658,45.24982826,18.09383133
MS,T01,2022-08-07 21:48,2022-08-07 22:44,-64.69816878,45.22215869,-64.55065186,45.26400936,13.03739932
MS,T02,2022-08-07 22:56,2022-08-07 23:47,-64.550951,45.28546,-64.71140827,45.23978785,14.06867741
MS,T03,2022-08-08 0:00,2022-08-08 1:24,-64.72833217,45.25593713,-64.54988046,45.30685037,17.13455511
MS,T04,2022-08-08 1:34,2022-08-08 2:34,-64.56789299,45.32904863,-64.74493675,45.27243833,16.21215003
