Vessel,Transect.No.,Speed,Transect
BP,T01,8.270319865209384,T01
BP,T02,8.631899679035403,T02
BP,T03,8.51447378442872,T03
BP,T04,8.374169783930286,T04
C1,T01,8.122089783538485,T01
C1,T02,8.927572904291207,T02
FM,T01,7.250834123432119,T01
FM,T02,8.72371382779108,T02
LB,T01,6.408910980037759,T01
LB,T02,8.625880946256952,T02
LJ,T01,7.158398913134088,T01
LJ,T02,8.622316102603268,T02
LM,T01,7.886162316492007,T01
LM,T02,8.45188567656144,T02
MS,T01,7.542445920889524,T01
MS,T02,8.937012384527582,T02
MS,T03,6.608498731155239,T03
MS,T04,8.753840476198667,T04
SL,T01,7.57177250136327,T01
SL,T02,8.563312920569711,T02
