Vessel,Start Lat,Start Lon,End Lat,End Lon
FM,4510,6514,4518.7,6449.5
FM,4510.5212,6514,4519.0818,6450.075733
LJ,4511.0424,6514,4519.4636,6450.651467
LJ,4511.5636,6514,4519.8454,6451.2272
LM,4512.0848,6514,4520.2272,6451.802933
LM,4512.606,6514,4520.609,6452.378667
C1,4513.1272,6514,4520.9908,6452.9544
C1,4513.6484,6514,4521.3726,6453.530133
MS,4516.12,6445.43,4519.7,6433
MS,4517.001667,6446.746667,4520.991667,6433
MS,4517.883333,6448.063333,4522.283333,6433
MS,4518.765,6449.38,4523.575,6433
LB,4514.1696,6514,4521.7544,6454.105867
LB,4514.6908,6514,4522.1362,6454.6816
BP,4517.35,6503,4520.4,6453
BP,4518.133333,6503,4520.866667,6452
BP,4518.916667,6503,4521.333333,6453
BP,4519.7,6503,4521.8,6454
SL,4515.212,6514,4522.518,6455.257333
SL,4515.7332,6514,4522.8998,6455.833067
