Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2022-08-21 20:40:24,2022-08-21 23:48:40,-65.23631788,45.064375,-64.71483276,45.23709358,45.326503843
BP,T02,2022-08-22 00:12:01,2022-08-22 02:33:34,-64.79150029,45.28783337,-65.23173075,45.13699972,38.48111488
C1,T01,2022-08-21 20:42:22,2022-08-21 23:48:48,-65.22896947,45.05745466,-64.70485857,45.23066354,46.893223612
C1,T02,2022-08-22 00:13:30,2022-08-22 02:40:15,-64.78778375,45.28118633,-65.2341664,45.12640433,40.12225448
LM,T01,2022-08-21 20:44:51,2022-08-21 23:53:08,-65.22934703,45.03551764,-64.68139091,45.21608263,47.883446633
LM,T02,2022-08-22 00:15:06,2022-08-22 02:31:34,-64.75860951,45.26778603,-65.23281912,45.10695682,41.51787433
MS,T01,2022-08-21 20:47:43,2022-08-22 00:19:02,-65.22735064,45.07804386,-64.72716786,45.24493414,47.003043514
MS,T02,2022-08-22 00:48:39,2022-08-22 03:07:40,-64.80483057,45.29699478,-65.22924826,45.14802641,38.24428375
SL,T01,2022-08-21 20:48:11,2022-08-21 23:47:17,-65.21870215,45.09181867,-64.73869734,45.25279367,43.492304468
SL,T02,2022-08-22 00:12:44,2022-08-22 02:37:39,-64.81519575,45.30434635,-65.23317672,45.15669258,37.8079179
