Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
LB,T01,-35.5,-39.86355881,0.366137421734819,38.52561305
LB,T02,-35.5,-53.65514019,0.0152927638067157,37.71925007
LJ,T01,-35.5,-55.27640529,0.0105283295633834,37.152079387
LJ,T02,-35.5,-58.71154151,0.0047735980672774,37.12760342
LM,T01,-35.5,-48.02263816,0.055941767507653,38.18442798
LM,T02,-35.5,-56.53765336,0.00787471172073557,37.59218125
SL,T01,-35.5,-49.58480916,0.0390408337662355,40.537466839
SL,T02,-35.5,-54.39690964,0.0128916657271113,39.75400457
TM,T01,-35.5,-60.0204072,0.00353150056443584,37.040086918
TM,T02,-35.5,-55.57978883,0.00981795680387618,37.46487234
LB,T03,-35.5,-57.05444482,0.00699126103778725,28.9201432
LJ,T03,-35.5,-45.71405219,0.0951907571007885,28.72399864
LM,T03,-35.5,-53.78065347,0.014857120747872,29.0457437
SL,T03,-35.5,-48.57458306,0.0492653637790715,30.68986
TM,T03,-35.5,-58.00914303,0.00561158695542883,29.1978035
