Ground,Date,Year,Julian,Month,TempSD,Temperature,Biomass,logTemp,logBiomass,SalinitySD,Salinity,mean_temp,total_precip,total_snow,total_rain,spd_max_gust,min_temp,max_temp,heat_deg_days,cool_deg_days,Count
German Bank,2017-08-21,2017,233,8,0.024731976680016657,10.405531503076924,33839,2.3423375400476543,10.429369262456103,0.011226732187012778,32.12983611153846,19.200000000000003,0,0,0,NA,13.6,27.5,0.2,1.4,1
German Bank,2018-08-12,2018,224,8,0.3226365855459164,11.392990353846153,12170,2.4329982850418865,9.406729185981574,0.07481714681470238,31.869903675384617,20.75,0,0,0,NA,14.5,27.3,0,2.75,2
German Bank,2018-08-26,2018,238,8,0.023078095579206884,11.064368681538461,13693,2.4037299164336683,9.524640032332234,0.03305164704091756,32.158111992307695,17.3,0,0,0,NA,8.1,25.9,0.7,0,2
German Bank,2018-09-09,2018,252,9,0.007513468764630413,12.436789426923077,37490,2.5206589693489723,10.531829509729958,0.006487589990645072,32.39631638153846,11.95,0,0,0,NA,4.3,18.4,6.050000000000001,0,2
German Bank,2018-09-20,2018,263,9,0.04131855385109599,12.9590181,24298,2.561791924165011,10.098149321414688,0.03382440506260313,31.910684946153847,NA,0.1,0.1,0.1,NA,NA,18.1,NA,NA,2
German Bank,2019-08-25,2019,237,8,0.06982461280807299,10.05193155023077,25125,2.307764810090987,10.131618645361376,0.03569702842360379,32.67578900153846,15.5,0,0,0,35,6.9,23.2,2.5,0,2
German Bank,2019-08-25,2019,239,8,0.04707066660110803,9.753963363730769,25125,2.277673701255665,10.131618645361376,0.23582450935350938,32.72514223538462,15.5,0,0,0,35,6.9,23.2,2.5,0,2
German Bank,2019-09-09,2019,248,9,0.0031522239612399314,10.43702266076923,29498,2.3453593560312296,10.292077743419448,0.003251364776147987,32.69131099846154,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-09,2019,252,9,0.007792516265299204,10.874849342,29498,2.3864527232695902,10.292077743419448,0.006464403523471601,32.731856074,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-09,2019,253,9,0.0025985733327721795,11.234541352307692,29498,2.4189930816894263,10.292077743419448,0.03265792124254277,32.27283715,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-09,2019,255,9,0.01736950885759559,11.257397167692307,29498,2.4210254385920034,10.292077743419448,0.011614966381564323,32.21271001769231,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-25,2019,268,9,0.0022676443658944797,12.91672055153846,65077,2.5585226388545546,11.083326463159223,0.003799143016167743,32.753970072307695,12.6,0.2,0.2,0.2,39,8.3,17.2,5.4,0,5
German Bank,2020-08-16,2020,229,8,0.108414583238355,12.03611592,6782,2.4879117898281,8.822027322685583,0.013443892115588543,32.792307737692305,20,1.1,1.1,1.1,NA,14.5,26.3,0,2,1
German Bank,2020-09-13,2020,257,9,0.055391657474943526,11.380200378461538,28657.5,2.431875036492335,10.263170467989164,0.013926046113420052,32.883450534615385,13.2,0,0,0,41,3.9,22.6,4.800000000000001,0,3
German Bank,2020-09-13,2020,258,9,0.0067971409712151345,10.829214853333333,28657.5,2.3822475610010265,10.263170467989164,0.0013771887303658443,32.98064787,13.2,0,0,0,41,3.9,22.6,4.800000000000001,0,3
German Bank,2020-09-27,2020,272,9,0.02080648172659994,12.465530122222223,1004,2.522967244929777,6.911747300251674,0.012800225383812614,31.508706956666668,18,0,0,0,39,11.4,25.8,0.3,0.3,3
German Bank,2021-08-23,2021,235,8,0.0091919923836947,10.894952307692307,4613,2.388299590937925,8.43663368355782,0.007056208117785975,32.97255230769231,21.9,7.75,7.75,7.75,56,17.2,27.1,0,3.9000000000000004,1
German Bank,2021-09-05,2021,248,9,0.0029845502173697974,11.3542025,24987,2.429587939713676,10.12611096860345,0.0066339128725064036,32.879780000000004,13.45,0.1,0.1,0.1,NA,7.2,18.8,4.55,0,2
German Bank,2021-09-20,2021,263,9,8.922072549706229e-4,11.620522307692308,35969.5,2.4527726994404646,10.490426636120441,0.003486598518723691,33.34863615384615,12.95,0,0,0,NA,5.1,20.7,5.05,0,2
German Bank,2021-10-03,2021,276,10,0.0035790738064711562,12.776097142857143,1376,2.5475760144261606,7.226936018493289,0.0032400078385175783,32.82611714285714,10.8,0,0,0,NA,2.6,17.4,7.199999999999999,0,1
Scots Bay,2019-06-08,2019,159,6,0.010391634928407455,7.439062687692307,17892,2.006744858071441,9.792108964552739,0.003633343504932757,31.832662373076925,12.95,0,0,0,46,7.2,19.6,5.05,0,2
