Year,Location,Date,Biomass
2018,German Bank,2018-08-12,12170.47848
2018,German Bank,2018-08-26,13692.83491
2018,German Bank,2018-09-09,37489.50156
2018,German Bank,2018-09-20,24298.41378
2018,German Bank,2018-10-01,7218.20319
2018,German Bank,2018-10-14,NA
2017,German Bank,2017-08-21,33839
2017,German Bank,2017-09-08,60745.41129
2017,German Bank,2017-09-17,42053.23077
2017,German Bank,2017-10-06,NA
2017,German Bank,2017-10-18,29155.13253
2016,German Bank,2016-08-21,35564.79492
2016,German Bank,2016-09-01,18010.265
2016,German Bank,2016-09-12,80119.01916
2016,German Bank,2016-09-19,NA
2016,German Bank,2016-09-26,29666.5406
2016,German Bank,2016-10-07,NA
2015,German Bank,2015-08-17,16156.42812
2015,German Bank,2015-09-01,61323.67323
2015,German Bank,2015-09-13,37270.73827
2015,German Bank,2015-09-21,NA
2015,German Bank,2015-09-27,25547.43962
2015,German Bank,2015-10-12,NA
2014,German Bank,2014-08-12,51496
2014,German Bank,2014-08-25,59466.82286
2014,German Bank,2014-09-08,63341.6219
2014,German Bank,2014-09-26,NA
2014,German Bank,2014-10-06,15579.78202
2013,German Bank,2013-09-03,53509
2013,German Bank,2013-09-17,108500.146
2013,German Bank,2013-09-29,13384.12325
2013,German Bank,2013-10-05,33431.85517
2013,German Bank,2013-10-14,NA
2013,German Bank,2013-10-21,NA
2012,German Bank,2012-08-12,33541
2012,German Bank,2012-08-26,101453.0319
2012,German Bank,2012-09-09,37650.66918
2012,German Bank,2012-09-22,41725.19036
2012,German Bank,2012-10-07,8710.756179
2012,German Bank,2012-10-24,3071.861167
2011,German Bank,2011-08-26,30405
2011,German Bank,2011-09-08,110061.5347
2011,German Bank,2011-09-21,117624.7016
2011,German Bank,2011-10-10,NA
2011,German Bank,2011-10-23,NA
2010,German Bank,2010-08-18,85180
2010,German Bank,2010-08-31,40510.1443
2010,German Bank,2010-09-15,51672.6309
2010,German Bank,2010-10-05,28686.13461
2010,German Bank,2010-10-19,1687.231251
2009,German Bank,2009-08-12,90118
2009,German Bank,2009-08-25,96977.19
2009,German Bank,2009-09-14,56887.15404
2009,German Bank,2009-09-24,27893.68793
2009,German Bank,2009-10-05,52328.13769
2008,German Bank,2008-08-22,25445
2008,German Bank,2008-09-05,67337.86609
2008,German Bank,2008-09-19,17144.59696
2008,German Bank,2008-10-06,106207.3414
2008,German Bank,2008-10-21,NA
2007,German Bank,2007-08-24,45920
2007,German Bank,2007-09-07,23813.95229
2007,German Bank,2007-09-21,183760.5143
2007,German Bank,2007-10-05,190287.6846
2007,German Bank,2007-10-17,NA
2006,German Bank,2006-08-25,114069
2006,German Bank,2006-09-15,96009.30615
2006,German Bank,2006-10-01,33199.81051
2006,German Bank,2006-10-15,10696.05484
2005,German Bank,2005-09-07,91701
2005,German Bank,2005-09-21,110942.0115
2005,German Bank,2005-10-04,16678.11436
2004,German Bank,2004-09-02,113333
2004,German Bank,2004-09-16,145400.4664
2004,German Bank,2004-09-30,74379.82255
2003,German Bank,2003-08-29,107204
2003,German Bank,2003-09-08,72263.33701
2003,German Bank,2003-09-18,13016.61378
2003,German Bank,2003-10-10,61963.78867
2003,German Bank,2003-10-20,2399.508578
2002,German Bank,2002-08-11,3843
2002,German Bank,2002-08-26,113430.4033
2002,German Bank,2002-09-10,88311.58609
2002,German Bank,2002-09-19,133642.4238
2002,German Bank,2002-09-29,NA
2002,German Bank,2002-10-08,NA
2001,German Bank,2001-08-27,39160
2001,German Bank,2001-09-09,28178.30043
2001,German Bank,2001-09-13,99932.25805
2001,German Bank,2001-10-03,41653.1383
2000,German Bank,2000-08-29,100250
2000,German Bank,2000-09-12,112848.8359
2000,German Bank,2000-09-27,54402.21547
2000,German Bank,2000-10-14,8193.286483
1999,German Bank,1999-08-27,165085
1999,German Bank,1999-09-10,208259.0964
1999,German Bank,1999-09-25,38200.79651
1999,German Bank,1999-10-08,NA
2018,Scots Bay,2018-06-09,77908.55617
2018,Scots Bay,2018-06-23,16136.65548
2018,Scots Bay,2018-07-07,28646.90296
2018,Scots Bay,2018-07-21,NA
2018,Scots Bay,2018-08-05,5984.109824
2018,Scots Bay,2018-08-18,4181.825131
2018,Scots Bay,2018-09-02,5819.21656
2018,Scots Bay,2018-09-15,973.2930896
2017,Scots Bay,2017-06-21,75364
2017,Scots Bay,2017-07-01,11676.9924
2017,Scots Bay,2017-07-15,18657.71267
2017,Scots Bay,2017-07-29,2835.233334
2017,Scots Bay,2017-08-12,17024.69208
2017,Scots Bay,2017-08-26,9475.040882
2017,Scots Bay,2017-09-08,6222.418055
2017,Scots Bay,2017-09-23,710.0837295
2016,Scots Bay,2016-06-18,23988.81108
2016,Scots Bay,2016-07-02,37853.07568
2016,Scots Bay,2016-07-16,3788.014757
2016,Scots Bay,2016-07-30,9747.303671
2016,Scots Bay,2016-08-13,25409.47984
2016,Scots Bay,2016-08-27,NA
2015,Scots Bay,2015-06-27,82427.75121
2015,Scots Bay,2015-07-11,70538.11192
2015,Scots Bay,2015-07-25,29868.44472
2015,Scots Bay,2015-08-08,28381.78599
2015,Scots Bay,2015-08-22,24653.96991
2015,Scots Bay,2015-09-08,13354.64187
2014,Scots Bay,2014-06-21,57551.6
2014,Scots Bay,2014-07-08,101273.7711
2014,Scots Bay,2014-07-19,5207.885617
2014,Scots Bay,2014-08-02,14544.67952
2014,Scots Bay,2014-08-16,4324.741887
2014,Scots Bay,2014-08-30,8098.144721
2013,Scots Bay,2013-06-22,13245
