Ground,Date,Year,Julian,Month,TempSD,Temperature,Biomass,logTemp,logBiomass,SalinitySD,Salinity,mean_temp,total_precip,total_snow,total_rain,spd_max_gust,min_temp,max_temp,heat_deg_days,cool_deg_days,Count
German Bank,2017-08-21,2017,233,8,0.05006411791862205,12.28552587,33839,2.508421810917804,10.429369262456103,0.04982244592273627,31.793400554117646,19.200000000000003,0,0,0,NA,13.6,27.5,0.2,1.4,1
German Bank,2017-09-08,2017,251,9,0.032156716473058365,13.916681043529412,60745,2.6330881956962027,11.014440053288842,0.00496754563583615,32.16964329941177,15.3,0,0,0,35,7.4,24.4,2.7,0,2
German Bank,2017-09-17,2017,260,9,0.30711481671640556,14.270076202941176,42053,2.658164771554457,10.646686006494784,0.03108645202118236,32.379452897647056,17.5,0,0,0,NA,12.8,24.2,1.2,0.7,2
German Bank,2018-08-12,2018,224,8,0.15737390087559824,17.434389474117648,12170,2.85844466225712,9.406729185981574,0.16524974877323806,31.11025273117647,20.75,0,0,0,NA,14.5,27.3,0,2.75,2
German Bank,2018-08-26,2018,238,8,0.14009832221279414,12.363219199411764,13693,2.514725871144385,9.524640032332234,0.05350128016442189,32.201034232941176,17.3,0,0,0,NA,8.1,25.9,0.7,0,2
German Bank,2018-09-09,2018,252,9,0.005929347487177441,12.651959743529412,37490,2.537812123611705,10.531829509729958,0.12893973873942893,32.224948991764705,11.95,0,0,0,NA,4.3,18.4,6.050000000000001,0,2
German Bank,2018-09-20,2018,263,9,0.02632154065654915,13.427807551176471,24298,2.597327747109848,10.098149321414688,0.04533377466902356,31.69422593,NA,0.1,0.1,0.1,NA,NA,18.1,NA,NA,2
German Bank,2019-08-11,2019,223,8,0.012484255643459733,11.25352771,12319,2.4206816537185305,9.418898064961974,0.08771197904456185,32.11970978235294,16.450000000000003,0,0,0,50,11.9,22.2,1.55,0,3
German Bank,2019-08-25,2019,237,8,0.20217388892307223,11.508884354705883,25125,2.4431192896871847,10.131618645361376,0.162523489491325,32.31601899823529,15.5,0,0,0,35,6.9,23.2,2.5,0,3
German Bank,2019-08-25,2019,239,8,0.053339716582748616,9.773385937352941,25125,2.2796629707389537,10.131618645361376,0.20286362552606535,32.73270887441176,15.5,0,0,0,35,6.9,23.2,2.5,0,3
German Bank,2019-09-09,2019,248,9,0.07245728038847468,11.301863828235295,29498,2.4249676526688937,10.292077743419448,0.058339687998151944,32.54613915764706,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-09,2019,252,9,0.13209335476181647,11.44786862,29498,2.437803565947906,10.292077743419448,0.21188111683062943,31.41964192764706,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-09,2019,253,9,0.12598071674104072,12.456137049411765,29498,2.5222134371535514,10.292077743419448,0.06475524115302202,31.712835405882352,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-09,2019,255,9,0.050657970370970494,11.787023984705883,29498,2.4669992640863327,10.292077743419448,0.06112511600266469,31.733132608823528,13.7,0,0,0,NA,7.3,20.8,4.3,0,5
German Bank,2019-09-25,2019,268,9,0.009485357070078809,12.995488302941176,65077,2.564602243604582,11.083326463159223,0.019316743204785426,32.54327428411765,12.6,0.2,0.2,0.2,39,8.3,17.2,5.4,0,5
German Bank,2020-08-16,2020,229,8,0.0709157063029601,14.812839424705883,6782,2.695494333380888,8.822027322685583,0.10933776474219545,32.48820947647059,20,1.1,1.1,1.1,NA,14.5,26.3,0,2,1
German Bank,2020-09-13,2020,257,9,0.0837818663923196,13.726166465882352,28657.5,2.619303972191013,10.263170467989164,0.0448549338055072,32.603308534117645,13.2,0,0,0,41,3.9,22.6,4.800000000000001,0,3
German Bank,2020-09-13,2020,258,9,0.02261232962535084,12.658951812941176,28657.5,2.5383646181019985,10.263170467989164,0.03532839686237759,32.68034831764706,13.2,0,0,0,41,3.9,22.6,4.800000000000001,0,3
German Bank,2020-09-27,2020,272,9,0.014291934878816767,14.46695059,1004,2.671866778282528,6.911747300251674,0.01459054754078345,30.929167037058825,18,0,0,0,39,11.4,25.8,0.3,0.3,3
German Bank,2020-10-11,2020,285,10,0.00756482902497932,12.36044018,3145.5,2.5145010646640156,8.053728139010085,0.06510036688034737,32.100466692941175,8.15,1.8,1.8,1.8,59,-1.2,16.8,9.85,0,1
German Bank,2021-08-23,2021,235,8,0.07281354861913374,14.101821764705882,4613,2.646303992208742,8.43663368355782,0.016931251020116993,32.53421529411765,21.9,7.75,7.75,7.75,56,17.2,27.1,0,3.9000000000000004,1
German Bank,2021-09-05,2021,248,9,0.01928627901863258,11.989422941176471,24987,2.484024839538971,10.12611096860345,0.2073818607900013,32.0129905882353,13.45,0.1,0.1,0.1,NA,7.2,18.8,4.55,0,2
German Bank,2021-09-20,2021,263,9,0.3629787062088058,12.649578235294117,35969.5,2.537623873534234,10.490426636120441,0.131962546869538,32.96728294117647,12.95,0,0,0,NA,5.1,20.7,5.05,0,2
German Bank,2021-10-03,2021,276,10,0.008463895412203838,13.859247058823529,1376,2.628952667525907,7.226936018493289,0.011472512570850251,31.887874705882354,10.8,0,0,0,NA,2.6,17.4,7.199999999999999,0,1
Scots Bay,2019-06-08,2019,159,6,0.017611117361787266,7.531923544058824,17892,2.019150459928041,9.792108964552739,0.0992937101189511,31.705084418235295,12.95,0,0,0,46,7.2,19.6,5.05,0,2
Scots Bay,2019-06-22,2019,173,6,0.018447744644815852,8.462656475235294,18443,2.13566312849407,9.822440173682805,0.058733069742213935,31.788650354705883,15.25,0.4,0.4,0.4,46,11,20.5,2.75,0,2
Scots Bay,2019-07-06,2019,187,7,0.02668094176981874,9.029711658705882,8504,2.200520435435782,9.048291920021784,0.05030141348892235,31.776550883529413,20.55,7.3,7.3,7.3,58,13.5,31.1,0.45,3,4
Scots Bay,2019-07-20,2019,201,7,0.024455434273211438,10.130773039411764,4415,2.315577627235638,8.392763113038061,0.03569841363308356,32.02010425823529,22.700000000000003,0,0,0,39,15.2,32.4,0,4.699999999999999,4
Scots Bay,2019-07-20,2019,202,7,0.13360224412544738,11.246031897058824,4415,2.4200153461685683,8.392763113038061,0.1211513038796833,31.15367979980392,22.700000000000003,0,0,0,39,15.2,32.4,0,4.699999999999999,4
