"","Ground","id","Date","Julian","Day","Month","Year","Survey.No","No_jars","Abundance","Lengthmm","LengthAdjustment","category","MinLength","MaxLength","MeanLength","SD","Larv_per_jar","Density","AgeInDays","MeanAgeInDays","hatchDate","SpawnDate","JulianSpawnDate","Condition","Yolk_sac","Preservative","ARC_Count","ARC_Notes","Lon1","Lat1","Lon2","Lat2","TowTime","AvgTowDepth","MaxTowDepth","CTDAvgTemp","Volume"
"1","SB","SB2021-15",2021-09-26,269,26,9,"2021","10",1,27,18.28,19.13604,"4",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,58.9001666666667,43.9132222222222,2021-07-29,2021-07-15,196,"G",NA,"4% formalin",93,NA,-65.2,45.05,-65.21,45.035,11,19.6,30.8,NA,NA
"2","SB","SB2021-15",2021-09-26,269,26,9,"2021","10",1,27,16.95,17.81535,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,53.3972916666667,43.9132222222222,2021-08-03,2021-07-20,201,"G",NA,"4% formalin",93,NA,-65.2,45.05,-65.21,45.035,11,19.6,30.8,NA,NA
"3","SB","SB2021-15",2021-09-26,269,26,9,"2021","10",1,27,15.3,16.1769,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,46.5704166666667,43.9132222222222,2021-08-10,2021-07-27,208,"G",NA,"4% formalin",93,NA,-65.2,45.05,-65.21,45.035,11,19.6,30.8,NA,NA
"4","SB","SB2021-15",2021-09-26,269,26,9,"2021","10",1,27,14.62,15.50166,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,43.7569166666667,43.9132222222222,2021-08-13,2021-07-30,211,"G",NA,"4% formalin",93,NA,-65.2,45.05,-65.21,45.035,11,19.6,30.8,NA,NA
"5","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.78,15.66054,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,44.4189166666667,43.9132222222222,2021-08-12,2021-07-29,210,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"6","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,12.58,13.47594,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,35.3164166666667,43.9132222222222,2021-08-21,2021-08-07,219,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"7","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.22,15.10446,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,42.1019166666667,43.9132222222222,2021-08-14,2021-07-31,212,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"8","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,12.35,13.24755,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,34.3647916666667,43.9132222222222,2021-08-22,2021-08-08,220,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"9","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,14.69,15.57117,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,44.0465416666667,43.9132222222222,2021-08-12,2021-07-29,210,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
"10","SB","SB2021-14",2021-09-26,269,26,9,"2021","10",1,27,12.71,13.60503,"3",12.98937,19.13604,15.5391733333333,1.56269432608211,27,NA,35.8542916666667,43.9132222222222,2021-08-21,2021-08-07,219,"G",NA,"4% formalin",130,NA,-65.217,45.0506,-65.2,45,12,11.3,18.3,NA,NA
