Ground,Lat,Lon
NB Coastal,45.095,-66.476
Grand Manan,44.611,-66.66655556
Grand Manan Banks,44.33325,-66.9375
Long Island,44.33344444,-66.35166667
German Bank,43.3,-66.8334
Seal Island,43.35714286,-65.619
Scots Bay,45,-65.57563636
Yankee,44.85714286,-66.095
Trinity,44.0334,-66.3
Browns Bank,42.4998,-66.8998
SW Grounds,43.02385714,-66.45242857
Gannet Dry Ledge,43.69042857,-66.52385714
Lurcher,43.85714286,-66.88085714
,,
Back Bay,45.04816667,66.854
Blacks Harbour,45.052645,-66.793285
Blisses,45.01983333,66.8445
Bradfords Cove,44.60584,-66.94
Campobello,44.89316667,-66.959
Chance Harbour,45.131,-66.3485
Chattis Point,45.016,-66.9
Cora Bell,44.7564,-66.7342
Crow Harbour,45.10216667,-66.61083333
Crow Island,45.04283333,-66.88016667
Curry Cove,44.92866667,-66.9365
Deadmans,45.04983333,-66.771
Deep Cove,45.11933333,-66.52616667
Digdeguash Basin,45.19116667,-66.95966667
Fairhaven,44.96583333,-67.01016667
Friers Bay,44.8865,-66.95283333
Fryes Island,45.06583333,-66.8365
Herring Cove,44.87466667,-66.92183333
Indian Island,44.932,-66.966
Iron Lady,44.75683333,-66.75
Lawrence Cove,45.00183333,-66.9485
Leonardville,44.97483333,-66.9515
Lepreau,45.14533333,-66.485
Lords Cove,45.00183333,-66.9485
Meadow Brook,44.88083333,-66.9125
Mill Cove,44.93033333,-66.90466667
Money Cove,44.777,-66.82
Mumps,44.67364,-66.686615
New River,45.1315,-66.53383333
Oak Bay,45.22416667,-67.17916667
Patridge Island,45.2375,-66.052
Pipe Dream,44.74283333,-66.75
Red Head,45.10633333,-66.6005
Round Meadow,45.10566667,-66.49716667
Sand Beach,45.00616667,-66.9
Sandy Cove,45.07083333,-66.68116667
Schooner Cove,44.9,-66.902
Seelys Basin,45.07166667,-66.67883333
Seelys Cove,45.08633333,-66.65033333
Seelys Head,45.04533333,-66.78
Ship Beach,44.97816667,-66.69433333
Spectacle,44.99033333,-66.91533333
Spider Cove,45.02916667,-66.827
Spruce Cove,45.02566667,-66.86116667
Tuckers Cove,45.01716667,-66.84833333
Whale Cove,44.77283333,-66.758
Winner,44.77433333,-66.76016667
Wolves,44.95533333,-66.72105556
,,
Beaver Harbour,,
Block Island,,
Bullpen,,
Cape Cod,,
Cape Cod Island,,
Caraquet,,
Centerville,,
Connors Weir,,
Crab Rock,,
Deer Island,,
Dipper Harbour,,
Eagle Island,,
East of Gully,,
East of Jauquau,,
Emerald Basin,,
Fire Island,,
Georges Bank,,
Gloucester,,
Halifax,,
Head of Bay,,
Horseshoe,,
Hudson Canyon,,
Jeffreys Ledge,,
Kettle Bottom,,
Letang,,
L'etete,,
Long Island Shoal,,
Maces Bay,,
Margaretsville,,
Middle Banks,,
Montauk,,
Moores Ledge,,
Moose Island,,
Moriches,,
Mt Desert,,
Mud Hole,,
Murphy's Weir,,
Mystrey Island,,
Narragansett,,
Nauset Beach,,
NE Banks,,
North Head,,
NW Banks,,
NW Shoal,,
One Mike,,
Passamaquoddy,,
Perry Shore,,
Point Judith,,
Port Mouton,,
Prong,,
Rhode Island,,
Roseway,,
Schoodic Ridge,,
Sea Wall,,
Seelys Head,,
Seelys Cove,,
Sheet Harbour,,
Shelburne,,
Ship Head Cove,,
St Andrews Bay,,
St Marys Bay,,
Teardrop,,
Thatchers Island,,
The Patch,,
The Rip,,
Toms River,,
Tusket Basin,,
Western Head,,
White Head,,
