Year,Scots,German,Seal,Biomass,LRP,3yr Avg,Seal Bmass,Indicator
1999,"40,652","411,545",,"452,197","317,846",,"452,197",
2000,"167,943","275,694",,"443,636","317,846",,"443,636",
2001,"195,253","208,923",,"404,176","317,846","433,336","404,176",26.65
2002,"116,404","339,227",,"455,631","317,846","434,481","455,631",26.84
2003,"105,779","256,848",,"362,627","317,846","407,478","362,627",22.00
2004,"98,692","333,113",,"431,805","317,846","416,688","431,805",23.72
2005,"20,064","219,321",,"239,385","317,846","344,606","239,385",7.77
2006,"30,865","253,974",,"284,839","317,846","318,676","284,839",0.26
2007,"45,846","443,783",,"489,629","317,846","337,951","489,629",5.95
2008,"20,758","216,135",,"236,893","317,846","337,120","236,893",5.72
2009,"77,503","324,204",,"401,707","317,846","376,076","401,707",15.48
2010,"46,888","207,736",,"254,624","317,846","297,741","254,624",-6.75
2011,"122,584","258,092",,"380,676","317,846","345,669","380,676",8.05
2012,"160,606","226,153",,"386,759","317,846","340,686","386,759",6.70
2013,"66,183","208,825",,"275,008","317,846","347,481","275,008",8.53
2014,"191,002","189,885",,"380,887","317,846","347,551","380,887",8.55
2015,"249,225","140,298",,"389,523","317,846","348,473","389,523",8.79
2016,"100,786","163,361",,"264,147","317,846","344,852","264,147",7.83
2017,"141,966","165,792",,"307,758","317,846","320,476","307,758",0.82
2018,"139,651","94,869","20,734","234,520","317,846","268,808","255,254",-18.24
2019,"133,332","147,138","30,000","280,470","317,846","274,249","310,470",-15.90
2020,"179,059","103,357","5,256","282,416","317,846","265,802","287,672",-19.58
2021,"72,512","137,146","10,053","209,658","317,846","257,515","219,711",-23.43
2022,"256,012","76,558","21,643","332,570","317,846","274,882","354,213",-15.63
2023,"177,305","65,268","64,933","242,573","317,846","261,601","307,506",-21.50
2024,"215,019","67,074","50,013","282,093","317,846","285,746","332,106",-11.23
