"","Ground","Date","Year","id","TowReplicate","TowID","Survey.No","Abundance","Density","Volume","Preservative","MeanLengthAdjustment","AdjustedMeanAgeInDays","AdjustedMinDateOfSpawn","AdjustedMaxDateOfSpawn","Lon1","Lat1","Lon2","Lat2","TowTime","AvgTowDepth","MaxTowDepth","CTDAvgTemp"
"1","SB",2018-06-09,"2018","SB2018-01",FALSE,14,"1",22,0.208144594083409,105.6957549,"70% alcohol",7.05490454545455,8.56210227272727,17653.1720833333,17686.1799583333,-66.2283,45.065,-65.2033,45.06667,10,3,4,7.624
"2","SB",2018-08-05,"2018","SB2018-08",FALSE,21,"5",59,NA,377.1109723,"4% formalin",6.28375133333333,5.34896388888889,17721.5639583333,17743.0375833333,-64.7636,45.21804,-64.7469,45.218,9,NA,NA,NA
"3","SB",2019-06-08,"2019","SB2019-02",TRUE,28,"1",6,NA,4810.507594,"70% alcohol",6.441275,6.0053125,18021.5401666667,18048.4492083333,-65.238,45.0972,-65.238,45.0972,10,NA,NA,NA
"4","SB",2019-06-22,"2019","SB2019-04",TRUE,29,"2",30,0.0789687974770611,379.8968828,"70% alcohol",5.765788,3.19078333333333,18044.976875,18060.5948333333,-65.206,45.0708,-65.274,45.0452,10,11.6,23,NA
"5","SI",2019-10-13,"2019","SI2019-02",TRUE,40,"5",25,NA,NA,"70% alcohol",8.53740555555556,14.7391898148148,18141.8672083333,18177.1003333333,-66.09261667,43.5003,-66.09168333,43.5092,8,NA,NA,NA
"6","SB",2020-06-14,"2020","SB2020-01",TRUE,41,"2",43,NA,NA,"4% formalin",6.62729538461539,6.78039743589744,18392.2062083333,18417.1139583333,-65.12,45.02,-65.11,45.03,9,11.78051004,19.98895913,NA
"7","SB",2020-06-14,"2020","SB2020-02",TRUE,41,"2",43,0.00255739526965151,16813.98277,"4% formalin",5.31523235294118,1.3134681372549,18402.0534583333,18416.5347083333,-65.12,45.03,-65.12708,45.04,10,4.082376488,5.683132347,7.69
"8","SB",2019-06-22,"2019","SB2019-03",TRUE,29,"2",30,0.05579519370136,537.6807214,"70% alcohol",6.761711,7.3404625,18037.43575,18056.597625,-65.262,45.0506,-65.206,45.0708,14,3.7,10,NA
"9","SB",2020-06-27,"2020","SB2020-03",TRUE,42,"3",23,NA,NA,"4% formalin",6.40534826086957,5.85561775362319,18402.6409583333,18427.5073333333,-65.21666667,45.033333,-65.2,45.05,10,4.3173,7.804011973,NA
"10","SB",2019-09-15,"2019","SB2019-13",TRUE,37,"8",92,0.00162632245804983,56569.34733,"70% alcohol",8.1086671875,12.9527799479167,18108.5073333333,18141.474,-65.2049,45.0556,-65.2049,45.0645,10,16.509,26.056,12.11
"11","SB",2017-06-22,"2017","SB2017-01",FALSE,1,"1",275,NA,NA,"4% formalin",9.06340909090909,16.9308712121212,17284.8427083333,17326.2177083333,-65.132,45.0885,-65.2168,45.1419,10,1,3,8.003
