id,Area,X,Y
1,2G,-61.666667,57.666667
2,2G,-52.083333,57.666667
3,2G,-59,61
4,2G,-64.5,61
5,2G,-64.5,60.433333
6,2Ga,-63.75,59.5
7,2Ga,-62,59.5
8,2Ga,-62,60.5
9,2Ga,-64.5,60.5
10,2Gb,-62,59.5
11,2Gb,-60,59.5
12,2Gb,-60,60.5
13,2Gb,-62,60.5
14,2Gb,-62,59.5
15,2Gc,-62.583333,58.5
16,2Gc,-61,58.5
17,2Gc,-61,59.5
18,2Gc,-63.75,59.5
19,2Gd,-61,58.5
20,2Gd,-59,58.5
21,2Gd,-59,59.5
22,2Gd,-61,59.5
23,2Gd,-61,58.5
24,2Ge,-61.666667,57.666667
25,2Ge,-61,57.666667
26,2Ge,-61,58.5
27,2Ge,-62.583333,58.5
28,2Gf,-61,57.666667
29,2Gf,-59,57.666667
30,2Gf,-59,58.5
31,2Gf,-61,58.5
32,2Gf,-61,57.666667
33,2Gp,-59,57.666667
34,2Gp,-57,57.666667
35,2Gp,-57,58.5
36,2Gp,-59,58.5
37,2Gp,-59,57.666667
38,2H,-60,55.333333
39,2H,-47.58333,55.333333
40,2H,-52.083333,57.666667
41,2H,-61.666667,57.666667
42,2Ha,-61.25,56.5
43,2Ha,-60,56.5
44,2Ha,-60,57.666667
45,2Ha,-61.666667,57.666667
46,2Hb,-60,56.5
47,2Hb,-58,56.5
48,2Hb,-58,57.666667
49,2Hb,-60,57.666667
50,2Hb,-60,56.5
51,2Hc,-58,56.5
52,2Hc,-56,56.5
53,2Hc,-56,57.666667
54,2Hc,-58,57.666667
55,2Hc,-58,56.5
56,2Hd,-60,55.333333
57,2Hd,-59,55.333333
58,2Hd,-59,56.5
59,2Hd,-61.25,56.5
60,2He,-59,55.333333
61,2He,-57,55.333333
62,2He,-57,56.5
63,2He,-59,56.5
64,2He,-59,55.333333
65,2Hf,-57,55.333333
66,2Hf,-55,55.333333
67,2Hf,-55,56.5
68,2Hf,-57,56.5
69,2Hf,-57,55.333333
70,2J,-55.666667,52.25
71,2J,-42,52.25
72,2J,-47.583333,55.333333
73,2J,-60,55.333333
74,2Ja,-57.166667,54.5
75,2Ja,-56.5,54.5
76,2Ja,-59,55.333333
77,2Ja,-60,55.333333
78,2Jb,-56.5,54.5
79,2Jb,-55,54.5
80,2Jb,-55,55.333333
81,2Jb,-59,55.333333
82,2Jb,-56.5,54.5
83,2Jc,-55,54.5
84,2Jc,-52,54.5
85,2Jc,-52,55.333333
86,2Jc,-55,55.333333
87,2Jc,-55,54.5
88,2Jd,-56.5,53.7
89,2Jd,-55.5,53.583333
90,2Jd,-56.5,54.5
91,2Jd,-57.166667,54.5
92,2Je,-55.5,53.583333
93,2Je,-54,53.25
94,2Je,-54,54.5
95,2Je,-56.5,54.5
96,2Je,-55.5,53.583333
97,2Jf,-54,53.25
98,2Jf,-52,53.25
99,2Jf,-52,54.5
100,2Jf,-54,54.5
101,2Jf,-54,53.25
102,2Jg,-52,53.25
103,2Jg,-50,53.25
104,2Jg,-50,54.5
105,2Jg,-52,54.5
106,2Jg,-52,53.25
107,2Jm,-55.666667,52.25
108,2Jm,-55.5,52.25
109,2Jm,-55.5,53.583333
110,2Jm,-56.5,53.7
111,2Ji,-55.5,52.25
112,2Ji,-54,52.25
113,2Ji,-54,53.25
114,2Ji,-55.5,53.583333
115,2Ji,-55.5,52.25
116,2Jn,-54,52.25
117,2Jn,-52,52.25
118,2Jn,-52,53.25
119,2Jn,-54,53.25
120,2Jn,-54,52.25
121,2Jl,-52,52.25
122,2Jl,-50,52.25
123,2Jl,-50,53.25
124,2Jl,-52,53.25
125,2Jl,-52,52.25
126,3K,-53.466667,49.25
127,3K,-42,49.25
128,3K,-42,52.25
129,3K,-55.416667,52.25
130,3K,-55.416667,51.583333
131,3K,-56.102285,51.341848
132,3K,-56.993856,50.177702
133,3K,-56.993856,49.165326
134,3K,-54.839225,48.984481
135,3K,-53.799058,49.225461
136,3Ka,-55.566667,51.383333
137,3Ka,-54,50.333333
138,3Ka,-54,52.25
139,3Ka,-55.416667,52.25
140,3Ka,-55.416667,51.583333
141,3Kb,-54,51
142,3Kb,-52,51
143,3Kb,-52,52.25
144,3Kb,-54,52.25
145,3Kb,-54,51
146,3Kc,-52,51
147,3Kc,-49,51
148,3Kc,-49,52.25
149,3Kc,-52,52.25
150,3Kc,-52,51
151,3Kd,-56.166667,50.2
152,3Kd,-56,50.3
153,3Kd,-54,50.333333
154,3Kd,-56.566667,51.383333
155,3Ke,-54,50.333333
156,3Ke,-52.5,50
157,3Ke,-52.5,51
158,3Ke,-54,51
159,3Ke,-54,50.333333
160,3Kf,-52.5,49.25
161,3Kf,-51,49.25
162,3Kf,-51,51
163,3Kf,-52.5,51
164,3Kf,-52.5,49.25
165,3Kg,-51,49.25
166,3Kg,-48,49.25
167,3Kg,-48,51
168,3Kg,-51,51
169,3Kg,-51,49.25
170,3Kh,-55.333333,49.566667
171,3Kh,-54,50.333333
172,3Kh,-56,50.3
173,3Kh,-56.166667,50.2
174,3Ki,-53.466667,49.25
175,3Ki,-52.5,49.25
176,3Ki,-52.5,50
177,3Ki,-54,50.333333
178,3Ki,-55.333333,49.566667
179,3L,-54.166667,46.833333
180,3L,-54.5,46
181,3L,-46.5,46
182,3L,-46.5,49.25
183,3L,-53.466667,49.25
184,3L,-54.244844,49.105118
185,3L,-54.393439,48.25451
186,3L,-53.799058,47.947236
187,3La,-53.1,48.666667
188,3La,-52.5,49.25
189,3La,-53.466667,49.25
190,3Lb,-52.916667,48.166667
191,3Lb,-52.5,48.5
192,3Lb,-52.5,49.25
193,3Lb,-53.1,48.666667
194,3Lc,-52.5,48
195,3Lc,-51,49.25
196,3Lc,-52.5,49.25
197,3Lc,-52.5,49.25
198,3Lc,-52.5,48
199,3Ld,-51,48
200,3Ld,-49,48
201,3Ld,-49,49.25
202,3Ld,-51,49.25
203,3Ld,-51,48
204,3Le,-49,48
205,3Le,-46.5,48
206,3Le,-46.5,49.25
207,3Le,-49,49.25
208,3Le,-49,48
209,3Lf,-52.8,47.8
210,3Lf,-52.5,47.833333
211,3Lf,-52.5,48.5
212,3Lf,-52.916667,48.166667
213,3Lg,-52.5,47
214,3Lg,-51,47
215,3Lg,-51,48
216,3Lg,-52.5,48
217,3Lg,-52.5,47
218,3Lh,-51,47
219,3Lh,-49,47
220,3Lh,-49,48
221,3Lh,-51,48
222,3Lh,-51,47
223,3Li,-49,47
224,3Li,-46.5,47
225,3Li,-46.5,48
226,3Li,-49,48
227,3Li,-49,47
228,3Lj,-53.066667,46.65
229,3Lj,-52.5,46.5
230,3Lj,-52.5,47.833333
231,3Lj,-52.8,47.8
232,3Ls,-52.5,46
233,3Ls,-51,46
234,3Ls,-51,47
235,3Ls,-52.5,47
236,3Ls,-52.5,46
237,3Lr,-51,46
238,3Lr,-49,46
239,3Lr,-49,47
240,3Lr,-51,47
241,3Lr,-51,46
