station_name,Date,mean_temp,total_precip,total_snow,total_rain,spd_max_gust,min_temp,max_temp,heat_deg_days,cool_deg_days,twoweeks
YARMOUTH A,1999-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-18
YARMOUTH A,1999-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-19
YARMOUTH A,1999-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-20
YARMOUTH A,1999-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-21
YARMOUTH A,1999-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-22
YARMOUTH A,1999-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-23
YARMOUTH A,1999-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-24
YARMOUTH A,1999-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-25
YARMOUTH A,1999-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-26
YARMOUTH A,1999-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-27
YARMOUTH A,1999-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-28
YARMOUTH A,1999-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-29
YARMOUTH A,1999-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-30
YARMOUTH A,1999-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-31
YARMOUTH A,1999-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-01-01
YARMOUTH A,1999-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-01-02
YARMOUTH A,1999-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-01-03
YARMOUTH A,1999-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-01-04
YARMOUTH A,1999-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-01-05
YARMOUTH A,1999-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-01-06
YARMOUTH A,1999-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-01-07
