Year,Ground,Survey_Number,Survey_Date,HSC_Estimate,HSC_Turnover_Adjusted,DFO_Estimate,DFO_Turnover_Adjusted
1999,German Bank,1,1999-08-27,NA,NA,NA,165085
1999,German Bank,2,1999-09-10,NA,NA,NA,208259
1999,German Bank,3,1999-09-25,NA,NA,NA,NA
1999,German Bank,4,1999-10-08,NA,NA,NA,NA
1999,Scots Bay,1,1999-07-25,NA,NA,NA,24335
1999,Scots Bay,2,1999-08-08,NA,NA,NA,6093
1999,Scots Bay,3,1999-08-20,NA,NA,NA,10224
1999,Scots Bay,4,1999-09-03,NA,NA,NA,NA
2000,German Bank,1,2000-08-29,NA,NA,NA,100250
2000,German Bank,2,2000-09-12,NA,NA,NA,112849
2000,German Bank,3,2000-09-27,NA,NA,NA,54402
2000,German Bank,4,2000-10-14,NA,NA,NA,8193
2000,Scots Bay,1,2000-08-01,NA,NA,NA,91816
2000,Scots Bay,2,2000-08-14,NA,NA,NA,15306
2000,Scots Bay,3,2000-08-29,NA,NA,NA,60821
2001,German Bank,1,2001-08-27,NA,NA,NA,39160
2001,German Bank,2,2001-09-09,NA,NA,NA,28178
2001,German Bank,3,2001-09-13,NA,NA,NA,99932
2001,German Bank,4,2001-10-03,NA,NA,NA,41653
2001,Scots Bay,1,2001-07-16,NA,NA,NA,98923
2001,Scots Bay,2,2001-07-31,NA,NA,NA,67183
2001,Scots Bay,3,2001-08-16,NA,NA,NA,29146
2002,German Bank,1,2002-08-11,NA,NA,NA,3843
2002,German Bank,2,2002-08-26,NA,NA,NA,113430
2002,German Bank,3,2002-09-10,NA,NA,NA,88312
2002,German Bank,4,2002-09-19,NA,NA,NA,133642
2002,German Bank,5,2002-09-29,NA,NA,NA,NA
2002,German Bank,6,2002-10-08,NA,NA,NA,NA
2002,Scots Bay,1,2002-07-28,NA,NA,NA,38856
2002,Scots Bay,2,2002-08-11,NA,NA,NA,9799
2002,Scots Bay,3,2002-08-21,NA,NA,NA,67749
2002,Scots Bay,4,2002-09-02,NA,NA,NA,NA
2003,German Bank,1,2003-08-29,NA,NA,NA,107204
2003,German Bank,2,2003-09-08,NA,NA,NA,72263
2003,German Bank,3,2003-09-18,NA,NA,NA,13017
2003,German Bank,4,2003-10-10,NA,NA,NA,61964
2003,German Bank,5,2003-10-20,NA,NA,NA,2400
2003,Scots Bay,1,2003-07-31,NA,NA,NA,8759
2003,Scots Bay,2,2003-08-10,NA,NA,NA,71589
2003,Scots Bay,3,2003-08-24,NA,NA,NA,20159
2003,Scots Bay,4,2003-09-06,NA,NA,NA,5272
2004,German Bank,1,2004-09-02,NA,NA,NA,113333
2004,German Bank,2,2004-09-16,NA,NA,NA,145400
2004,German Bank,3,2004-09-30,NA,NA,NA,74380
2004,Scots Bay,1,2004-07-19,NA,NA,NA,1042
2004,Scots Bay,2,2004-08-02,NA,NA,NA,16745
2004,Scots Bay,3,2004-08-16,NA,NA,NA,61042
2004,Scots Bay,4,2004-08-29,NA,NA,NA,17489
2004,Scots Bay,5,2004-09-12,NA,NA,NA,2374
2005,German Bank,1,2005-09-07,NA,NA,NA,91701
2005,German Bank,2,2005-09-21,NA,NA,NA,110942
2005,German Bank,3,2005-10-04,NA,NA,NA,16678
2005,Scots Bay,1,2005-07-31,NA,NA,NA,12404
2005,Scots Bay,2,2005-08-21,NA,NA,NA,6897
2005,Scots Bay,3,2005-09-11,NA,NA,NA,763
2006,German Bank,1,2006-08-25,NA,NA,NA,114069
2006,German Bank,2,2006-09-15,NA,NA,NA,96009
2006,German Bank,3,2006-10-01,NA,NA,NA,33200
2006,German Bank,4,2006-10-15,NA,NA,NA,10696
2006,Scots Bay,1,2006-07-22,NA,NA,NA,21886
2006,Scots Bay,2,2006-08-06,NA,NA,NA,NA
2006,Scots Bay,3,2006-08-19,NA,NA,NA,8979
2007,German Bank,1,2007-08-24,NA,NA,NA,45920
2007,German Bank,2,2007-09-07,NA,NA,NA,23814
2007,German Bank,3,2007-09-21,NA,NA,NA,183761
2007,German Bank,4,2007-10-05,NA,NA,NA,190288
2007,German Bank,5,2007-10-17,NA,NA,NA,NA
2007,Scots Bay,1,2007-07-14,NA,NA,NA,8899
2007,Scots Bay,2,2007-07-28,NA,NA,NA,30760
2007,Scots Bay,3,2007-08-11,NA,NA,NA,4457
2007,Scots Bay,4,2007-08-25,NA,NA,NA,1730
2008,German Bank,1,2008-08-22,NA,NA,NA,25445
2008,German Bank,2,2008-09-05,NA,NA,NA,67338
2008,German Bank,3,2008-09-19,NA,NA,NA,17145
2008,German Bank,4,2008-10-06,NA,NA,NA,106207
2008,German Bank,5,2008-10-21,NA,NA,NA,NA
2008,Scots Bay,1,2008-07-12,NA,NA,NA,5992
2008,Scots Bay,2,2008-07-26,NA,NA,NA,13509
2008,Scots Bay,3,2008-08-09,NA,NA,NA,1257
2009,German Bank,1,2009-08-12,NA,NA,NA,90118
2009,German Bank,2,2009-08-25,NA,NA,NA,96977
2009,German Bank,3,2009-09-14,NA,NA,NA,56887
2009,German Bank,4,2009-09-24,NA,NA,NA,27894
2009,German Bank,5,2009-10-05,NA,NA,NA,52328
2009,Scots Bay,1,2009-06-27,NA,NA,NA,7542
2009,Scots Bay,2,2009-07-11,NA,NA,NA,44725
2009,Scots Bay,3,2009-07-25,NA,NA,NA,13133
2009,Scots Bay,4,2009-08-08,NA,NA,NA,12103
2009,Scots Bay,5,2009-08-21,NA,NA,NA,NA
2010,German Bank,1,2010-08-18,NA,NA,NA,85180
2010,German Bank,2,2010-08-31,NA,NA,NA,40510
2010,German Bank,3,2010-09-15,NA,NA,NA,51673
2010,German Bank,4,2010-10-05,NA,NA,NA,28686
2010,German Bank,5,2010-10-19,NA,NA,NA,1687
2010,Scots Bay,1,2010-07-10,NA,NA,NA,21808
2010,Scots Bay,2,2010-07-24,NA,NA,NA,6493
2010,Scots Bay,3,2010-08-07,NA,NA,NA,12176
2010,Scots Bay,4,2010-08-21,NA,NA,NA,6150
2010,Scots Bay,5,2010-09-05,NA,NA,NA,261
2011,German Bank,1,2011-08-26,NA,NA,NA,30405
2011,German Bank,2,2011-09-08,NA,NA,NA,110062
2011,German Bank,3,2011-09-21,NA,NA,NA,117625
2011,German Bank,4,2011-10-10,NA,NA,NA,NA
2011,German Bank,5,2011-10-23,NA,NA,NA,NA
2011,Scots Bay,1,2011-07-02,NA,NA,NA,37706
2011,Scots Bay,2,2011-07-16,NA,NA,NA,33507
2011,Scots Bay,3,2011-07-30,NA,NA,NA,29229
2011,Scots Bay,4,2011-08-13,NA,NA,NA,12091
2011,Scots Bay,5,2011-08-26,NA,NA,NA,10052
2012,German Bank,1,2012-08-12,NA,NA,NA,33541
2012,German Bank,2,2012-08-26,NA,NA,NA,101453
2012,German Bank,3,2012-09-09,NA,NA,NA,37651
2012,German Bank,4,2012-09-22,NA,NA,NA,41725
2012,German Bank,5,2012-10-07,NA,NA,NA,8711
2012,German Bank,6,2012-10-24,NA,NA,NA,3072
2012,Scots Bay,1,2012-06-30,NA,NA,NA,59795
2012,Scots Bay,2,2012-07-14,NA,NA,NA,47710
2012,Scots Bay,3,2012-07-28,NA,NA,NA,31009
2012,Scots Bay,4,2012-08-11,NA,NA,NA,15507
2012,Scots Bay,5,2012-08-25,NA,NA,NA,6585
2013,German Bank,1,2013-09-03,NA,NA,NA,53509
2013,German Bank,2,2013-09-17,NA,NA,NA,108500
2013,German Bank,3,2013-09-29,NA,NA,NA,13384
2013,German Bank,4,2013-10-05,NA,NA,NA,33432
2013,German Bank,5,2013-10-14,NA,NA,NA,NA
2013,German Bank,6,2013-10-21,NA,NA,NA,NA
2013,Scots Bay,1,2013-06-22,NA,NA,NA,13245
2013,Scots Bay,2,2013-07-06,NA,NA,NA,6309
2013,Scots Bay,3,2013-07-21,NA,NA,NA,10961
2013,Scots Bay,4,2013-08-03,NA,NA,NA,7948
2013,Scots Bay,5,2013-08-17,NA,NA,NA,13625
2013,Scots Bay,6,2013-08-31,NA,NA,NA,11847
2013,Scots Bay,7,2013-09-14,NA,NA,NA,2248
2014,German Bank,1,2014-08-12,NA,NA,NA,51496
2014,German Bank,2,2014-08-25,NA,NA,NA,59467
2014,German Bank,3,2014-09-08,NA,NA,NA,63342
2014,German Bank,4,2014-09-26,NA,NA,NA,NA
2014,German Bank,5,2014-10-06,NA,NA,NA,15580
2014,Scots Bay,1,2014-06-21,NA,NA,NA,57552
2014,Scots Bay,2,2014-07-08,NA,NA,NA,101274
2014,Scots Bay,3,2014-07-19,NA,NA,NA,5208
2014,Scots Bay,4,2014-08-02,NA,NA,NA,14545
2014,Scots Bay,5,2014-08-16,NA,NA,NA,4325
2014,Scots Bay,6,2014-08-30,NA,NA,NA,8098
2015,German Bank,1,2015-08-17,NA,NA,NA,16156
2015,German Bank,2,2015-09-01,NA,NA,NA,61324
2015,German Bank,3,2015-09-13,NA,NA,NA,37271
2015,German Bank,4,2015-09-21,NA,NA,NA,NA
2015,German Bank,5,2015-09-27,NA,NA,NA,25547
2015,German Bank,6,2015-10-12,NA,NA,NA,NA
2015,Scots Bay,1,2015-06-27,NA,NA,NA,82428
2015,Scots Bay,2,2015-07-11,NA,NA,NA,70538
2015,Scots Bay,3,2015-07-25,NA,NA,NA,29868
2015,Scots Bay,4,2015-08-08,NA,NA,NA,28382
2015,Scots Bay,5,2015-08-22,NA,NA,NA,24654
2015,Scots Bay,6,2015-09-08,NA,NA,NA,13355
2016,Scots Bay,1,2016-06-18,25181,NA,23989,23989
2016,Scots Bay,2,2016-07-02,43493,NA,41093,37853
2016,Scots Bay,3,2016-07-16,10007,NA,9423,3788
2016,Scots Bay,4,2016-07-30,11074,NA,11165,9747
2016,Scots Bay,5,2016-08-13,26933,NA,26951,25409
2016,Scots Bay,6,2016-08-27,3252,NA,3047,0
2016,German Bank,1,2016-08-21,37203,NA,35565,35565
2016,German Bank,2,2016-09-01,28127,NA,26914,18010
2016,German Bank,3,2016-09-12,92063,NA,90104,80119
2016,German Bank,4,2016-09-19,17603,NA,15396,NA
2016,German Bank,5,2016-09-26,48923,NA,48906,29667
2016,German Bank,6,2016-10-07,10455,NA,10589,NA
2017,Scots Bay,1,2017-06-21,91726,75258,75364,75364
2017,Scots Bay,2,2017-07-01,27680,27638,26669,11677
2017,Scots Bay,3,2017-07-15,24775,25065,24731,18658
2017,Scots Bay,4,2017-07-29,6916,6329,6270,1353
2017,Scots Bay,5,2017-08-12,22106,18126,17959,17025
2017,Scots Bay,6,2017-08-26,13763,12143,11923,7673
2017,Scots Bay,7,2017-09-08,10284,10576,8188,4525
2017,Scots Bay,8,2017-09-23,2310,1925,1751,0
2017,German Bank,1,2017-08-21,44233,33892,33839,33839
2017,German Bank,2,2017-09-08,84439,64296,65393,60745
2017,German Bank,3,2017-09-17,82359,62869,NA,42053
2017,German Bank,4,2017-10-01,3457,3148,NA,NA
2017,German Bank,5,2017-10-06,6144,4984,5386,0
2017,German Bank,6,2017-10-18,32741,30425,30396,29155
2018,Scots Bay,1,2018-06-09,81722,81722,77909,77909
2018,Scots Bay,2,2018-06-23,29877,18838,26660,16137
2018,Scots Bay,3,2018-07-07,35684,31360,32523,28647
2018,Scots Bay,4,2018-07-21,4887,0,4063,0
2018,Scots Bay,5,2018-08-05,7314,6718,6480,5984
2018,Scots Bay,6,2018-08-18,6087,4134,5163,3440
2018,Scots Bay,7,2018-09-02,7719,6246,6108,5214
2018,Scots Bay,8,2018-09-15,2027,0,365,204
2018,German Bank,1,2018-08-12,13097,13097,12170,12170
2018,German Bank,2,2018-08-26,17576,15022,16066,13693
2018,German Bank,3,2018-09-09,49641,45742,41060,37490
2018,German Bank,4,2018-09-20,46330,32813,35547,24298
2018,German Bank,5,2018-10-01,24816,8685,19873,7218
2018,German Bank,6,2018-10-14,5544,0,4963,NA
2018,Seal Island,1,2018-09-16,8061,8061,6600,6600
2018,Seal Island,2,2018-10-14,8776,8486,7316,7316
2018,Seal Island,3,2018-10-22,15007,12169,14133,14133
2019,Scots Bay,1,2019-06-08,58532,58532,NA,NA
2019,Scots Bay,2,2019-06-22,42750,34844,NA,NA
2019,Scots Bay,3,2019-07-06,21103,15122,NA,NA
2019,Scots Bay,4,2019-07-20,11148,8147,NA,NA
2019,Scots Bay,5,2019-08-04,3587.65,2228,NA,NA
2019,Scots Bay,6,2019-08-18,13432,12947,NA,NA
2019,Scots Bay,7,2019-09-01,14227,12400,NA,NA
2019,Scots Bay,8,2019-09-15,9692,7723,NA,NA
2019,German Bank,1,2019-08-11,15587,15110,NA,NA
2019,German Bank,2,2019-08-25,39104,29583,NA,NA
2019,German Bank,3,2019-09-09,45469,36467,NA,NA
2019,German Bank,4,2019-09-25,89343,78214,NA,NA
2019,German Bank,5,2019-10-08,12431,0,NA,NA
2019,German Bank,6,2019-10-21,26790,16879,NA,NA
2019,German Bank,7,2019-11-03,1753,0,NA,NA
