Year,Month,Day,Date,Ground,id,Survey.No,Fishing,Sample,StartTime,Vessel.No,ExtraBox,EVessel,NVessel,PlanktonVessel,Tow_No,Time1,Time2,TowTime,Lat1,Lon1,Lat2,Lon2,No_jars,Speed,Heading,TideDirection,Swell,WindDirection,WindSpeed,AirTemp,Observer,Net,Gear,TowType,FlowmeterType,FlowReading1,FlowReading2,NoRevs,DistanceCalc,Volume,AvgTowDepth,MaxTowDepth,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon,AvgTemp,AvgSalinity,SurfaceTemp,WaterDepth1,WaterDepth2
2017,6,22,22/06/2017,NA,SB2017-01,1,NA,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,3:03:00,3:13:00,10,45.0885,-65.132,45.1419,-65.2168,1,4,92,NA,> 1,SW,15,12,NA,1,1/500,Surface Tow,NA,NA,NA,NA,NA,NA,1,3,NA,NA,10K100766_20170622_000532,NA,NA,8.003,31.382,8.1,58.5,NA
2017,7,15,15/07/2017,NA,SB2017-02,3,NA,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,19:32:00,NA,NA,45.094583,-65.2667,NA,NA,1,4,45,NA,0,SW,5,10,NA,1,1/500,Surface Tow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,80.5,NA
2017,7,29,29/07/2017,NA,SB2017-03,4,NA,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,3:20:00,3:30:00,10,NA,NA,45.1943,-64.9216,1,4.5,NA,NA,0,0,0,NA,NA,1,1/500,Surface Tow,HydroBios,970,1720,750,20.15475,63.31614713,19,37,NA,NA,10K100766_20170729_230802,NA,NA,10.574,31.527,12.6,NA,NA
2017,8,13,13/08/2017,NA,SB2017-04,5,NA,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,1:13:00,1:23:00,10,45.2533,-65.2333,45.17333333,-65.21,1,6,NA,NA,0,0,0,NA,NA,1,1/500,Surface Tow,HydroBios,1761,6376,4615,124.018895,389.6053586,1,4,NA,NA,10K100766_20170813_042904,NA,NA,11.769,31.306,12.2,52,94
2017,8,26,26/08/2017,NA,SB2017-05,6,NA,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,19:30:00,19:40:00,10,45.09333333,-65.26166667,NA,NA,1,NA,94,NA,NA,NA,NA,NA,NA,1,1/500,Surface Tow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,79,NA
2017,9,8,08/09/2017,NA,SB2017-06,7,NA,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,19:38:00,19:48:00,10,45.0583,-65.235,NA,NA,1,3.7,85,NA,NA,NA,NA,NA,NA,1,1/500,Surface Tow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA
2017,8,21,21/08/2017,NA,GB2017-01,1,NA,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:20:00,19:31:00,11,43.5641,-66.3148,43.52292,-66.319,3,4,NA,NA,0,0,0,NA,NA,1,1/500,Surface Tow,HydroBios,6385,10641,4256,114.371488,359.2980296,0.6,1,NA,NA,10K100766_20170821_224906,NA,NA,11.09,31.955,12.9,67,60
2017,9,8,08/09/2017,NA,GB2017-02,2,NA,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:27:00,19:36:00,9,43.5679,-66.3776,43.559,-66.3804,NA,4,NA,NA,02-Jan,0,0,NA,NA,1,1/500,Surface Tow,HydroBios,10654,13647,2993,80.430889,252.6736378,2,7,NA,NA,10K100766_20170908_224604,NA,NA,13.896,32.17,14.1,79,77
2017,9,17,17/09/2017,NA,GB2017-03,3,NA,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:33:00,19:41:00,8,43.5689,-66.3429,43.5697,-66.3486,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1/500,Surface Tow,HydroBios,13657,17312,3655,98.220815,308.5606903,NA,NA,NA,NA,10K100766_20170917_225337,NA,NA,NA,NA,14.8,75,80
2017,10,1,01/10/2017,NA,GB2017-04,4,NA,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:09:00,19:19:00,10,43.55912,-66.3667,43.57415,-66.3793,NA,4,NA,NA,0.5,NA,NA,NA,NA,1,1/500,Surface Tow,HydroBios,17315,21726,4411,118.536803,372.3833666,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,80,75
