YEAR,AGE,WAA
1970,1,12.25770751
1970,2,23.95230428
1970,3,65.55296108
1970,4,155.1429
1970,5,208.7654222
1970,6,251.8288218
1970,7,293.4071869
1970,8,336.4936975
1970,9,367.2867925
1970,10,397.5
1970,11,397.9
1971,1,8.594713656
1971,2,35.16335175
1971,3,116.4258665
1971,4,171.0022
1971,5,221.0057495
1971,6,254.889267
1971,7,290.4758824
1971,8,326.0978873
1971,9,368.8236842
1971,10,349.1095238
1971,11,388.43
1972,1,11.00962963
1972,2,39.26323772
1972,3,134.0054645
1972,4,192.5075841
1972,5,229.9792666
1972,6,260.6739826
1972,7,293.8802151
1972,8,322.8565116
1972,9,353.5743056
1972,10,379.7363636
1972,11,393.1111111
1973,1,12.06162791
1973,2,28.73015625
1973,3,92.18066732
1973,4,153.429304
1973,5,223.576951
1973,6,261.642963
1973,7,298.6778182
1973,8,336.9531818
1973,9,356.6900943
1973,10,386.4285714
1973,11,392.2115385
1974,1,15.23216374
1974,2,38.11993699
1974,3,93.44915437
1974,4,160.4104005
1974,5,197.9665461
1974,6,251.6239837
1974,7,284.9437908
1974,8,306.43125
1974,9,335.2550562
1974,10,335.245098
1974,11,342.38125
1975,1,12.35458716
1975,2,36.23566457
1975,3,86.40692835
1975,4,161.9701812
1975,5,203.1521132
1975,6,245.37175
1975,7,278.4320197
1975,8,301.2728
1975,9,325.7755906
1975,10,343.6054545
1975,11,363.3493976
1976,1,8.464485981
1976,2,35.78182653
1976,3,93.97549145
1976,4,162.6815686
1976,5,229.9874514
1976,6,247.0804646
1976,7,277.3166197
1976,8,325.3248062
1976,9,340.3704545
1976,10,372.8809524
1976,11,384.1672727
1977,1,13.60046425
1977,2,31.30894231
1977,3,95.74726651
1977,4,162.3772416
1977,5,206.2236111
1977,6,270.7259754
1977,7,273.0685347
1977,8,306.0188312
1977,9,340.4255319
1977,10,378.8728814
1977,11,376.7508197
1978,1,8.706590909
1978,2,32.4954325
1978,3,113.5378392
1978,4,173.7955172
1978,5,216.03652
1978,6,255.7790179
1978,7,307.3488273
