id,Box,PID,Y,X
1,NB Coastal,1,45.333,-66
2,NB Coastal,1,45,-66
3,NB Coastal,1,45,-66.333
4,NB Coastal,1,44.833,-66.333
5,NB Coastal,1,44.833,-67.333
6,NB Coastal,1,45.333,-67.333
7,NB Coastal,1,45.333,-66
8,Grand Manan,2,44.833,-66.333
9,Grand Manan,2,44.667,-66.333
10,Grand Manan,2,44.667,-66.5
11,Grand Manan,2,44.333,-66.5
12,Grand Manan,2,44.333,-66.667
13,Grand Manan,2,44.5,-66.667
14,Grand Manan,2,44.5,-67.333
15,Grand Manan,2,44.833,-67.333
16,Grand Manan,2,44.833,-66.333
17,Grand Manan Banks,3,44.5,-66.667
18,Grand Manan Banks,3,44.333,-66.667
19,Grand Manan Banks,3,44.333,-66.833
20,Grand Manan Banks,3,44,-66.833
21,Grand Manan Banks,3,44,-67.333
22,Grand Manan Banks,3,44.5,-67.333
23,Grand Manan Banks,3,44.5,-67.167
24,Grand Manan Banks,3,44.5,-66.667
25,Long Island,4,44.667,-65.833
26,Long Island,4,44.167,-65.833
27,Long Island,4,44.167,-66.5
28,Long Island,4,44,-66.5
29,Long Island,4,44,-66.833
30,Long Island,4,44.333,-66.833
31,Long Island,4,44.333,-66.5
32,Long Island,4,44.667,-66.5
33,Long Island,4,44.667,-65.833
34,German Bank,5,43.5,-66.167
35,German Bank,5,43,-66.167
36,German Bank,5,43,-67.833
37,German Bank,5,43.5,-67.833
38,German Bank,5,43.5,-66.167
39,Seal Island,6,43.5,-65.333
40,Seal Island,6,43.333,-65.333
41,Seal Island,6,43.333,-65.5
42,Seal Island,6,43.167,-65.5
43,Seal Island,6,43.167,-66.167
44,Seal Island,6,43.5,-66.167
45,Seal Island,6,43.5,-65.333
46,Scots Bay,7,45.5,-66
47,Scots Bay,7,45,-66
48,Scots Bay,7,45,-65.833
49,Scots Bay,7,44.833,-65.833
50,Scots Bay,7,44.833,-66
51,Scots Bay,7,44.667,-66
52,Scots Bay,7,44.667,-65.833
53,Scots Bay,7,44.5,-65.833
54,Scots Bay,7,45,-64
55,Scots Bay,7,45.5,-64
56,Scots Bay,7,45.5,-66
57,Yankee Bank,8,45,-66.333
58,Yankee Bank,8,45,-65.833
59,Yankee Bank,8,44.833,-65.833
60,Yankee Bank,8,44.833,-66
61,Yankee Bank,8,44.667,-66
62,Yankee Bank,8,44.667,-66.333
63,Yankee Bank,8,45,-66.333
64,Trinity,9,44.167,-66.5
65,Trinity,9,44.167,-66
66,Trinity,9,43.833,-66
67,Trinity,9,43.833,-66.5
68,Trinity,9,44.167,-66.5
69,Browns Bank,10,42.833,-67.833
70,Browns Bank,10,42.833,-65.5
71,Browns Bank,10,42,-65.5
72,Browns Bank,10,42,-67.833
73,Browns Bank,10,42.833,-67.833
74,SW Grounds,11,43.167,-66.167
75,SW Grounds,11,43.167,-65.5
76,SW Grounds,11,42.833,-65.5
77,SW Grounds,11,42.833,-67.833
78,SW Grounds,11,43,-67.833
79,SW Grounds,11,43,-66.167
80,SW Grounds,11,43.167,-66.167
81,Gannet Dry Ledge,12,43.833,-66.333
82,Gannet Dry Ledge,12,43.833,-65.667
83,Gannet Dry Ledge,12,43.5,-65.667
84,Gannet Dry Ledge,12,43.5,-67.667
85,Gannet Dry Ledge,12,43.667,-67.667
86,Gannet Dry Ledge,12,43.667,-66.333
87,Gannet Dry Ledge,12,43.833,-66.333
88,Lurcher,13,44,-67.5
89,Lurcher,13,44,-66.5
90,Lurcher,13,43.833,-66.5
91,Lurcher,13,43.833,-66.333
92,Lurcher,13,43.667,-66.333
93,Lurcher,13,43.667,-67.5
94,Lurcher,13,44,-67.5
