Location,Date, Biomass 
German Bank,2017-08-21,"33,839"
German Bank,2017-09-08,"60,745"
German Bank,2017-09-17,"42,053"
German Bank,2017-10-18,"29,155"
German Bank,2018-08-12,"12,170"
German Bank,2018-08-26,"13,693"
German Bank,2018-09-09,"37,490"
German Bank,2018-09-20,"24,298"
German Bank,2018-10-01,"7,218"
Scots Bay,2019-06-08,"17,892"
Scots Bay,2019-06-22,"18,443"
Scots Bay,2019-07-06,"8,504"
Scots Bay,2019-07-20,"4,415"
Scots Bay,2019-08-04,"2,130"
German Bank,2019-08-11,"12,319"
Scots Bay,2019-08-18,"11,883"
German Bank,2019-08-25,"25,125"
Scots Bay,2019-09-01,"10,325"
German Bank,2019-09-09,"29,498"
Scots Bay,2019-09-15,"6,412"
German Bank,2019-09-25,"65,077"
German Bank,2019-10-08,0
German Bank,2019-10-21,"15,120"
German Bank,2019-11-03,0
Scots Bay,2020-06-02,"10,760"
Scots Bay,2020-06-13,"9,128"
Scots Bay,2020-06-27,"39,615"
Scots Bay,2020-07-11,"22,213"
Scots Bay,2020-07-26,"20,447"
Scots Bay,2020-08-09,"40,641"
Spectacle,2020-08-11,278
Trinity,2020-08-12,0
German Bank,2020-08-16,"12,895"
Seal Island,2020-08-16,669
Spectacle,2020-08-21,"1,654"
Trinity,2020-08-22,263
Scots Bay,2020-08-23,"23,351"
German Bank,2020-08-31,"26,279"
Seal Island,2020-08-31,228
Spectacle,2020-08-31,"1,672"
Trinity,2020-09-01,"7,743"
Spectacle,2020-09-05,"7,498"
Scots Bay,2020-09-06,"17,227"
Spectacle,2020-09-10,105
Trinity,2020-09-11,"2,280"
German Bank,2020-09-13,"56,738"
Seal Island,2020-09-13,577
Spectacle,2020-09-15,780
Scots Bay,2020-09-20,"4,769"
German Bank,2020-09-27,875
Seal Island,2020-09-27,"1,133"
German Bank,2020-10-11,"5,692"
Seal Island,2020-10-11,599
German Bank,2020-10-25,"5,514"
Seal Island,2020-10-25,781
Scots Bay,2021-05-26,"3,269"
Scots Bay,2021-06-05,"4,699"
Scots Bay,2021-06-19,"2,876"
Scots Bay,2021-07-05,"5,842"
Scots Bay,2021-07-17,"1,872"
Scots Bay,2021-08-01,"4,078"
Spectacle,2021-08-12,899
Trinity,2021-08-13,6
Scots Bay,2021-08-15,"4,130"
Trinity,2021-08-21,"1,914"
Spectacle,2021-08-22,899
German Bank,2021-08-23,"7,460"
Seal Island,2021-08-23,"1,766"
Scots Bay,2021-08-29,"3,164"
Trinity,2021-08-31,"1,106"
Spectacle,2021-09-01,"5,706"
German Bank,2021-09-05,"46,442"
Seal Island,2021-09-05,"3,532"
Trinity,2021-09-11,417
Spectacle,2021-09-11,"3,831"
Scots Bay,2021-09-13,"37,144"
German Bank,2021-09-20,"71,574"
Seal Island,2021-09-20,365
Spectacle,2021-09-21,"7,698"
Trinity,2021-09-22,160
Scots Bay,2021-09-27,0
German Bank,2021-10-03,0
Seal Island,2021-10-03,"2,752"
German Bank,2021-10-19,145
Seal Island,2021-10-19,527
German Bank,2021-11-03,"10,009"
Seal Island,2021-11-03,462
