Year,month,month_label,variable,reference_area,comparison_area,reference_value,comparison_value,difference,absolute_difference,comparison
2017,8,Aug,monthly_mean_temperature,Prince5,German Bank,11.694942401005672,11.095172803855421,-0.5997695971502512,0.5997695971502512,German Bank minus Prince5
2017,8,Aug,monthly_mean_salinity,Prince5,German Bank,31.879809379577637,31.92050431385542,0.040694934277784256,0.040694934277784256,German Bank minus Prince5
2017,8,Aug,monthly_mean_density,Prince5,German Bank,1024.3017514766864,1024.440005677619,0.1382542009325789,0.1382542009325789,German Bank minus Prince5
2017,8,Aug,monthly_mean_stratification,Prince5,German Bank,0.12494945526123047,1.613657139999999,1.4887076847387686,1.4887076847387686,German Bank minus Prince5
2017,8,Aug,monthly_mean_density_stratification,Prince5,German Bank,0.1606449730447821,0.6912108339388396,0.5305658608940576,0.5305658608940576,German Bank minus Prince5
2017,9,Sep,monthly_mean_temperature,Prince5,German Bank,11.676119254185604,13.401793282349999,1.725674028164395,1.725674028164395,German Bank minus Prince5
2017,9,Sep,monthly_mean_salinity,Prince5,German Bank,32.36156126169058,32.3317414273,-0.029819834390579558,0.029819834390579558,German Bank minus Prince5
2017,9,Sep,monthly_mean_density,Prince5,German Bank,1024.6792097563266,1024.2869520795364,-0.39225767679022283,0.39225767679022283,German Bank minus Prince5
2017,9,Sep,monthly_mean_stratification,Prince5,German Bank,0.23920059204101563,0.5831058950000001,0.34390530295898447,0.34390530295898447,German Bank minus Prince5
2017,9,Sep,monthly_mean_density_stratification,Prince5,German Bank,0.2193641768096768,0.2303792519714989,0.011015075161822097,0.011015075161822097,German Bank minus Prince5
2018,6,Jun,monthly_mean_temperature,Prince5,German Bank,7.81194806098938,8.835336446762085,1.023388385772705,1.023388385772705,German Bank minus Prince5
2018,6,Jun,monthly_mean_salinity,Prince5,German Bank,31.38883275252122,31.976192474365234,0.5873597218440132,0.5873597218440132,German Bank minus Prince5
2018,6,Jun,monthly_mean_density,Prince5,German Bank,1024.5459229108344,1024.8567924548897,0.31086954405532197,0.31086954405532197,German Bank minus Prince5
2018,6,Jun,monthly_mean_stratification,Prince5,German Bank,0.026150226593017578,0.20875000953674316,0.18259978294372559,0.18259978294372559,German Bank minus Prince5
2018,6,Jun,monthly_mean_density_stratification,Prince5,German Bank,0.12676510020264686,-Inf,-Inf,Inf,German Bank minus Prince5
2018,8,Aug,monthly_mean_temperature,Prince5,German Bank,12.57062889979436,12.93620694066265,0.36557804086829115,0.36557804086829115,German Bank minus Prince5
2018,8,Aug,monthly_mean_salinity,Prince5,German Bank,32.07929801940918,31.825194630361445,-0.2541033890477351,0.2541033890477351,German Bank minus Prince5
2018,8,Aug,monthly_mean_density,Prince5,German Bank,1024.2927894113654,1024.0104739187245,-0.2823154926409188,0.2823154926409188,German Bank minus Prince5
