variable_label,comparison_area,n_paired,pearson_r,mean_difference,rmse,mae,paired_t_p_adj_BH,wilcox_p_adj_BH,reference_strength,conclusion
Density,German Bank,20,-0.046598874692045565,-0.03902770679153491,0.6606487227082034,0.5257182222347978,0.7992175364243381,0.985107284492357,Weak,Prince5 does not appear suitable as a reference for this variable
Density,Scots Bay,27,-0.0033710498178285346,0.08300351607965274,0.9401548359463969,0.520663531325538,0.7992175364243381,0.985107284492357,Weak,Prince5 does not appear suitable as a reference for this variable
Density stratification,German Bank,18,0.19713595329719555,0.3405457539465458,0.45753762879161397,0.3597238108958937,5.154376983562439e-4,0.0015966355349954497,Weak,Prince5 does not appear suitable as a reference for this variable
Density stratification,Scots Bay,27,-0.18695745560290547,-0.49887492348547113,2.287963007912682,0.5925294599002419,0.26500000935752477,0.08154127132990813,Weak,Prince5 does not appear suitable as a reference for this variable
Salinity,German Bank,20,0.001402873275355343,-0.11344700324068953,0.761237101878467,0.5798676708099773,0.5190971478155914,0.8373145543608991,Weak,Prince5 does not appear suitable as a reference for this variable
Salinity,Scots Bay,27,0.19257491063187543,0.15917624270871952,1.1891369207567073,0.6436636357449366,0.5190971478155914,0.8373145543608991,Weak,Prince5 does not appear suitable as a reference for this variable
Temperature,German Bank,22,0.7446442322034895,-0.30115716772942985,1.139732406110654,0.9278964751389489,0.22308841269240945,0.2424989667807942,Moderate,Prince5 appears suitable as a temperature reference
Temperature,Scots Bay,27,0.9375629331879164,0.249905662351505,0.7408902338134404,0.5480137166467957,0.15840577446107873,0.19964595658910333,Strong,Prince5 appears suitable as a temperature reference
Temperature stratification,German Bank,22,0.3156414181266191,0.8605131205835016,1.293247833905869,0.9329899964564599,0.001061354284176768,0.0013045398481783543,Weak,Prince5 does not appear suitable as a reference for this variable
Temperature stratification,Scots Bay,27,0.1041012789159753,-0.10707061405239322,0.4611197142874731,0.3669082267289768,0.23444407713609267,0.10487029099633251,Weak,Prince5 does not appear suitable as a reference for this variable
