"Year","month","cast","n_rows_in_cast"
1977,8,"180377009-122193",11
1977,8,"180377009-121021",11
1977,8,"180377009-120021",8
1977,8,"180377009-123111",6
1977,8,"180377009-113809",6
1977,8,"180377009-117555",14
1977,10,"180377012-117557",5
1977,10,"180377012-123113",5
1978,8,"180378014-122199",14
1978,8,"180378014-121027",7
1978,11,"180378020-122201",5
1979,7,"180379012-122205",9
1979,7,"180379012-121033",8
1979,7,"180379012-119493",7
1979,8,"180379016-122207",9
1979,8,"180379016-121035",7
1979,8,"180379016-123117",5
1980,8,"180380009-113814",7
1980,8,"180380009-116048",8
1980,8,"180380009-122211",8
1980,8,"180380009-117560",7
1980,8,"180380009-121039",5
1982,10,"180382016-113823",7
1982,10,"180382016-122220",7
1982,10,"180382016-121047",6
1982,10,"180382016-119505",5
1985,10,"180385006-116062",5
1989,10,"18PE89001-154340",19
1989,10,"18PE89001-154349",17
1989,10,"18PE89001-154348",8
1989,10,"18PE89001-154347",11
1989,10,"18PE89001-154342",9
1989,10,"18PE89001-154344",18
1989,10,"18PE89001-154343",15
1989,10,"18PE89001-154345",12
1989,10,"18PE89001-154359",15
1989,10,"18PE89001-154368",24
1989,10,"18PE89001-154360",27
1989,10,"18PE89001-154367",15
1989,10,"18PE89001-154366",13
1989,10,"18PE89001-154361",12
1989,10,"18PE89001-154365",8
1989,10,"18PE89001-154362",10
1990,10,"18PE90001-154511",16
1990,10,"18PE90001-154508",6
1990,10,"18PE90001-154510",11
1990,10,"18PE90001-154509",11
1990,10,"18PE90001-154514",12
1990,10,"18PE90001-154529",21
1990,10,"18PE90001-154518",27
1990,10,"18PE90001-154530",9
1990,10,"18PE90001-154517",10
1990,10,"18PE90001-154516",20
1990,10,"18PE90001-154515",14
1992,10,"18PE92001-154910",32
1992,10,"18PE92001-154909",23
1992,10,"18PE92001-154908",23
1993,10,"18PE94001-155131",21
1993,10,"18PE94001-155132",32
1993,10,"18PE94001-155135",19
1993,10,"18PE94001-155133",16
1993,10,"18PE94001-155134",11
1993,10,"18PE94001-155182",5
1993,11,"18PE94001-155189",5
1993,11,"18PE94001-155185",8
1993,11,"18PE94001-155188",6
1993,11,"18PE94001-155196",6
1998,10,"18NE98065-187064",70
1998,10,"18NE98065-187071",50
1998,10,"18NE98065-187727",51
1998,10,"18NE98065-187072",23
1998,10,"18NE98065-187074",46
1998,10,"18NE98065-187073",38
1998,10,"18NE98065-187075",41
1998,10,"18NE98065-187076",51
1998,10,"18NE98065-187735",62
1998,10,"18NE98065-187732",73
1998,10,"18NE98065-187730",69
1998,10,"18NE98065-187078",70
1998,10,"18NE98065-187081",41
1998,10,"18NE98065-187731",73
1998,10,"18NE98065-187079",33
1998,10,"18NE98065-187077",37
1998,10,"18NE98065-187729",68
1998,10,"18NE98065-187080",41
1998,10,"18NE98065-187728",60
2009,10,"VIC2009057-005",52
2009,10,"VIC2009057-006",48
2009,10,"VIC2009057-007",71
2009,10,"VIC2009057-008",76
2009,10,"VIC2009057-009",86
