"Year","month","cast","n_rows_in_cast"
1977,1,64,6
1977,3,1033,5
1977,4,1463,6
1977,5,2717,6
1977,6,3845,6
1977,7,4933,5
1977,8,6195,6
1977,9,7383,5
1977,10,8296,5
1977,11,9946,5
1978,1,51,6
1978,2,351,6
1978,3,1343,6
1978,4,1829,6
1978,5,3044,6
1978,6,4679,6
1978,7,6144,6
1978,8,8063,6
1978,9,9468,6
1978,10,10737,6
1978,11,12411,6
1978,12,13289,6
1979,1,117,6
1979,3,2216,6
1979,4,3108,6
1979,5,3779,5
1979,6,5209,6
1979,7,6094,6
1979,8,8370,6
1979,9,9532,6
1979,10,10596,6
1979,11,12390,6
1979,12,13188,6
1980,1,47,6
1980,2,472,6
1980,3,1525,6
1980,4,2867,5
1980,5,4242,6
1980,6,5320,6
1980,7,6185,6
1980,8,8558,6
1980,9,10261,6
1980,10,11915,6
1980,11,13112,6
1980,12,14094,6
1982,2,600,6
1982,3,1262,6
1982,4,2326,6
1982,5,3696,6
1982,6,4938,6
1982,7,5970,6
1982,8,7028,6
1982,9,8017,6
1982,10,9710,6
1985,1,554,6
1985,2,1143,3
1985,3,1877,4
1985,4,2868,6
1985,5,3824,6
1985,6,4495,6
1985,7,6018,6
1985,8,6749,6
1985,9,8732,6
1985,10,9489,6
1985,11,10095,6
1985,12,10939,6
1989,1,178,5
1989,2,606,6
1989,3,1027,6
1989,4,1124,6
1989,5,1731,6
1989,6,2876,6
1989,7,4425,6
1989,8,5284,6
1989,9,5803,6
1989,10,6076,6
1989,11,7157,6
1990,1,264,6
1990,1,266,6
1990,2,745,6
1990,2,747,6
1990,3,1596,6
1990,3,1599,6
1990,4,2465,4
1990,4,2466,4
1990,5,4099,6
1990,5,4100,6
1990,6,4703,6
1990,6,4706,6
1990,7,6463,6
1990,7,6464,6
1990,8,7413,5
1990,8,7416,5
1990,9,8571,6
1990,9,8572,6
1990,10,9199,6
1990,10,9202,6
1990,11,10512,46
1990,11,10514,46
1990,12,11287,36
1990,12,11289,36
1992,1,268,43
1992,1,270,43
1992,2,897,47
1992,2,899,47
1992,3,1449,46
1992,3,1451,46
1992,4,2008,46
1992,4,2009,46
1992,5,3002,46
1992,5,3004,46
1992,6,5682,47
1992,6,5683,47
1992,7,6388,46
1992,7,6390,46
1992,8,7761,26
1992,8,7763,26
1992,9,9269,46
1992,9,9271,46
1992,10,10774,46
1992,10,10775,46
1992,11,12038,45
1992,11,12039,45
1992,12,13307,68
1992,12,13308,68
1993,1,290,47
1993,1,291,47
1993,2,1168,46
1993,2,1170,46
1993,3,1517,47
1993,3,1520,47
1993,4,2480,46
1993,4,2482,46
1993,5,3812,47
1993,5,3813,47
1993,6,5360,46
1993,6,5361,46
1993,7,6494,46
1993,7,6496,46
1993,8,7766,46
1993,8,7767,46
1993,9,9665,46
1993,9,9667,46
1993,10,11164,46
1993,10,11166,46
1993,11,12397,46
1993,11,12399,46
1993,12,13258,47
1993,12,13259,47
1998,1,230,91
1998,1,231,91
1998,2,418,97
1998,2,419,97
1998,3,1625,86
1998,3,1626,86
1998,4,2116,96
1998,4,2117,96
1998,4,2771,98
1998,4,2772,98
1998,5,3388,96
1998,5,3390,96
1998,5,4339,95
1998,5,4340,95
1998,6,5484,93
1998,6,5485,93
1998,6,6129,94
1998,6,6130,94
1998,7,6880,93
1998,7,6881,93
1998,7,7921,93
1998,7,7922,93
1998,8,8686,80
1998,8,8688,80
1998,9,9714,95
1998,9,9715,95
1998,9,10275,95
1998,9,10276,95
1998,9,10788,89
1998,9,10789,89
1998,9,10884,95
1998,9,10885,95
1998,10,11470,92
1998,10,11471,92
1998,11,12408,94
1998,11,12409,94
1998,11,13202,96
1998,11,13203,96
1998,11,13867,93
1998,11,13868,93
1998,12,14100,96
1998,12,14101,96
1998,12,14325,94
1998,12,14326,94
2009,1,90,97
2009,2,704,91
2009,3,1225,93
2009,4,1703,81
2009,5,3022,92
2009,6,4844,95
2009,7,5842,98
2009,8,8142,96
2009,9,9516,98
2009,10,10950,86
2009,11,12601,99
2009,12,13269,86
