"","Year","month","month_name","area","Source","monthly_mean_temperature","monthly_mean_salinity","monthly_mean_stratification","monthly_mean_density_stratification","monthly_mean_density","n_casts","mean_latitude","mean_longitude","month_label"
"1",2017,6,"June","Prince5",NA,7.02224040031433,31.2081113228431,0.328299522399902,0.307971683301048,1024.51090623769,1,44.9306983947754,-66.8495025634766,"Jun"
"2",2017,6,"June","Scots Bay","HSC",8.02327911904819,31.3998130138554,0.0841752869999999,0.116761999999881,1024.52517437349,1,45.115,-65.24,"Jun"
"3",2017,7,"July","Prince5",NA,9.61797505158644,31.4614652486948,0.139299392700195,0.179889651040867,1024.3316703626,1,44.9306983947754,-66.8495025634766,"Jul"
"4",2017,7,"July","Prince5",NA,10.1386553544265,31.4386431033795,0.250239944458008,0.193058269645235,1024.22768496094,5,45.130899810791,-65.3368591308594,"Jul"
"5",2017,7,"July","Scots Bay","DFO",10.1386553544265,31.4386431033795,0.250239944458008,0.193058269645235,1024.22768496094,5,45.130899810791,-65.3368591308594,"Jul"
"6",2017,7,"July","Scots Bay","HSC",11.4901170505361,31.2111453189096,0.170979990000001,0.164435500000025,1023.7920104259,2,45.138865,-65.1007,"Jul"
"7",2017,8,"August","German Bank","HSC",11.0951728038554,31.9205043138554,1.61365714,0.691594000000123,1024.44081225301,1,43.55292,-66.3148,"Aug"
"8",2017,8,"August","Prince5",NA,11.6949424010057,31.8798093795776,0.12494945526123,0.160644973044782,1024.30175147669,1,44.9306983947754,-66.8495025634766,"Aug"
"9",2017,8,"August","Scots Bay","HSC",11.7693243956627,31.3286513773494,0.0298982000000017,0.421992000000046,1023.86116987952,1,45.17333333,-65.21,"Aug"
"10",2017,9,"September","German Bank","HSC",13.40179328235,32.3317414273,0.583105895,0.230481000000054,1024.28776772,2,43.559,-66.3804,"Sep"
"11",2017,9,"September","Prince5",NA,11.6761192541856,32.3615612616906,0.239200592041016,0.219364176809677,1024.67920975633,1,44.9306983947754,-66.8495025634766,"Sep"
"12",2017,10,"October","Prince5",NA,12.4190807342529,32.4997887244591,0.220800399780273,0.218530684279585,1024.64756469628,1,44.9306983947754,-66.8495025634766,"Oct"
"13",2017,11,"November","Prince5",NA,11.1112424410306,32.5578133509709,0.0276498794555664,0.116414258240866,1024.93366968123,1,44.9306983947754,-66.8495025634766,"Nov"
"14",2018,6,"June","German Bank","DFO",8.83533644676208,31.9761924743652,0.208750009536743,-Inf,1024.85679245489,4,43.3349962234497,-66.236644744873,"Jun"
"15",2018,6,"June","Prince5",NA,7.81194806098938,31.3888327525212,0.0261502265930176,0.126765100202647,1024.54592291083,1,44.9306983947754,-66.8495025634766,"Jun"
"16",2018,6,"June","Prince5",NA,8.83533644676208,31.9761924743652,0.208750009536743,-Inf,1024.85679245489,4,43.3349962234497,-66.236644744873,"Jun"
"17",2018,6,"June","Scots Bay","HSC",7.59913278044578,31.123134310241,0.0892717120000004,0.135477000000037,1024.36733186747,2,45.069485,-65.1972,"Jun"
"18",2018,7,"July","Prince5",NA,10.7479289495028,31.79130590879,0.0974006652832031,0.151083149810802,1024.40094561403,1,44.9306983947754,-66.8495025634766,"Jul"
"19",2018,7,"July","Prince5",NA,12.3895295216487,31.4168218955016,0.845399856567383,0.399763877010779,1023.80862561345,3,45.2275670369466,-65.3629659016927,"Jul"
"20",2018,7,"July","Scots Bay","DFO",12.3895295216487,31.4168218955016,0.845399856567383,0.399763877010779,1023.80862561345,3,45.2275670369466,-65.3629659016927,"Jul"
"21",2018,7,"July","Scots Bay","HSC",11.2287714035743,31.1915702578715,0.263217753333334,0.206952666666666,1023.85086889157,3,45.0929766666667,-65.1403666666667,"Jul"
"22",2018,8,"August","German Bank","HSC",12.9362069406627,31.8251946303614,3.40541326,1.08065900000008,1024.01137815663,2,43.55735,-66.3607,"Aug"
"23",2018,8,"August","Prince5",NA,12.5706288997944,32.0792980194092,0.342249870300293,0.255027475083125,1024.29278941137,1,44.9306983947754,-66.8495025634766,"Aug"
"24",2018,8,"August","Scots Bay","HSC",12.9356663650602,31.1736435437349,0.391090460000001,0.374006000000008,1023.52237627711,1,45.0562,-65.2104,"Aug"
"25",2018,9,"September","German Bank","HSC",12.9353816671084,32.0824984150602,0.359310199999999,0.329250999999886,1024.22520607229,2,43.5665,-66.3382,"Sep"
"26",2018,9,"September","Prince5",NA,13.3938557918255,32.2901442601131,0.020050048828125,0.124814651511997,1024.29491296975,1,44.9306983947754,-66.8495025634766,"Sep"
"27",2018,9,"September","Scots Bay","HSC",13.0572399074699,32.0348320785542,0.87748698,0.216940000000022,1024.1647950241,1,45.0605,-65.2333,"Sep"
