"","source","cast","Year","month","date","station","latitude","longitude","maxDepth","n_depths","mean_temp","mean_salinity","surface_temp","bottom_temp","surface_salinity","bottom_salinity","temp_stratification","salinity_stratification"
"1","DFO","180377009-117555",1977,8,1977-08-16,"117555",43.5,-66.5,25.8900819798676,10,11.135,NA,11.7357142857143,9.4,NA,NA,2.33571428571429,NA
"2","DFO","180377009-120021",1977,8,1977-08-11,"120021",43.533,-66.317,20.4345279571967,6,9.345,NA,9.6175,8.8,NA,NA,0.817499999999999,NA
"3","DFO","180377009-121021",1977,8,1977-08-11,"121021",43.583,-66.417,27.6752723607768,3,11.5666666666667,NA,11.8,11.3,NA,NA,0.5,NA
"4","DFO","180377009-122193",1977,8,1977-08-11,"122193",43.65,-66.533,28.0718498508984,8,10.025,NA,10.95,8.5,NA,NA,2.45,NA
"5","DFO","180377009-123111",1977,8,1977-08-11,"123111",43.7,-66.3,26.4847294617793,5,8.92,NA,9.25,8.6,NA,NA,0.65,NA
"6","DFO","180378014-122199",1978,8,1978-08-19,"122199",43.65,-66.533,24.0051420526594,3,14.5,NA,14.8,14.35,NA,NA,0.450000000000001,NA
"7","DFO","180379012-119493",1979,7,1979-07-27,"119493",43.517,-66.317,26.9811206206637,6,11.2833333333333,NA,11.9333333333333,10.3,NA,NA,1.63333333333333,NA
"8","DFO","180379012-121033",1979,7,1979-07-27,"121033",43.583,-66.417,22.7158215360542,2,11.5,NA,11.6,11.4,NA,NA,0.199999999999999,NA
"9","DFO","180379012-122205",1979,7,1979-07-27,"122205",43.65,-66.533,21.7237827684805,5,11.5,NA,11.9333333333333,10.85,NA,NA,1.08333333333333,NA
"10","DFO","180380009-116048",1980,8,1980-08-12,"116048",43.4,-66.417,25.8903205730603,5,11.76,NA,12.45,10.95,NA,NA,1.5,NA
"11","DFO","180385006-116062",1985,10,1985-10-24,"116062",43.4,-66.417,29.7587077560304,4,10.655,NA,10.75,10.56,NA,NA,0.190000000000001,NA
"12","DFO","18NE98065-187064",1998,10,1998-10-29,"187064",43.5252,-66.3098,29.7583643967046,30,9.37266666666667,31.8066666666667,9.519,9.14909090909091,31.76,31.8754545454545,0.369909090909092,0.115454545454543
"13","DFO","18PE89001-154340",1989,10,1989-10-26,"154340",43.2333,-66.5167,28.7672623891416,11,8.98454545454545,32.1954545454545,9.1275,8.91,32.055,32.314,0.217500000000001,0.259
"14","DFO","18PE89001-154342",1989,10,1989-10-26,"154342",43.2833,-66.2833,24.799490431573,7,8.82428571428571,32.4642857142857,8.838,8.79,32.438,32.53,0.0480000000000018,0.0920000000000059
"15","DFO","18PE89001-154343",1989,10,1989-10-26,"154343",43.3167,-66.2833,26.783237364869,12,8.91416666666667,32.33,9.15,8.7325,32.265,32.3675,0.4175,0.102499999999999
"16","DFO","18PE89001-154344",1989,10,1989-10-26,"154344",43.4,-66.2833,28.766820579655,12,9.4175,31.9245454545455,9.87,8.94666666666667,31.788,32.0866666666667,0.923333333333332,0.298666666666666
"17","DFO","18PE89001-154345",1989,10,1989-10-26,"154345",43.4167,-66.2,28.7667763111453,10,9.115,31.872,9.26,9.01,31.7966666666667,31.9433333333333,0.25,0.146666666666668
"18","DFO","18PE89001-154347",1989,10,1989-10-26,"154347",43.5167,-66.3167,22.8151511558273,3,8.94333333333333,31.93,8.96,8.935,31.93,31.93,0.0250000000000021,0
"19","DFO","18PE89001-154348",1989,10,1989-10-26,"154348",43.3833,-66.4,26.783073014314,5,9.048,32.634,9,9.08,32.6,32.6566666666667,-0.0800000000000001,0.0566666666666649
"20","DFO","18PE89001-154349",1989,10,1989-10-26,"154349",43.4833,-66.4333,28.7665997534314,11,9.14272727272727,32.6227272727273,8.83,9.432,32.38,32.83,-0.602,0.450000000000003
"21","DFO","18PE89001-154359",1989,10,1989-10-27,"154359",43.6333,-66.5167,28.7662020239698,10,9.61,33.049,9.415,9.745,32.955,33.1275,-0.33,0.172499999999999
"22","DFO","18PE89001-154360",1989,10,1989-10-27,"154360",43.5833,-66.4,28.766334611851,13,9.13076923076923,32.4381818181818,9.3975,9.048,32.1,32.646,0.349500000000001,0.545999999999999
"23","DFO","18PE89001-154361",1989,10,1989-10-27,"154361",43.6,-66.3,26.7825381155202,10,8.797,32.125,8.935,8.6775,32.0075,32.23,0.257499999999999,0.222500000000004
"24","DFO","18PE89001-154365",1989,10,1989-10-27,"154365",43.6833,-66.25,24.7985762297789,7,8.73571428571429,32.0057142857143,8.81,8.67333333333333,31.99,32.02,0.136666666666667,0.0299999999999976
"25","DFO","18PE89001-154366",1989,10,1989-10-27,"154366",43.7,-66.3,28.7660251349069,7,8.87571428571429,32.0128571428571,8.93,8.745,31.965,32.09,0.184999999999999,0.125000000000004
"26","DFO","18PE89001-154367",1989,10,1989-10-27,"154367",43.7,-66.3333,28.7660251349069,11,8.83909090909091,32.0754545454545,9.045,8.69666666666667,31.95,32.1633333333333,0.348333333333333,0.213333333333335
"27","DFO","18PE89001-154368",1989,10,1989-10-27,"154368",43.6667,-66.4167,26.7823734337355,10,8.932,32.4377777777778,9.022,8.84666666666667,32.355,32.52,0.175333333333334,0.164999999999999
"28","DFO","18PE90001-154508",1990,10,1990-10-26,"154508",43.3,-66.2667,20.8317419717961,2,10.72,33.135,10.72,10.72,33.13,33.14,0,0.00999999999999801
"29","DFO","18PE90001-154509",1990,10,1990-10-26,"154509",43.4833,-66.2,22.8152213878553,10,10.457,32.92,10.33,10.58,32.7725,33.064,-0.25,0.291499999999999
"30","DFO","18PE90001-154510",1990,10,1990-10-26,"154510",43.6667,-66.25,26.7823734337355,8,10.60375,32.705,10.6,10.6075,32.6466666666667,32.755,-0.00750000000000028,0.108333333333334
"31","DFO","18PE90001-154511",1990,10,1990-10-26,"154511",43.6667,-66.3,28.7661134491926,14,10.5971428571429,32.7471428571429,10.59,10.592,32.43,33.066,-0.00200000000000067,0.636000000000003
"32","DFO","18PE90001-154514",1990,10,1990-10-27,"154514",43.6167,-66.2333,26.782496885044,11,10.5709090909091,32.7372727272727,10.574,10.572,32.584,32.884,0.00199999999999889,0.300000000000004
"33","DFO","18PE90001-154515",1990,10,1990-10-28,"154515",43.5833,-66.3,28.766334611851,5,10.462,32.87,10.4566666666667,10.47,32.8366666666667,32.92,-0.0133333333333336,0.0833333333333357
"34","DFO","18PE90001-154516",1990,10,1990-10-28,"154516",43.5833,-66.3,26.7825793448411,13,10.3423076923077,32.9353846153846,10.224,10.462,32.734,33.104,-0.238,0.369999999999997
"35","DFO","18PE90001-154517",1990,10,1990-10-28,"154517",43.3833,-66.4,26.783073014314,6,10.49,33.1166666666667,10.4833333333333,10.4966666666667,33.1,33.1333333333333,-0.0133333333333319,0.0333333333333314
"36","DFO","18PE90001-154518",1990,10,1990-10-28,"154518",43.25,-66.5,20.8318379257842,11,10.4572727272727,32.8536363636364,10.458,10.4566666666667,32.746,32.9433333333333,0.00133333333333319,0.197333333333333
"37","DFO","18PE90001-154529",1990,10,1990-10-28,"154529",43.65,-66.5333,28.7661577371792,6,10.6483333333333,33.2533333333333,10.6633333333333,10.6333333333333,33.21,33.2966666666667,0.0300000000000011,0.086666666666666
"38","DFO","18PE90001-154530",1990,10,1990-10-28,"154530",43.6833,-66.4167,28.7660694252333,3,10.51,33.1866666666667,10.505,10.52,33.175,33.21,-0.0150000000000006,0.0350000000000037
"39","DFO","18PE92001-154908",1992,10,1992-10-30,"154908",43.5167,-66.3167,28.7665112013523,10,9.907,31.732,10.02,9.7775,31.605,31.8675,0.2425,0.262499999999999
"40","DFO","18PE92001-154909",1992,10,1992-10-30,"154909",43.5667,-66.4,26.7826203261208,6,9.74666666666667,31.8466666666667,9.92,9.712,31.59,31.898,0.208,0.308
"41","DFO","18PE92001-154910",1992,10,1992-10-30,"154910",43.65,-66.5333,26.7824146675873,9,9.46444444444444,32.1,9.44,9.484,32.0375,32.15,-0.0440000000000005,0.112499999999997
"42","DFO","18PE94001-155132",1993,10,1993-10-26,"155132",43.5667,-66.4,24.7988427870731,12,9.80666666666667,32.9066666666667,9.604,10.002,32.828,32.992,-0.398000000000001,0.163999999999994
"43","DFO","18PE94001-155133",1993,10,1993-10-26,"155133",43.5167,-66.3,22.8151511558273,11,9.87454545454545,32.97,9.3925,10.225,32.765,33.125,-0.8325,0.359999999999999
