Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1494249845989184,13.302629470825195,37795.8984375,49338.516649736586,31.740852603632522,1497.3484624832022,1023.8112368961273
0.44999999999999996,0.44829058816951162,13.326919556841498,37744.686938006664,49240.439062717596,31.6726694698277,1497.3539178214128,1023.7550699508
0.74999999999999989,0.74715791215073257,13.32666061152166,37780.9446843593,49288.07269084343,31.7066249801538,1497.3980554949887,1023.7827176077601
1.05,1.0460195703560715,13.324250365071103,37792.405269180352,49306.124593665278,31.719218272965342,1497.409832672221,1023.7942758230308
1.35,1.344878075231839,13.319446323646321,37799.518069040263,49321.586942808695,31.729747184529355,1497.41120115807,1023.8047113966364
1.65,1.6437338971426536,13.312777225208018,37801.54668915127,49332.819788746114,31.737083504045664,1497.4025891172673,1023.8130473597339
1.9500000000000002,1.9425868249561782,13.302753382761338,37804.57082101384,49349.677872019885,31.748149985663563,1497.3871957226322,1023.8249299275059
2.25,2.2414375093133838,13.294295630855451,37798.340758604878,49352.442884664313,31.749264380670873,1497.365274268295,1023.8288081515126
2.55,2.5402865245389976,13.286453663462574,37798.4590554165,49362.705916385545,31.755800118446881,1497.3517964836078,1023.8367558630107
2.85,2.8391341104933918,13.284739517081324,37797.81615252544,49364.076430063426,31.756512025061689,1497.3518736123185,1023.8389906693989
3.15,3.1379823719006992,13.284662597464163,37787.034711011824,49350.094982311137,31.746378922367686,1497.3446125795801,1023.8325171453906
3.4499999999999997,3.4368295201887347,13.284763240713161,37805.460616565877,49374.02953084273,31.763404713584421,1497.3699893786279,1023.8470071041597
3.75,3.7356743260592689,13.277113085645405,37797.50307414589,49373.502893979516,31.762232005956069,1497.3480503080384,1023.8489566033579
4.05,4.0345174267493986,13.262385198494842,37792.601120335181,49386.101943563437,31.76982618150252,1497.3128447127488,1023.859080545506
4.35,4.3333579269245535,13.246374025235367,37783.383547445817,49394.726311200036,31.774457807881802,1497.2698437070642,1023.8671651324015
4.6499999999999995,4.6321950703875023,13.222682773875022,37775.195140877186,49414.630789202885,31.786474789218708,1497.209900118713,1023.8824712316747
4.9499999999999993,4.9310261661345534,13.189351698383421,37771.257643717327,49452.603885543576,31.810553071929235,1497.1319495669147,1023.9089968607323
5.2499999999999991,5.2298510828716314,13.129991965407811,37722.789029969164,49466.033279251584,31.814696654806792,1496.9432938104551,1023.9252039628943
5.55,5.5286684264322394,13.048445840515155,37675.93604395166,49510.479615744473,31.838969736003044,1496.7037634488604,1023.9612866753652
5.85,5.8274753141243165,12.935272056262035,37592.277044421178,49547.920716988454,31.855218843255763,1496.3478958725971,1023.9972530577709
