Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
38.8,0,18.797060012817383,890.78692626953125
39,0.24959784103232607,18.319517135620117,34483.2578125
39.2,0.4831701388517633,17.1519718170166,36244.99609375
39.4,0.59893314101690187,16.360870361328125,37734.00390625
39.6,0.71624109557462035,15.889308929443359,39617.9765625
39.8,0.83406975630909486,15.576156616210938,39523.234375
40,0.95447429137218265,15.349971771240234,39480.05859375
40.2,1.0655814555246277,15.193988800048828,39463.140625
40.4,1.1627315960564655,15.096565246582031,39463.4765625
40.6,1.2469689863441626,15.03535270690918,39468.47265625
40.8,1.3265562606650647,15.000885009765625,39465.24609375
41,1.4314569123663361,14.975545883178711,39457.35546875
41.2,1.5451456728932929,14.956767082214356,39442.6015625
41.4,1.6453990696507166,14.943275451660156,39434.27734375
41.6,1.76373222409857,14.930717468261719,39424.2734375
41.8,1.8753505576846088,14.921341896057129,39421.20703125
42,1.9833544656114661,14.913037300109863,39422.1796875
42.2,2.0872194270051221,14.905705451965332,39413.3984375
42.4,2.1786828075882294,14.899406433105469,39407.1328125
42.6,2.282029923828075,14.894796371459961,39420.17578125
42.8,2.3982993270552271,14.89000129699707,39409.109375
43,2.5062965592618696,14.88671875,39401.140625
43.2,2.6272132174328675,14.884685516357422,39408.18359375
43.4,2.7346916508113868,14.88139820098877,39404.05859375
43.6,2.8499196416850214,14.878704071044922,39405.7734375
43.8,2.9589516105249665,14.873409271240234,39405.26953125
44,3.0969123360787769,14.870500564575195,39396.9921875
44.2,3.2250578455681342,14.868165016174316,39399.5
44.4,3.3413196194007551,14.865560531616211,39406.515625
44.6,3.4617098493490968,14.862310409545898,39401.31640625
44.8,3.600186512708083,14.859079360961914,39398.828125
45,3.7386622223927546,14.85655689239502,39402.171875
45.2,3.8854005663547682,14.854381561279297,39397.55078125
45.4,4.0125065708392444,14.853042602539063,39396.984375
45.6,4.1235984762026252,14.851844787597656,39399.87890625
45.8,4.2352053656968653,14.851301193237305,39399.4296875
46,4.3664398262970643,14.848667144775391,39384.76953125
46.2,4.5100739603591755,14.846373558044434,39392.6171875
46.4,4.6309791744383784,14.84619140625,39385.15625
46.6,4.752916264127931,14.845327377319336,39391.44140625
46.8,4.8717500975918977,14.844860076904297,39388.59765625
47,4.9807725296886787,14.844600677490234,39409.23046875
47.2,5.0959890764705165,14.845075607299805,39384.3515625
47.4,5.2075892902445418,14.845582962036133,39392.015625
47.6,5.333657697072768,14.845188140869141,39402.68359375
47.8,5.4473226157418129,14.845001220703125,39398.4140625
48,5.5677052162956251,14.844005584716797,39394.3359375
48.2,5.6917031961829316,14.844398498535156,39400.33203125
48.4,5.7934843791952382,14.843220710754395,39394.53125
48.6,5.9040517636845973,14.843742370605469,39396.58984375
48.8,6.0135815505177046,14.843421936035156,39401.39453125
49,6.1298309265842121,14.845650672912598,39401.5703125
49.2,6.2460745806048195,14.846054077148438,39402.33984375
49.4,6.3700696994691768,14.846603393554688,39401.984375
49.6,6.4956116780747468,14.847243309020996,39404.18359375
49.8,6.609272782046526,14.846262931823731,39392.58984375
50,6.7131186699538521,14.847390174865723,39400.046875
50.2,6.8283285410154768,14.845896720886231,39397.03125
50.4,6.9538686122724123,14.844179153442383,39394.125
50.6,7.0773392102627479,14.840556144714356,39385.3046875
50.8,7.20546755361441,14.839056968688965,39403.14453125
51,7.3377195847102126,14.839153289794922,39399.125
51.2,7.447245556846056,14.840447425842285,39402.4765625
51.4,7.561936629079554,14.843177795410156,39416.40625
51.6,7.6869598088569973,14.844949722290039,39409.375
51.8,7.8083609335807314,14.849672317504883,39413.00390625
52,7.9364797401892293,14.851184844970703,39431.98828125
52.2,8.0614991052694087,14.855875015258789,39462.28515625
52.4,8.1901348033573989,14.864242553710938,39475.5
52.6,8.2996550534473421,14.877433776855469,39518.953125
52.8,8.3931631117648262,14.898351669311523,39538.953125
53,8.5099160278703945,14.915363311767578,39546.40234375
53.2,8.6246032854066286,14.929943084716797,39541.65234375
53.4,8.73722106967626,14.943099975585938,39852.65234375
53.6,8.85345327960507,14.996416091918945,40358.7890625
53.8,8.9856995886549758,15.140939712524414,40499.3671875
54,9.066289174682419,15.298476219177246,40540.30078125
54.2,9.0730204996014638,15.393325805664063,40458.22265625
54.4,8.9888380519375026,15.455472946166992,40524.15625
54.6,8.8163224743907271,15.493319511413574,40513.125
54.8,8.6412224394464925,15.471023559570313,40248.19140625
55,8.4681918777688576,15.334146499633789,39696.14453125
55.2,8.3158217164818478,15.195032119750977,39595.5390625
55.4,8.1231569079780428,15.090538024902344,39523.65234375
55.6,7.8933007084830251,15.01054859161377,39470.5546875
55.8,7.6665420431676967,14.951257705688477,39438.03125
56,7.4614718391560775,14.911972999572754,39433.04296875
56.2,7.2719045648319582,14.888311386108398,39421.5546875
56.4,7.0782002513232705,14.86993408203125,39414.4296875
56.6,6.8901760220430965,14.861016273498535,39416.5078125
56.8,6.6897559339982742,14.856317520141602,39411.25
57,6.5187738647522817,14.852499008178711,39410.6171875
57.2,6.3126698777816781,14.850201606750488,39418.5625
57.4,6.1308388095122481,14.849244117736816,39408.765625
57.6,5.9314410603346133,14.848398208618164,39398.42578125
57.8,5.731528327026119,14.845149040222168,39406.07421875
58,5.49648223190122,14.844882965087891,39404.1328125
58.2,5.2645346246303237,14.843033790588379,39390.01171875
58.4,5.01966854506939,14.842204093933106,39402.828125
58.6,4.8006308270196847,14.83830451965332,39391.875
58.8,4.5567956693947842,14.836119651794434,39382.7578125
59,4.2943562332054324,14.836735725402832,39391.7421875
59.2,3.9781848786811178,14.835742950439453,39394.55859375
59.4,3.6077561312735025,14.836664199829102,39385.78125
59.6,3.2337091435094436,14.837828636169434,39390.28125
59.8,2.8596554800251681,14.839808464050293,39400.37109375
60,2.47732869184607,14.841387748718262,39399.578125
60.2,2.1172101174731228,14.844395637512207,39397.06640625
60.4,1.7705173701265426,14.857194900512695,39459.1015625
60.6,1.3985055233536947,14.887991905212402,39501.125
60.8,1.1158768018860208,14.925074577331543,39520.46875
61,0.81464094083094452,14.956223487854004,39555.1015625
61.2,0.63018154614549893,14.976184844970703,39531.4375
61.4,0.44571929043710234,14.990926742553711,39554.828125
61.6,0.25712476391571926,15.005306243896484,39575.5625
61.8,0.08558002682304533,15.019214630126953,39586.65625
62,0.011180370296777653,15.0289306640625,29833.3203125
62.2,-0.0084430945180624661,15.03757381439209,3941.89599609375
62.4,-0.010500832099017643,15.053873062133789,3137.618408203125
62.6,-0.012035956154580418,15.072965621948242,2884.589111328125
62.8,-0.00892477894061372,15.083488464355469,2377.6484375
63,-0.010464671367760303,15.09805965423584,1708.0277099609375
63.2,-0.0016695952280105786,15.109492301940918,1889.5364990234375
63.4,0.014363868973260807,15.124814987182617,24278.4140625
63.6,-0.0088778361980264009,15.136510848999023,2409.6884765625
63.8,0.031955928601391292,15.150476455688477,3170.093017578125
64,0.0092301612352798656,15.169370651245117,11591.119140625
64.2,-0.0026466071073922848,15.187034606933594,1474.097412109375
64.4,-0.0062473897322927741,15.204685211181641,1473.06591796875
64.6,-0.01243549077760342,15.217682838439941,1503.6141357421875
64.8,-0.01294446126871307,15.229259490966797,1424.4090576171875
65,-0.011378236447324497,15.231410980224609,1304.39697265625
65.2,-0.012918128874469304,15.232372283935547,1290.459228515625
65.4,-0.016008695740092449,15.220704078674316,1248.526611328125
65.6,-0.015996960054446063,15.20732593536377,1129.3741455078125
65.8,-0.014435503604637745,15.193386077880859,1063.2012939453125
66,-0.013389984960006984,15.184896469116211,1049.6317138671875
66.2,-0.013376341925727786,15.165267944335938,986.23419189453125
66.4,-0.015434079506681186,15.149530410766602,946.4071044921875
66.6,-0.014388560862050426,15.144195556640625,915.5977783203125
66.8,-0.013343042217417889,15.151908874511719,883.25103759765625
67,-0.012812507703646503,15.173899650573731,851.98394775390625
67.2,-0.014353353805109492,15.201322555541992,845.4554443359375
67.4,-0.015374447404129299,15.229454040527344,828.8623046875
67.6,-0.012778254321021976,15.258431434631348,800.018310546875
67.8,-0.013801255268674595,15.285191535949707,797.577880859375
68,-0.015856131826680553,15.314302444458008,793.663330078125
68.2,-0.016361287620526355,15.347916603088379,781.8248291015625
68.4,-0.017382381219546161,15.380685806274414,790.51910400390625
68.6,-0.015820924769739619,15.417984962463379,768.209716796875
68.8,-0.016326080563585421,15.45426082611084,791.728271484375
69,-0.017347174162605228,15.487789154052734,740.75872802734375
69.2,-0.01164963220254478,15.517440795898438,681.62969970703125
69.4,-0.018874377229787243,15.535113334655762,855.29730224609375
69.6,-0.016795075626172107,15.545557022094727,813.2298583984375
69.8,-0.017817122899510096,15.571019172668457,711.19677734375
70,-0.017805387213861934,15.594883918762207,654.6513671875
70.2,-0.017276760048723361,15.616717338562012,651.3990478515625
70.4,-0.0162312414040926,15.638996124267578,650.9210205078125
70.6,-0.012603172710631938,15.658293724060059,637.465087890625
70.8,-0.013106421155844927,15.67070198059082,636.79815673828125
71,-0.013611576949688953,15.672735214233398,640.27484130859375
71.2,-0.013083903458866786,15.683432579040527,688.24658203125
71.4,-0.016173516650173525,15.691752433776856,690.31121826171875
71.6,-0.015127998005540988,15.706940650939941,639.03289794921875
71.8,-0.013566541555734446,15.73166561126709,601.33905029296875
72,-0.016138309593230815,15.76340389251709,580.07159423828125
72.2,-0.013027132379264117,15.793758392333984,600.647216796875
72.4,-0.014565117457777888,15.826127052307129,583.1865234375
72.6,-0.01713593182095785,15.856674194335938,554.78057861328125
72.8,-0.016607304655819277,15.884883880615234,540.5091552734375
73,-0.014529910400836954,15.90946102142334,532.985595703125
73.2,-0.017617616243509104,15.930968284606934,525.53955078125
73.4,-0.015539268314210375,15.953928947448731,526.75604248046875
73.6,-0.014494703343894244,15.959377288818359,534.995361328125
73.8,-0.016032688422408015,15.960275650024414,533.07757568359375
74,-0.014987169777777254,15.970465660095215,525.1007080078125
74.2,-0.016525154856289248,15.989469528198242,514.105224609375
74.4,-0.015996527691150675,16.016246795654297,524.0118408203125
74.6,-0.0165016834849947,16.03477668762207,520.1846923828125
74.8,-0.015457118514680346,16.050518035888672,510.4141845703125
75,-0.014928491349541773,16.066322326660156,501.84341430664062
75.2,-0.016983367907545954,16.060266494750977,504.38150024414062
75.4,-0.016454740742407381,16.033246994018555,499.8326416015625
75.6,-0.012824764700315683,16.002920150756836,492.6160888671875
75.8,-0.013331827842792521,15.987180709838867,480.14797973632812
76,-0.015386704400798479,15.981672286987305,476.39215087890625
76.2,-0.013825247950990161,15.988001823425293,487.86968994140625
76.4,-0.0163960623141719,16.009891510009766,480.37796020507812
76.6,-0.013284885100205202,16.031631469726562,460.88507080078125
76.8,-0.013788133545416414,16.052228927612305,440.32281494140625
77,-0.012742614900785654,16.077194213867188,508.28424072265625
77.2,-0.013764662174123643,16.095500946044922,519.2099609375
77.4,-0.015820492406444231,16.105125427246094,514.185791015625
77.6,-0.01322620667196972,16.115264892578125,498.66110229492188
77.8,-0.013212563637688746,16.114700317382812,474.86495971679688
78,-0.014235564585343141,16.108247756958008,452.8492431640625
78.2,-0.015773549663856912,16.097072601318359,435.8193359375
78.4,-0.01369424806024,16.080329895019531,419.69732666015625
78.6,-0.014201311202718614,16.069005966186523,404.7825927734375
78.8,-0.012121055924785296,16.07110595703125,392.82342529296875
79,-0.0090108323851350036,16.088748931884766,382.9593505859375
79.2,-0.012095677204859712,16.110343933105469,374.953125
79.4,-0.011570864736984987,16.127790451049805,367.60385131835938
79.6,-0.012076020530830789,16.141082763671875,360.11767578125
79.8,-0.013614005609344559,16.159849166870117,354.43405151367188
80,-0.012568486964712022,16.184394836425781,350.176025390625
80.2,-0.012554843930432824,16.211997985839844,346.97296142578125
80.4,-0.016161348601229975,16.237730026245117,346.6927490234375
80.6,-0.012015434753962495,16.252445220947266,348.56698608398438
80.8,-0.013555327181109078,16.265899658203125,349.28289794921875
81,-0.016126141544289041,16.272771835327148,351.27322387695312
81.2,-0.012498072850830155,16.2745304107666,355.85400390625
81.4,-0.0073193297188929307,16.291389465332031,349.251708984375
81.6,-0.012989585610394983,16.314289093017578,343.2716064453125
81.8,-0.010911237681096253,16.335065841674805,340.97064208984375
82,-0.012966114239100435,16.340484619140625,342.15576171875
82.2,-0.01244034809691108,16.349529266357422,334.78118896484375
82.4,-0.013461441695932663,16.361696243286133,327.88290405273438
82.6,-0.010864294938507157,16.375354766845703,322.797607421875
82.8,-0.012919171496513116,16.393459320068359,318.740234375
83,-0.015492846882642297,16.417392730712891,312.98251342773438
83.2,-0.013414498953343568,16.439945220947266,308.53350830078125
83.4,-0.01546842183703312,16.456624984741211,301.88009643554688
83.6,-0.01339102758204902,16.474685668945312,292.97756958007812
83.8,-0.010274128322183884,16.493879318237305,289.59463500976562
84,-0.015950106259582597,16.515594482421875,288.66799926757812
84.2,-0.013870804655967461,16.540607452392578,283.032958984375
84.4,-0.015409743408797638,16.559362411499023,271.3087158203125
84.6,-0.015398007723149476,16.577003479003906,269.82534790039062
84.8,-0.010735202396389809,16.589122772216797,280.195068359375
85,-0.015375490026173111,16.591474533081055,280.065185546875
85.2,-0.015363754340524949,16.591831207275391,278.38381958007812
85.4,-0.011733778298433251,16.602912902832031,268.81008911132812
85.6,-0.011723949961417901,16.614835739135742,260.55844116210938
85.8,-0.012226244732314484,16.634593963623047,254.36386108398438
86,-0.013250199354285286,16.653354644775391,250.71327209472656
86.2,-0.012202773361019936,16.675107955932617,257.43453979492188
86.4,-0.013743619462482926,16.694826126098633,259.081298828125
86.6,-0.01373188377683654,16.714248657226562,261.08709716796875
86.8,-0.016302698140016503,16.727962493896484,264.99322509765625
87,-0.014741241690209961,16.73504638671875,259.13143920898438
87.2,-0.013695723045577424,16.745290756225586,261.74746704101562
87.4,-0.012135220270087288,16.752262115478516,258.69625854492188
87.6,-0.01418914315377684,16.769023895263672,255.73141479492188
87.8,-0.01366051598863649,16.781660079956055,253.61436462402344
88,-0.013132842497814323,16.795026779174805,251.96556091308594
88.2,-0.012604215332673974,16.806678771972656,249.88877868652344
88.4,-0.011559650362359619,16.81782341003418,247.93891906738281
88.6,-0.012063852481889015,16.822782516479492,246.14598083496094
88.8,-0.011019287511572884,16.837221145629883,244.5615234375
89,-0.013591055549071029,16.847261428833008,242.39402770996094
89.2,-0.012545536904440269,16.86248779296875,240.15316772460938
89.4,-0.011499064585491325,16.87596321105957,238.04266357421875
89.6,-0.013038957012637908,16.889392852783203,235.75753784179688
89.8,-0.015609771375817871,16.898410797119141,233.2838134765625
90,-0.011979795333726173,16.90723991394043,230.68275451660156
90.2,-0.013520641435189162,16.909046173095703,228.01678466796875
90.4,-0.016091455798369125,16.910741806030273,225.44894409179688
90.6,-0.014014061543386802,16.908687591552734,222.69647216796875
90.8,-0.012968542898754265,16.898353576660156,220.00949096679688
91,-0.012954899864475067,16.888118743896484,217.70045471191406
91.2,-0.01449479229162165,16.885950088500977,215.26237487792969
91.4,-0.012933335841813332,16.880556106567383,213.10539245605469
91.6,-0.012402801328041946,16.866157531738281,211.04580688476563
91.8,-0.01290986447052056,16.863616943359375,209.67111206054688
92,-0.008762996948934898,16.858562469482422,208.5728759765625
92.2,-0.011852610140241637,16.859870910644531,206.63848876953125
92.4,-0.013905579349613007,16.864389419555664,204.88189697265625
92.6,-0.01182913876894709,16.874433517456055,203.134521484375
92.8,-0.0087160542063475788,16.885929107666016,201.54356384277344
93,-0.012320651528511917,16.890956878662109,200.00901794433594
93.2,-0.012310823191498344,16.906044006347656,198.5869140625
93.4,-0.0112643508725494,16.911487579345703,197.12246704101563
