Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
51.524644308575127,51.30006147219305,10.594852196156339,35755.280289816132,50225.352942576792,32.068559501475178,1489.2486728881677,1024.797683768951
51.15,50.92719421118386,10.581623209040716,35741.670798041436,50224.902034486244,32.0667764543841,1489.1931635555627,1024.7968741500768
50.85,50.628615066980039,10.59530655962757,35740.0058718181,50203.256167984029,32.053221955627606,1489.2206463497837,1024.7826106309944
50.55,50.3300345519093,10.604519422024239,35757.546892957864,50214.8989417885,32.062737332937438,1489.2600710918418,1024.7870741038471
50.25,50.031453531345086,10.614709375708413,35759.684251060091,50203.532301530679,32.056044261628159,1489.2833723535273,1024.7787510777243
49.95,49.732871192663673,10.61077264684771,35755.527337549662,50203.245647233613,32.05548668430594,1489.2637278620746,1024.7776363328353
49.65,49.434288999364711,10.634759040231057,35785.851155644552,50212.001034219029,32.064754446697066,1489.3554851118779,1024.7793594002856
49.35,49.135704979038969,10.619438845424991,35751.663166129969,50185.60696769927,32.044282604972963,1489.271203757193,1024.764705461412
49.05,48.837118955187343,10.611270689317843,35744.936382763255,50187.673299573536,32.044878386339988,1489.2378697679326,1024.7652169528747
48.75,48.538534017458431,10.609803688413809,35753.393592640619,50201.615691963962,32.054719044627142,1489.2396018593477,1024.7717712403992
48.45,48.2399491616834,10.626480439739838,35765.191297777681,50194.673816113362,32.051955779410115,1489.2907698316751,1024.7653898659912
48.15,47.94136117426865,10.664007434683922,35788.23827613076,50174.168370834879,32.0420969269959,1489.4075945480795,1024.7498855579559
47.85,47.642767936412014,10.710134026782756,35813.790444327686,50145.135856207067,32.027201903249228,1489.5488053889142,1024.7289613660585
47.55,47.344172172411533,10.699369747516686,35807.654078254534,50151.661403973922,32.030659765977227,1489.5097574808849,1024.7321567607032
47.25,47.045575613694837,10.708471311364335,35807.654214928989,50138.878674894564,32.022812721756814,1489.5277170809779,1024.7231170595708
46.95,46.746975899301994,10.750590206263469,35839.017680780031,50123.67274778735,32.017217377225194,1489.6657509574297,1024.7101077701766
46.65,46.448370940138084,10.778186384711592,35840.900373399716,50087.642772070365,31.99507461937926,1489.7321001005871,1024.6867304534046
46.35,46.149762195898454,10.785900028705214,35847.191215828418,50085.635944707326,31.994698589068935,1489.7540964850298,1024.6837400473385
46.05,45.85115216362361,10.790252966075544,35845.554559063828,50077.257896222058,31.98939705751852,1489.7582132259543,1024.6775009275957
45.75,45.552540759645389,10.794883583528165,35847.6905296156,50073.76325999805,31.987595154637667,1489.7675383457856,1024.6739363578515
45.45,45.253928932366534,10.805505449995996,35861.426903599808,50078.090579787946,31.992060862581095,1489.8056870069988,1024.6742061980772
45.15,44.955315939182185,10.803183275354021,35849.26232897742,50064.350498207117,31.982154962235469,1489.7805548406241,1024.6655452149462
44.85,44.656702035390175,10.80495516955629,35855.477225187686,50070.551764961223,31.986894836341,1489.7876261692809,1024.6675671306737
44.55,44.3580861583727,10.836659121775043,35871.511510312157,50048.626726641407,31.975227127243151,1489.8810677166016,1024.6516137820311
44.25,44.059465796422828,10.867279967325326,35887.304601212723,50027.91490448347,31.964276371564466,1489.9714546874609,1024.636398776232
