Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
39.405622453020328,39.221450152239278,12.183212280273438,37419.171875,50317.293181863883,32.318199437577483,1494.8995249337033,1024.6505983978955
39.15,38.9670410229137,12.179670406333006,37413.739488486368,50314.781007463542,32.316141771692955,1494.8807307966958,1024.6485201809703
38.85,38.668465213548338,12.177128185562573,37416.889458079728,50322.458032961069,32.321488609451748,1494.8734548516659,1024.6517948764756
38.55,38.369889024875775,12.17656493310853,37409.515301881089,50313.302707218521,32.315008783522359,1494.8588541331453,1024.6455272194312
38.25,38.071312571271534,12.174590914377747,37414.372414964717,50322.507248484922,32.321506178565869,1494.8548951473445,1024.6495869266023
37.95,37.77273618071316,12.172077178955078,37407.7734375,50317.0340164342,32.317456308808083,1494.8365122661369,1024.6455703932318
37.65,37.474159114113938,12.170985831165723,37406.84124995234,50317.257416655419,32.317625514276813,1494.8280303558288,1024.6445572972978
37.35,37.175582195914437,12.1686372756958,37408.023437499993,50322.027089705436,32.320914058002707,1494.8189621849986,1024.6461993992009
37.05,36.877005044236611,12.168833661766989,37405.057925873465,50317.771962198356,32.318015496231205,1494.8112323355153,1024.6425652555686
36.75,36.578426908733839,12.169063255197976,37402.299886502733,50313.751021519405,32.315287778453886,1494.8038199492542,1024.6390573166505
36.45,36.279848499551292,12.170039176940918,37406.76953125,50318.442433141077,32.318864654661205,1494.80648064702,1024.6402972946733
36.15,35.981270344750371,12.168305830823448,37406.613443814829,50320.57906281238,32.320334923626412,1494.7973513203406,1024.6404137190996
35.85,35.682693226814827,12.168357849121094,37417.22265625,50334.780471253442,32.33061402839315,1494.8048394284024,1024.6470243376209
35.55,35.384115521705006,12.168357585539958,37404.111025643506,50317.142665721753,32.318129132745021,1494.7850059481191,1024.6359941029773
35.25,35.085536061633071,12.16938591003418,37405.09375,50317.0725506958,32.318308050916286,1494.7837946676618,1024.6345895489508
34.95,34.786957111131855,12.169147491455078,37412.5546875,50327.431771337877,32.325810657998538,1494.7869774789269,1024.6391019832327
34.65,34.488378665377837,12.167562612261049,37410.484849559893,50326.793338364761,32.325312737022053,1494.7760099258203,1024.6376643148162
34.35,34.189800192289255,12.1657840261427,37411.274265175321,50330.2637701117,32.327731773610665,1494.7678568285203,1024.6385248188794
34.05,33.891219760037039,12.167867660522461,37395.64453125,50306.416382031886,32.311024334947135,1494.7501255992036,1024.6238282454349
33.75,33.592639244149481,12.16690731048584,37414.640625,50333.271359444356,32.330243251853815,1494.764805873361,1024.6375612310533
33.45,33.294059637265164,12.166393382453242,37405.15877849231,50321.211414815123,32.321692039892511,1494.7479035678334,1024.6296775005915
33.15,32.995478543607817,12.166410446166992,37403.2265625,50318.588899883165,32.319941835634836,1494.7409289596626,1024.6269673288373
32.85,32.696897081773109,12.16547143791626,37403.551966832456,50320.2980074044,32.321188849706381,1494.7342536927879,1024.6267610115747
32.55,32.39831562374664,12.167239400472596,37407.059038809915,50322.622344577831,32.323155989589637,1494.7377078787224,1024.6266039135176
32.25,32.099734141333926,12.168696403503418,37409.8828125,50324.44830238093,32.324734684913544,1494.7396336640509,1024.6262040871873
31.950000000000003,31.801152377962058,12.168930595222884,37409.2628727715,50323.297272345393,32.324058757740978,1494.7346835488031,1024.6242860444061
31.65,31.502569713370384,12.169927597045898,37405.84765625,50317.353401601526,32.320035775849526,1494.728354979696,1024.6196291937788
31.35,31.203986600558043,12.168158983720478,37407.092302451587,50321.42205218687,32.322883646767558,1494.7207476735939,1024.620820219805
31.05,30.905403378894256,12.168422698974608,37405.95703125,50319.537816010074,32.321686668091893,1494.7152774551523,1024.6184925666396
30.75,30.606820086577869,12.168534779639364,37409.717876773742,50324.445258017673,32.3253288545911,1494.7150577218235,1024.6199457577193
30.45,30.308235682248934,12.169028282165527,37399.26171875,50309.711401165339,32.314970510758741,1494.6994513683683,1024.6104710637933
30.15,30.009651107182,12.169632171603331,37412.252866988223,50326.369513511425,32.327063243135072,1494.7109912780527,1024.6183843831977
