Year,Month,Date,Vessel,Area,Type,Size,Fat
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Small,10.2
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Small,9.8
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Small,15
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Medium,10.8
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Medium,11.4
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Medium,10.6
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Small,11.6
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Small,14
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Small,13.2
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Medium,12.6
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Medium,14.8
2010,8,2010-08-16,Lady Melissa,German Bank,Filet,Medium,10
2010,8,2010-08-10,Lady Melissa,Grand Manan,Filet,Small,17.6
2010,8,2010-08-10,Lady Melissa,Grand Manan,Filet,Small,15.4
2010,8,2010-08-10,Lady Melissa,Grand Manan,Filet,Small,16.6
2010,8,2010-08-10,Lady Melissa,Grand Manan,Filet,Medium,14.4
2010,8,2010-08-10,Lady Melissa,Grand Manan,Filet,Medium,12.6
2010,8,2010-08-10,Lady Melissa,Grand Manan,Filet,Medium,9.6
2010,8,2010-08-10,Lady Melissa,German Bank,Filet,Small,12.8
2010,8,2010-08-10,Lady Melissa,German Bank,Filet,Small,13.2
2010,8,2010-08-10,Lady Melissa,German Bank,Filet,Small,20.4
2010,8,2010-08-10,Lady Melissa,German Bank,Filet,Medium,12.6
2010,8,2010-08-10,Lady Melissa,German Bank,Filet,Medium,15
2010,8,2010-08-10,Lady Melissa,German Bank,Filet,Medium,12.2
2010,8,2010-08-09,Lady Janice,Scots Bay,Filet,Small,12.6
2010,8,2010-08-09,Lady Janice,Scots Bay,Filet,Small,9.6
2010,8,2010-08-09,Lady Janice,Scots Bay,Filet,Small,12
2010,8,2010-08-09,Lady Janice,Scots Bay,Filet,Medium,11.4
2010,8,2010-08-09,Lady Janice,Scots Bay,Filet,Medium,13.2
2010,8,2010-08-09,Lady Janice,Scots Bay,Filet,Medium,9.4
2010,7,2010-07-26,Lady Noreen,Scots Bay,Filet,Small,7.8
2010,7,2010-07-26,Lady Noreen,Scots Bay,Filet,Small,9.8
2010,7,2010-07-26,Lady Noreen,Scots Bay,Filet,Small,12.8
2010,7,2010-07-26,Lady Noreen,Scots Bay,Filet,Medium,10.6
