Plant,Date,Method ,Harvest_Site,Boat,bait_%,small_%,med_%,large_%,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,7.2,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,4.8,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,8,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,3,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,8.2,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,5.4,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,8.2,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,3.2,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,7.2,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,4.8,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,8,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,3,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,8.2,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,5.4,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,8.2,,,,,,,,,,,,,,,,,,,
Sea Life,09-May-17,1,Shelburne,Lady Melissa,,3.2,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,,12.2,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,12.8,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,11.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,,12.2,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,12.8,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Janice,,11.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,14.2,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,13.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,13.2,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,14.2,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,13.4,,,,,,,,,,,,,,,,,,,
Sea Life,30-May-17,1,The Patch,Lady Melissa,,13.2,,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Janice,,12.8,12,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Janice,,,11.4,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Janice,,,12.6,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Janice,,12.8,12,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Janice,,,11.4,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Janice,,,12.6,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,12.6,10.2,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,10.6,10.6,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,10.4,7.8,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,,13,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,,11.2,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,12.6,10.2,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,10.6,10.6,,,,,,,,,,,,,,,,,,
Sea Life,31-May-17,1,The Patch,Lady Melissa,,10.4,7.8,,,,,,,,,,,,,,,,,,
