Plant,Method ,Date,Vessel,Lat,Lon,Ground,Fat,FishLength(cm),FishWeight(g)
Sea Life,1,2021-06-07,Sealife II,48.18,-64.34,Scots Bay,4.8,25.4,177
Sea Life,1,2021-06-07,Sealife II,48.18,-64.34,Scots Bay,4.8,25.4,179
Sea Life,1,2021-06-07,Sealife II,48.18,-64.34,Scots Bay,6.2,27.94,188
Sea Life,1,2021-06-07,Sealife II,48.18,-64.34,Scots Bay,4.4,27.94,225
Sea Life,1,2021-06-07,Sealife II,48.18,-64.34,Scots Bay,5,25.4,165
Sea Life,1,2021-06-07,Sealife II,48.18,-64.34,Scots Bay,5,25.4,176
Sea Life,1,2021-06-07,Lady Melissa,43.14,-64.53,Scots Bay,5.8,27.94,219
Sea Life,1,2021-06-07,Lady Melissa,43.14,-64.53,Scots Bay,13,27.94,228
Sea Life,1,2021-06-07,Lady Melissa,43.14,-64.53,Scots Bay,8.2,27.94,222
Sea Life,1,2021-06-07,Lady Melissa,43.14,-64.53,Scots Bay,9.6,27.94,254
Sea Life,1,2021-06-08,Lady Melissa,45.14,-64.54,Scots Bay,9.6,26.67,287
Sea Life,1,2021-06-08,Lady Melissa,45.14,-64.54,Scots Bay,10,25.4,185
Sea Life,1,2021-06-08,Lady Melissa,45.14,-64.54,Scots Bay,13.4,24.13,172
Sea Life,1,2021-06-08,Lady Melissa,45.14,-64.54,Scots Bay,8.2,22.86,174
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,13.6,25.4,86
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,13.6,25.4,80
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,10.4,22.86,85
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,10.4,22.86,78
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,13.2,22.86,59
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,13.2,22.86,71
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,14.4,22.86,68
Sea Life,1,2021-06-09,Sealife II,44.16,-67,Grand Manan,14.4,22.86,70
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,14.8,25.4,156
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,14.8,25.4,145
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,14.4,22.86,169
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,14.4,22.86,116
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,17.2,25.4,134
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,17.2,25.4,148
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,15.6,22.86,102
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,15.6,22.86,98
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,12,25.4,144
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,16.2,25.4,164
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,17.4,25.4,156
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,14.2,25.4,166
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,13.8,22.86,117
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,13.8,22.86,120
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,11.2,25.4,140
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,11.2,25.4,136
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,12.8,22.86,117
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,12.8,22.86,111
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,15.2,22.86,105
Sea Life,1,2021-06-14,Lady Melissa,43.37,-66.59,Gannet Dry Ledge,15.2,22.86,108
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,12.2,25.4,121
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,12.2,25.4,134
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,13,25.4,134
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,13,25.4,120
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,12.2,22.86,104
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,12.2,22.86,100
Sea Life,1,2021-06-14,Sealife II,43.37,-67,Gannet Dry Ledge,15.8,25.4,148
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,15.4,22.86,122
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,15.4,22.86,129
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,14.4,22.86,130
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,14.4,22.86,133
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,14.2,25.4,137
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,14.2,25.4,132
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,9.6,25.4,138
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,9.6,25.4,140
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,10.8,22.86,104
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,10.8,22.86,99
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,12.8,22.86,122
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,12.8,22.86,116
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,13.2,22.86,100
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,13.2,22.86,104
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,12.2,20.32,85
Sea Life,1,2021-06-15,Lady Melissa,43.45,-66.57,Gannet Dry Ledge,12.2,20.32,78
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,14.6,27.94,210
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,11.2,25.4,175
Sea Life,1,2021-06-15,Sealife II,43.36,-66.57,Gannet Dry Ledge,12.4,27.94,164
