Plant,CollectionMethod,SampleID,Method ,Date,Vessel,Lat,Lon,Ground,Fat,FishLength(cm),FishWeight(g)
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,19.8,22.86,142
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,19.8,22.86,133
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,18.8,22.86,104
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,18.8,22.86,121
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,20,25.4,137
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,20,25.4,125
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,14.8,22.86,119
Sea Life,,,1,03-Jun-22,Lady Melissa,44.09,-67.55,Grand Manan Banks,14.5,22.86,125
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,18.8,25.4,135
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,18.8,25.4,142
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,18.8,22.86,112
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,18.8,22.86,101
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,19.6,22.86,136
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,19.6,22.86,123
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,18.6,22.86,130
Sea Life,,,1,06-Jun-22,Lady Melissa,44.15,-67.02,Grand Manan Banks,18.6,22.86,125
Sea Life,,,1,07-Jun-22,Sealife II,44.17,-66.59,Grand Manan Banks,18.8,25.4,156
Sea Life,,,1,07-Jun-22,Sealife II,44.17,-66.59,Grand Manan Banks,19.4,25.4,161
Sea Life,,,1,07-Jun-22,Sealife II,44.17,-66.59,Grand Manan Banks,16,25.4,152
Sea Life,,,1,07-Jun-22,Sealife II,44.17,-66.59,Grand Manan Banks,15.6,22.86,118
Sea Life,,,1,07-Jun-22,Sealife II,44.17,-66.59,Grand Manan Banks,16.6,22.86,113
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,19.2,22.86,110
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,19.2,22.86,121
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,18,25.4,136
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,18,25.4,148
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,19.4,25.4,136
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,19.4,25.4,126
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,17.6,22.86,113
Sea Life,,,1,08-Jun-22,Lady Melissa,44.15,-67.59,Grand Manan Banks,17.6,22.86,113
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,19.8,25.4,143
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,19.8,25.4,140
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,15.4,22.86,110
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,15.4,22.86,105
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,20.2,22.86,118
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,20.2,22.86,107
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,16.2,25.4,136
Sea Life,,,1,08-Jun-22,Sealife II,44.15,-67.59,Grand Manan Banks,16.2,25.4,144
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,11.6,22.86,122
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,11.6,22.86,114
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,10.2,25.4,136
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,10.2,25.4,124
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,12.8,25.4,116
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,12.8,25.4,127
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,8,22.86,118
Sea Life,,,1,14-Jun-22,Sealife II,44.42,-64.44,Scots Bay,8,22.86,105
Sea Life,,,1,14-Jun-22,Lady Janice,45.14,-65.46,Scots Bay,8,25.4,140
Sea Life,,,1,14-Jun-22,Lady Janice,45.14,-65.46,Scots Bay,8,25.4,122
Sea Life,,,1,14-Jun-22,Lady Janice,45.14,-65.46,Scots Bay,7.4,22.86,110
