Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
1,Western Hole,Morning Star,Fillet,10:20,,5-10-2017 13:28,8,2.9,5.5,8.8,14.8,2.2,4.6,3.4,2.5,5.6
2,Western Hole,Morning Star,Fillet,10:20,,5-10-2017 13:30,8,5.5,4.3,2.6,1.6,4.6,2.1,3,6,3.7
3,Western Hole,Morning Star,Fillet,10:20,,5-10-2017 13:30,8,5,5,1.8,1.9,3.1,2.3,5.5,6.7,3.9
4,Western Hole,Morning Star,Fillet,10:20,,5-10-2017 13:33,8,3.6,3.3,6.7,10.6,1.7,3.5,3.9,9.8,5.4
5,Western Hole,Morning Star,Fillet,10:20,,5-10-2017 13:34,8,5.8,6.2,3.4,9,3.4,4.7,3.4,3.2,4.9
1,Western Head,Morning Star,Fillet,10:20,,5-11-2017 12:33,8,6.5,5.5,6,2.8,5.7,9.5,3.5,5.4,5.6
2,Western Head,Morning Star,Fillet,10:20,,5-11-2017 12:34,8,4.2,5.5,2,5.6,5.2,4.8,2.5,3.5,4.2
3,Western Head,Morning Star,Fillet,10:20,,5-11-2017 12:35,8,4.8,5.2,3.8,4,3,3.2,9.3,2.5,4.5
4,Western Head,Morning Star,Fillet,10:20,,5-11-2017 12:37,8,21.8,1.4,4.4,2.4,4.6,1.9,20.2,3.6,7.5
5,Western Head,Morning Star,Fillet,10:20,,5-11-2017 12:38,8,13.5,8.8,6.5,7.2,9.6,4.1,2.4,3,6.9
1,The Patch,Morning Star,Fillet,10:16,,5-30-2017 16:55,8,11.4,6.5,11.8,9.7,9.7,14.2,8.3,3.1,9.3
2,The Patch,Morning Star,Fillet,10:16,,5-30-2017 16:57,8,7,6.6,5.8,6.7,7.2,7,11.3,19.1,8.8
3,The Patch,Morning Star,Fillet,10:16,,5-30-2017 16:58,8,13.2,11,9.1,5.5,8.6,12.1,11.2,9.8,10.1
4,The Patch,Morning Star,Fillet,10:16,,5-30-2017 16:58,8,4.1,10.1,11,11.2,8.7,11.4,10.5,8,9.4
5,The Patch,Morning Star,Fillet,10:16,,5-30-2017 16:59,8,13.5,8,12.7,9.2,10.3,7.5,9.1,8.2,9.8
6,The Patch,Morning Star,Fillet,8:12,,5-30-2017 18:33,8,16.3,11.8,15.7,13.1,9.6,10.5,12.4,10.9,12.5
7,The Patch,Morning Star,Fillet,8:12,,5-30-2017 18:34,8,13.3,16.6,7.1,12.6,8.1,11.3,9.3,10,11
8,The Patch,Morning Star,Fillet,8:12,,5-30-2017 18:35,8,10.3,8.6,8.7,21.6,14,5.7,12.1,8.7,11.2
9,The Patch,Morning Star,Fillet,8:12,,5-30-2017 18:36,8,10.5,9,3.7,10,9.8,10.2,9.3,10.3,9.1
10,The Patch,Morning Star,Fillet,8:12,,5-30-2017 18:37,8,3.1,4.5,13.5,7.6,6.5,4.3,5.3,5.2,6.3
1,The Patch,Morning Star,Fillet,10:16,,5-31-2017 16:28,8,10.8,6.1,6.9,7.9,4.8,8.8,9.3,8.2,7.9
2,The Patch,Morning Star,Fillet,10:16,,5-31-2017 16:35,8,16.2,12.7,4.4,8.6,12,5.7,21.3,11.5,11.6
3,The Patch,Morning Star,Fillet,10:16,,5-31-2017 17:03,8,10.3,22,4.7,4.9,7.8,8.2,7,17.7,10.3
4,The Patch,Morning Star,Fillet,10:16,,5-31-2017 17:04,8,15.2,8.9,6.3,12.2,8.7,16.7,7.2,10.7,10.7
5,The Patch,Morning Star,Fillet,10:16,,5-31-2017 17:04,8,10.2,7.7,16.2,8.8,5.9,4.5,7.8,10.5,9
6,The Patch,Morning Star,Fillet,8:12,,5-31-2017 17:42,8,6.2,10,10,10.5,11.4,5.5,9.5,8.8,9
7,The Patch,Morning Star,Fillet,8:12,,5-31-2017 17:43,8,17,13.7,14.5,9.4,17.6,8.9,10.3,8,12.4
8,The Patch,Morning Star,Fillet,8:12,,5-31-2017 17:44,8,7.7,14.2,8,26.2,11.2,7,4.1,18.7,12.1
9,The Patch,Morning Star,Fillet,8:12,,5-31-2017 17:45,8,7.2,7,9.7,4.7,12.9,13.3,12,9.2,9.5
10,The Patch,Morning Star,Fillet,8:12,,5-31-2017 17:45,8,13,10.2,16.6,14.7,12.6,11,11.8,14.6,13.1
1,The Patch,Morning Star,Fillet,10:16,,6-2-2017 14:16,8,18,9.6,7.3,7.1,10.8,10.3,9.6,11,10.5
2,The Patch,Morning Star,Fillet,10:16,,6-2-2017 14:17,8,7.1,12.6,8.3,15.3,12.3,13.2,9.1,9.1,10.9
