Ground,Vessel,Type,Filets,Size,Average,Month,Day,Year,Time,Date
Western Hole,Morning Star,Fillet,10:20,NA,5.5875,5,10,2017,13:28,2017-5-10
Western Hole,Morning Star,Fillet,10:20,NA,3.7125,5,10,2017,13:30,2017-5-10
Western Hole,Morning Star,Fillet,10:20,NA,3.9125,5,10,2017,13:30,2017-5-10
Western Hole,Morning Star,Fillet,10:20,NA,5.3875,5,10,2017,13:33,2017-5-10
Western Hole,Morning Star,Fillet,10:20,NA,4.8875,5,10,2017,13:34,2017-5-10
Western Head,Morning Star,Fillet,10:20,NA,5.6125,5,11,2017,12:33,2017-5-11
Western Head,Morning Star,Fillet,10:20,NA,4.1625,5,11,2017,12:34,2017-5-11
Western Head,Morning Star,Fillet,10:20,NA,4.475,5,11,2017,12:35,2017-5-11
Western Head,Morning Star,Fillet,10:20,NA,7.5375,5,11,2017,12:37,2017-5-11
Western Head,Morning Star,Fillet,10:20,NA,6.8875,5,11,2017,12:38,2017-5-11
The Patch,Morning Star,Fillet,10:16,NA,9.3375,5,30,2017,16:55,2017-5-30
The Patch,Morning Star,Fillet,10:16,NA,8.8375,5,30,2017,16:57,2017-5-30
The Patch,Morning Star,Fillet,10:16,NA,10.0625,5,30,2017,16:58,2017-5-30
The Patch,Morning Star,Fillet,10:16,NA,9.375,5,30,2017,16:58,2017-5-30
The Patch,Morning Star,Fillet,10:16,NA,9.8125,5,30,2017,16:59,2017-5-30
The Patch,Morning Star,Fillet,8:12,NA,12.5375,5,30,2017,18:33,2017-5-30
The Patch,Morning Star,Fillet,8:12,NA,11.0375,5,30,2017,18:34,2017-5-30
The Patch,Morning Star,Fillet,8:12,NA,11.2125,5,30,2017,18:35,2017-5-30
The Patch,Morning Star,Fillet,8:12,NA,9.1,5,30,2017,18:36,2017-5-30
The Patch,Morning Star,Fillet,8:12,NA,6.25,5,30,2017,18:37,2017-5-30
The Patch,Morning Star,Fillet,10:16,NA,7.85,5,31,2017,16:28,2017-5-31
The Patch,Morning Star,Fillet,10:16,NA,11.55,5,31,2017,16:35,2017-5-31
The Patch,Morning Star,Fillet,10:16,NA,10.325,5,31,2017,17:03,2017-5-31
The Patch,Morning Star,Fillet,10:16,NA,10.7375,5,31,2017,17:04,2017-5-31
The Patch,Morning Star,Fillet,10:16,NA,8.95,5,31,2017,17:04,2017-5-31
The Patch,Morning Star,Fillet,8:12,NA,8.9875,5,31,2017,17:42,2017-5-31
The Patch,Morning Star,Fillet,8:12,NA,12.425,5,31,2017,17:43,2017-5-31
The Patch,Morning Star,Fillet,8:12,NA,12.1375,5,31,2017,17:44,2017-5-31
The Patch,Morning Star,Fillet,8:12,NA,9.5,5,31,2017,17:45,2017-5-31
The Patch,Morning Star,Fillet,8:12,NA,13.0625,5,31,2017,17:45,2017-5-31
The Patch,Morning Star,Fillet,10:16,NA,10.4625,6,2,2017,14:16,2017-6-2
The Patch,Morning Star,Fillet,10:16,NA,10.875,6,2,2017,14:17,2017-6-2
The Patch,Morning Star,Fillet,10:16,NA,9.275,6,2,2017,14:18,2017-6-2
The Patch,Morning Star,Fillet,10:16,NA,8.5875,6,2,2017,14:19,2017-6-2
The Patch,Morning Star,Fillet,10:16,NA,10.7625,6,2,2017,14:20,2017-6-2
The Patch,Morning Star,Fillet,8:12,NA,11.1625,6,2,2017,14:28,2017-6-2
The Patch,Morning Star,Fillet,8:12,NA,9.275,6,2,2017,14:29,2017-6-2
The Patch,Morning Star,Fillet,8:12,NA,9.6,6,2,2017,14:31,2017-6-2
The Patch,Morning Star,Fillet,8:12,NA,10.075,6,2,2017,14:32,2017-6-2
The Patch,Morning Star,Fillet,8:12,NA,15.0375,6,2,2017,14:33,2017-6-2
NA,Morning Star,Fillet,10:16,NA,10.2625,6,3,2017,13:35,2017-6-3
NA,Morning Star,Fillet,10:16,NA,10.9125,6,3,2017,13:36,2017-6-3
NA,Morning Star,Fillet,10:16,NA,7.7375,6,3,2017,13:37,2017-6-3
NA,Morning Star,Fillet,10:16,NA,9.575,6,3,2017,13:59,2017-6-3
NA,Morning Star,Fillet,10:16,NA,10.45,6,3,2017,14:00,2017-6-3
NA,Morning Star,Fillet,8:12,NA,12.25,6,3,2017,14:02,2017-6-3
NA,Morning Star,Fillet,8:12,NA,12.5125,6,3,2017,14:04,2017-6-3
NA,Morning Star,Fillet,8:12,NA,13.4625,6,3,2017,14:04,2017-6-3
NA,Morning Star,Fillet,8:12,NA,9.8625,6,3,2017,14:05,2017-6-3
NA,Morning Star,Fillet,8:12,NA,14.0375,6,3,2017,14:05,2017-6-3
NW Shoal,Leroy and Barry,Fillet,10:20,NA,10.7625,6,8,2017,6:42,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,6.35,6,8,2017,6:54,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,11.5625,6,8,2017,6:55,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,15.0375,6,8,2017,6:56,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,11.7,6,8,2017,6:56,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,9.425,6,8,2017,6:57,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,11.85,6,8,2017,6:58,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,12.025,6,8,2017,6:59,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,9.2,6,8,2017,6:59,2017-6-8
NW Shoal,Leroy and Barry,Fillet,10:20,NA,9.875,6,8,2017,7:00,2017-6-8
NW Shoal,Leroy and Barry,Fillet,8:12,NA,13.9875,6,8,2017,11:19,2017-6-8
NW Shoal,Leroy and Barry,Fillet,8:12,NA,11.1875,6,8,2017,11:20,2017-6-8
NW Shoal,Leroy and Barry,Fillet,8:12,NA,13.0875,6,8,2017,11:22,2017-6-8
