SampleID,Date,Time,SampleWt (gm),Final1Wt (gm),% Moisture,% Fat,
6294Y1225Y,2007-03-09,3:20:00 PM,3.5684,1.0163,71.52,7.89,
SW7071GHR1,2007-03-12,2:36:00 PM,3.6359,0.8362,77,2.79,
GR7070GHR2,2007-03-12,2:14:00 PM,3.4294,0.7051,79.44,1.91,
GR7070GHR1,2007-03-12,1:58:00 PM,3.2963,0.6833,79.27,1.85,
SW7071GHR2,2007-03-12,2:52:00 PM,4.0578,0.8959,77.92,1.7,
GR7067YHR2,2007-03-13,2:15:00 PM,3.4635,0.8095,76.63,2.14,
GR7067YHR1,2007-03-13,12:11:00 PM,3.929,0.9134,76.75,2.06,
7074GHER4U,2007-03-23,3:28:00 PM,3.5637,0.7704,78.38,1.42,
7074GHER4V,2007-03-23,3:08:00 PM,3.9781,0.857,78.46,1.31,
7074GHER1T,2007-03-23,12:58:00 PM,3.3831,0.7282,78.48,1.18,
7074GHER3T,2007-03-23,1:45:00 PM,4.2214,0.8957,78.78,1.14,
7074GHER6U,2007-03-23,3:48:00 PM,4.0314,0.8679,78.47,1.11,
7074GHER2V,2007-03-23,1:20:00 PM,3.4324,0.7258,78.85,1.08,
GR7083GHR1,2007-03-26,12:59:00 PM,3.9887,0.9367,76.52,4.21,
GR7083GHR2,2007-03-26,1:22:00 PM,3.3296,0.7829,76.49,4.14,
6294HRZ1,2007-03-27,2:35:00 PM,3.348,0.924,72.4,7.63,
6340YHERY1,2007-03-27,2:01:00 PM,3.5667,0.8833,75.23,5.25,
7073YHRX1,2007-03-27,2:24:00 PM,3.6042,0.7832,78.27,1.32,
31407YHRY1,2007-03-27,1:31:00 PM,3.5457,0.7575,78.64,1.28,
031407HRX1,2007-03-27,1:02:00 PM,3.5949,0.7808,78.28,1.24,
7074YHR1,2007-03-27,2:46:00 PM,3.3403,0.705,78.89,1.24,
7073YHRW1,2007-03-27,2:12:00 PM,3.3712,0.7188,78.68,1.11,
031507YHRS,2007-03-27,12:34:00 PM,3.5983,0.7539,79.05,1.11,
7073YHER2,2007-03-29,9:14:00 AM,4.72,0.9825,79.18,0.85,
7093GHER1,2007-04-04,7:55:00 AM,3.7178,0.8497,77.15,3.11,
7093GHER2,2007-04-04,8:06:00 AM,3.8031,0.8533,77.56,2.75,
7100GHER4,2007-04-10,1:07:00 PM,3.6421,0.8263,77.31,3.21,
7099YHER13,2007-04-10,10:44:00 AM,3.6901,0.8414,77.2,2.93,
7099YHER10,2007-04-10,10:17:00 AM,4.2788,0.9601,77.56,2.64,
7099YHER21,2007-04-10,12:29:00 PM,4.1134,0.9193,77.65,2.58,
7099YHER14,2007-04-10,10:55:00 AM,3.9061,0.8433,78.41,2.52,
7099YHER5,2007-04-10,9:04:00 AM,3.9578,0.883,77.69,2.44,
7099YHER16,2007-04-10,11:44:00 AM,3.8647,0.8862,77.07,2.4,
7099YHER8,2007-04-10,9:58:00 AM,3.3599,0.7572,77.46,2.39,
7100GHER3,2007-04-10,12:56:00 PM,3.739,0.8423,77.47,2.38,
7099YHER3,2007-04-10,8:16:00 AM,4.1968,0.913,78.25,2.28,
7100GHER2,2007-04-10,12:47:00 PM,3.6862,0.8041,78.19,2.24,
7099YHER1,2007-04-10,7:40:00 AM,3.7699,0.8197,78.26,2.24,
7099YHER9,2007-04-10,10:08:00 AM,3.7754,0.8368,77.84,2.23,
7099YHER17,2007-04-10,11:53:00 AM,4.0637,0.917,77.43,2.2,
7100GHER1,2007-04-10,12:39:00 PM,4.3469,0.9702,77.68,2.2,
7099YHER19,2007-04-10,12:11:00 PM,3.8354,0.8606,77.56,2.16,
7099YHER11,2007-04-10,10:26:00 AM,4.0063,0.8887,77.82,2.05,
7099YHER6,2007-04-10,9:37:00 AM,4.1015,0.9115,77.78,2.03,
7099GHER1,2007-04-10,9:17:00 AM,4.2315,0.9294,78.04,1.96,
7099YHER7,2007-04-10,9:46:00 AM,4.2674,0.9616,77.47,1.9,
7099YHER2,2007-04-10,7:51:00 AM,3.7897,0.8311,78.07,1.9,
7099YHER20,2007-04-10,12:19:00 PM,3.8371,0.8291,78.39,1.88,
7099GHER2,2007-04-10,9:25:00 AM,4.1194,0.9358,77.28,1.81,
7099YHER18,2007-04-10,12:02:00 PM,3.7008,0.778,78.98,1.73,
