Length (cm),2026-06-10,2026-07-31,2026-06-11,2026-07-09,2026-07-01,Total
17.5,0,0,0,0,0,0
18,0,1,0,0,0,1
18.5,0,0,0,0,0,0
19,0,4,0,1,0,5
19.5,0,6,0,3,0,9
20,0,12,0,11,5,28
20.5,0,16,0,20,3,39
21,0,29,0,39,8,76
21.5,1,39,0,49,25,114
22,1,33,0,64,29,127
22.5,3,29,2,64,30,128
23,4,21,11,77,28,141
23.5,11,11,23,92,27,164
24,21,4,33,74,18,150
24.5,31,1,27,54,6,119
25,19,0,21,36,4,80
25.5,9,0,19,26,0,54
26,8,0,16,18,1,43
26.5,5,0,5,8,0,18
27,7,0,12,4,0,23
27.5,8,0,6,3,0,17
28,19,0,5,2,0,26
28.5,22,0,7,0,0,29
29,13,0,6,0,0,19
29.5,8,0,4,0,0,12
30,7,0,3,0,0,10
30.5,2,0,1,0,0,3
31,2,0,0,0,0,2
31.5,1,0,0,0,0,1
32,0,0,0,0,0,0
