Year,Ground,Notes,Date, Biomass ,Yearly Total
2023,,,2023-05-22,,
2023,,,2023-06-06,,
2023,,,2023-06-18,,
2023,,,2023-07-02,,
2023,,,2023-07-16,,
2023,,,2023-07-30,,
2023,,,2023-08-13,,
2023,,,2023-08-27,,
2023,,,2023-09-10,,
2023,,,2023-09-24,,
2023,,,2023-10-09,,
2022,2022 Scots Bay 1,,2022-05-29,99092,
2022,2022 Scots Bay 2,,2022-06-12,100407,
2022,2022 Scots Bay 3,,2022-06-26,13709,
2022, 2022 Scots Bay 4,,2022-07-10,3515,
2022, 2022 Scots Bay 5,,2022-07-26,10536,
2022, 2022 Scots Bay 6,,2022-08-07,4248,
2022, 2022 Scots Bay 7,,2022-08-21,3656,
2022, 2022 Scots Bay 8,,2022-09-05,20848,
2022, 2022 Scots Bay 9,,2022-09-18, -   ,
2022, 2022 Scots Bay 10,,2022-10-03, -   ,256011
2021,2021 Scots Bay 1,,2021-05-24,3270,
2021, 2021 Scots Bay 2,,2021-06-05,2982,
2021, 2021 Scots Bay 3,,2021-06-07, -   ,
2021, 2021 Scots Bay 4,,2021-06-19,3175,
2021, 2021 Scots Bay 5,,2021-07-04,5861,
2021, 2021 Scots Bay 6,,2021-07-17,1994,
2021, 2021 Scots Bay 7,,2021-07-17, -   ,
2021, 2021 Scots Bay 8,,2021-08-01,4540,
2021, 2021 Scots Bay 9,,2021-08-02, -   ,
2021, 2021 Scots Bay 10,,2021-08-15,4006,
2021, 2021 Scots Bay 11,,2021-08-29,2457,
2021, 2021 Scots Bay 12,,2021-09-13,36544,
2021, 2021 Scots Bay 13,,2021-09-26, -   ,64829
2020,2020 Scots Bay 1,,2020-06-03,10760,
2020, 20201 Scots Bay 2,,2020-06-13,9128,
2020,2020 Scots Bay 3,,2020-06-27,39615,
2020, 2020 Scots Bay 4,,2020-07-11,22213,
2020, 2020 Scots Bay 5,,2020-07-26,20447,
2020, 2020 Scots Bay 6,,2020-08-09,40641,
2020, 2020 Scots Bay 7,,2020-08-23,23351,
