Number,Ground,Date,Year,id,TowReplicate,TowID,TowNo,Survey.No,Abundance,Density,Volume,Preservative,MeanLengthAdjustment,AdjustedMeanAgeInDays,AdjustedMinDateOfSpawn,AdjustedMaxDateOfSpawn,Lon1,Lat1,Lon2,Lat2,TowTime,AvgTowDepth,MaxTowDepth,CTDAvgTemp
1,SB,2018-06-09,2018,SB2018-01,FALSE,14,1,1,22,0.208144594,105.6957549,70% alcohol,7.054904545,8.562102273,17653.17208,17686.17996,-66.2283,45.065,-65.2033,45.06667,10,3,4,7.624
2,SB,2018-08-05,2018,SB2018-08,FALSE,21,1,5,45,0.11932827,377.1109723,4% formalin,6.283751333,5.348963889,17721.56396,17743.03758,-64.7636,45.21804,-64.7469,45.218,9,NA,NA,NA
3,SB,2019-06-08,2019,SB2019-02,TRUE,28,2,1,2,0.000415757,4810.507594,70% alcohol,6.441275,6.0053125,18021.54017,18048.44921,-65.238,45.0972,-65.238,45.0972,10,NA,NA,NA
4,SB,2019-06-22,2019,SB2019-04,TRUE,29,2,2,20,0.052645865,379.8968828,70% alcohol,5.765788,3.190783333,18044.97688,18060.59483,-65.206,45.0708,-65.274,45.0452,10,11.6,23,NA
5,SI,2019-10-13,2019,SI2019-02,TRUE,40,2,5,9,NA,NA,70% alcohol,8.537405556,14.73918981,18141.86721,18177.10033,-66.09261667,43.5003,-66.09168333,43.5092,8,NA,NA,NA
6,SB,2020-06-14,2020,SB2020-01,TRUE,41,1,2,26,NA,NA,4% formalin,6.627295385,6.780397436,18392.20621,18417.11396,-65.12,45.02,-65.11,45.03,9,11.78051004,19.98895913,7.69
7,SB,2020-06-14,2020,SB2020-02,TRUE,41,2,2,17,0.001011063,16813.98277,4% formalin,5.315232353,1.313468137,18402.05346,18416.53471,-65.12,45.03,-65.12708,45.04,10,4.082376488,5.683132347,7.69
8,SB,2019-06-22,2019,SB2019-03,TRUE,29,1,2,10,0.018598398,537.6807214,70% alcohol,6.761711,7.3404625,18037.43575,18056.59763,-65.262,45.0506,-65.206,45.0708,14,3.7,10,NA
9,SB,2020-06-27,2020,SB2020-03,TRUE,42,1,3,23,NA,NA,4% formalin,6.405348261,5.855617754,18402.64096,18427.50733,-65.21666667,45.033333,-65.2,45.05,10,4.3173,7.804011973,9.188721
10,SB,2019-09-15,2019,SB2019-13,TRUE,37,2,8,64,0.001131355,56569.34733,70% alcohol,8.108667188,12.95277995,18108.50733,18141.474,-65.2049,45.0556,-65.2049,45.0645,10,16.509,26.056,12.11
11,SB,2017-06-22,2017,SB2017-01,FALSE,1,1,1,275,NA,NA,4% formalin,9.063409091,16.93087121,17284.84271,17326.21771,-65.132,45.0885,-65.2168,45.1419,10,1,3,8.003
12,SB,2020-08-23,2020,SB2020-13,TRUE,47,1,7,74,NA,NA,4% formalin,7.210378378,9.20990991,18466.50921,18483.14196,-65.217,45.0493,-65.209,45.0556,10,7.166429793,8.9,12.33486
13,SB,2019-07-06,2019,SB2019-06,TRUE,30,2,3,12,0.042775755,280.5327425,70% alcohol,8.7728425,15.72017708,18032.06783,18068.04271,-65.2183,45.0483,-65.24,45.0433,21,NA,NA,NA
14,SI,2019-10-13,2019,SI2019-01,TRUE,40,1,5,16,0.000269281,59417.56089,4% formalin,8.038644375,12.66101823,18137.09733,18170.69383,-66.08818333,43.50988333,-66.08601667,43.5013,5,NA,NA,NA
15,SB,2020-08-23,2020,SB2020-14,TRUE,47,2,7,37,NA,NA,4% formalin,7.264054054,9.433558559,18466.38508,18480.82496,-65.204,45.0561,NA,NA,15,11.60308719,21.9,12.33486
16,SB,2019-09-15,2019,SB2019-12,TRUE,37,1,8,28,NA,NA,4% formalin,8.004864643,12.52026935,18111.26221,18137.70083,-65.2,45.05,-65.202,45.0562,10,15.288,28.522,12.11
