Survey,Tow,Survey_Date,Collection_Date,Ground,Length_Pixel,Length_mm,Yolk_sac,Preservative
5,8,2018-08-05,2018-08-05,Scots Bay,,1.86,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,2.13,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,2.21,,70% Ethanol
1,1,2018-05-09,2018-05-09,Scots Bay,,2.29,0.72,70% Ethanol
1,2,2019-06-08,2019-06-08,Scots Bay,,2.71,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,3.14,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,3.15,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,3.16,,70% Alcohol
6,14,2019-09-13,2019-09-13,Seal Island,,3.28,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,3.33,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,3.68,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,30,3.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,33,4.125,,4% Formalin
2,3,2019-06-22,2019-06-22,Scots Bay,,4.13,0.64,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,4.16,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,4.3,,70% Ethanol
6,12,2019-10-13,2019-10-13,Seal Island,,4.36,,4% Formalin
2,4,2019-06-22,2019-06-22,Scots Bay,,4.37,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,4.43,,70% Alcohol
2,3,2019-06-22,2019-06-22,Scots Bay,,4.46,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,4.48,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,4.48,,70% Alcohol
2,4,2019-06-22,2019-06-22,Scots Bay,,4.54,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,4.55,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,4.6,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,4.62,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,4.65,,70% Alcohol
2,4,2019-06-22,2019-06-22,Scots Bay,,4.68,0.66,70% Alcohol
1,1,2018-05-09,2018-05-09,Scots Bay,,4.71,1,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,4.71,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,4.74,,4% Formalin
3,6,2019-07-06,2019-07-06,Scots Bay,,4.75,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,4.81,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,4.84,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,4.85,0.79,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,4.85,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,39,4.875,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,4.9,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,4.9,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,4.95,,70% Ethanol
6,12,2019-10-13,2019-10-13,Seal Island,,5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,40,5,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,5,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,5.01,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,5.01,,70% Alcohol
2,4,2019-06-22,2019-06-22,Scots Bay,,5.02,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,5.02,,4% Formalin
5,8,2018-08-05,2018-08-05,Scots Bay,,5.05,,70% Ethanol
2,3,2019-06-22,2019-06-22,Scots Bay,,5.16,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.19,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.19,,70% Ethanol
2,3,2019-06-22,2019-06-22,Scots Bay,,5.25,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,5.25,,70% Alcohol
2,4,2019-06-22,2019-06-22,Scots Bay,,5.34,1.22,70% Alcohol
3,6,2019-07-06,2019-07-06,Scots Bay,,5.36,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.38,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.4,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.44,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.46,,70% Ethanol
2,4,2019-06-22,2019-06-22,Scots Bay,,5.49,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.52,,70% Ethanol
6,12,2019-10-13,2019-10-13,Seal Island,,5.53,,4% Formalin
8,12,2019-09-15,2019-09-15,Scots Bay,,5.53,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,5.54,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.56,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.59,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.59,,70% Ethanol
6,12,2019-10-13,2019-10-13,Seal Island,,5.61,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,45,5.625,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,5.64,,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,5.72,,4% Formalin
3,6,2019-07-06,2019-07-06,Scots Bay,,5.73,1.04,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,46,5.75,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,5.78,,70% Alcohol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.79,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,5.79,,70% Alcohol
1,1,2018-05-09,2018-05-09,Scots Bay,,5.8,1.16,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.8,,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.82,,70% Ethanol
6,12,2019-10-13,2019-10-13,Seal Island,,5.83,,4% Formalin
3,6,2019-07-06,2019-07-06,Scots Bay,,5.84,1.09,70% Alcohol
6,12,2019-10-13,2019-10-13,Seal Island,,5.87,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,47,5.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,47,5.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,47,5.875,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,5.9,0.54,70% Ethanol
5,8,2018-08-05,2018-08-05,Scots Bay,,5.91,,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,5.94,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,5.98,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,48,6,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,48,6,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,6,,70% Alcohol
