,TAG_NUMBER,catchAREA,DATE,BOAT,GearType,Company,Catch.t,dataorigin,id,
1,205442,Seal Island,2019-10-14,Leroy & Barry II,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2019-10-14 Leroy & Barry II,"id formula is as follows TEXT(DATE cell, ""yyyy-mm-dd"")& "" "" &BOAT cell"
2,41089,Scots Bay,2020-08-24,Morning Star,Purse Seine,Scotia Garden,126,ScotiaGardenReturns2020.csv,2020-08-24 Morning Star,
3,416008,Scots Bay,2019-08-06,Sealife II,Purse Seine,Comeau Sea Foods,NA,rawReturn.csv,2019-08-06 Sealife II,
4,416418,Scots Bay,2020-08-25,Leroy & Barry II,Purse Seine,Scotia Garden,72,ScotiaGardenReturns2020.csv,2020-08-25 Leroy & Barry II,
5,419912,Scots Bay,2017-01-20,Canada 100,Purse Seine,Connors ,NA,rawReturn.csv,2017-01-20 Canada 100,
6,42041,Seal Island,2019-10-15,Lady Melissa,Purse Seine,Sealife,NA,rawReturn.csv,2019-10-15 Lady Melissa,
7,420572,Tear Drop,2017-06-09,Sealife II,Purse Seine,Sealife,NA,rawReturn.csv,2017-06-09 Sealife II,
8,420613,Area 1B,2017-02-01,Osprey,Mid Water Trawl,Connors ,NA,rawReturn.csv,2017-02-01 Osprey,
9,42335,Seal Island,2019-10-15,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-10-15 Lady Janice II,
10,42553,Seal Island,2019-10-14,Morning Star,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2019-10-14 Morning Star,
11,42648,Seal Island,2019-10-14,Leroy & Barry II,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2019-10-14 Leroy & Barry II,
12,42737,Seal Island,2019-10-14,Leroy & Barry II,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2019-10-14 Leroy & Barry II,
13,42739,Seal Island,2019-10-15,Lady Janice II,Purse Seine,Comeau Sea Foods,NA,rawReturn.csv,2019-10-15 Lady Janice II,
