TAG_NUMBER,catchAREA,Y,X,DATE,BOAT,GearType,Company
34171,Scots Bay,45.1855,-64.97466667,2019-08-05,Canada 100,Purse Seine,Connors
34340,Scots Bay,45.14016667,-64.92033333,2019-07-08,Brunswick Provider,Purse Seine,Connors
34429,Scots Bay,45.1875,-65.01566667,2019-07-21,Canada 100,Purse Seine,Connors
34493,McDormant Patch,44.0885,-66.47533333,2019-09-06,Canada 100,Purse Seine,Connors
34586,Scots Bay,45.21983333,-64.94333333,2019-08-19,Brunswick Provider,Purse Seine,Connors
34613,Scots Bay,45.179,-65.03716667,2019-07-22,Brunswick Provider,Purse Seine,Connors
42041,Seal Island,43.32133333,-66.16183333,2019-10-15,Lady Melissa,Purse Seine,Sealife
42335,Seal Island,43.31666667,-66.15666667,2019-10-15,Lady Janice,Purse Seine,Sealife
42425,Seal Island,43.32133333,-66.16183333,2019-10-15,Lady Melissa,Purse Seine,CapeBreeze
42553,Seal Island,43.28333333,-66.28333333,2019-10-14,Morning Star,Purse Seine,Scotia Gardens
42648,Seal Island,43.35,-66.19166667,2019-10-14,Leroy and Barry,Purse Seine,Scotia Gardens
42737,Seal Island,43.35,-66.19166667,2019-10-14,Leroy and Barry,Purse Seine,Scotia Gardens
42739,Seal Island,43.31666667,-66.15666667,2019-10-15,Lady Janice,Purse Seine,Comeau Sea Foods
42749,Seal Island,43.35,-66.19166667,2019-10-14,Leroy and Barry,Purse Seine,Scotia Gardens
42804,Seal Island,43.33333333,-66.16666667,2019-10-15,Morning Star,Purse Seine,Scotia Gardens
42937,Seal Island,43.33333333,-66.16666667,2019-10-15,Morning Star,Purse Seine,Scotia Gardens
44089,Crow Island Weir,45.04116667,-66.88,2019-08-27,Caroline B,Weir,Connors
44186,Prong,44.40516667,-66.76566667,2019-06-17,Brunswick Provider,Purse Seine,Connors
44217,Prong,44.41666667,-66.71666667,2019-06-20,Brunswick Provider,Purse Seine,Connors
44358,Flagg Cove,44.74283333,-66.75,2019-08-27,Silver Harvester,Weir,Connors
44374,Cora Bell Weir Grand Manan,44.7566,-66.73,2019-08-21,Silver Harvester,ShutOff,Connors
44639,Spruce Island Weir,45.02566667,-66.86,2019-09-09,Senator Neil,Weir,Connors
44790,Tuckers Cove,45.01716667,-66.84833333,2019-08-15,Silver King,Weir_ShutOff,Connors
44882,Prong,44.40516667,-66.76566667,2019-06-17,Brunswick Provider,Purse Seine,Connors
44979,Prong,44.414,-66.70866667,2019-06-18,Canada 100,Purse Seine,Connors
