"","category","timeDifference","AvgtimeDifference","timeDifferenceMin","timeDifferenceMax","No.InCategory","No.ofSameNumberOfDays"
"1",4,47,"55","30","133","181","7"
"2",3,14,"15","10","29","218","17"
"3",3,13,"15","10","29","218","56"
"4",4,60,"55","30","133","181","4"
"5",4,41,"55","30","133","181","3"
"6",4,77,"55","30","133","181","2"
"7",4,88,"55","30","133","181","2"
"8",4,75,"55","30","133","181","2"
"9",4,133,"55","30","133","181","1"
"10",4,49,"55","30","133","181","4"
"11",1,2,"1.4","0","2","462","231"
"12",1,1,"1.4","0","2","462","180"
"13",7,743,"743","743","743","2","2"
"14",1,0,"1.4","0","2","462","51"
"15",4,83,"55","30","133","181","4"
"16",3,12,"15","10","29","218","11"
"17",3,15,"15","10","29","218","25"
"18",4,96,"55","30","133","181","1"
"19",4,64,"55","30","133","181","2"
"20",2,5,"5.5","3","9","253","16"
"21",2,6,"5.5","3","9","253","29"
"22",3,11,"15","10","29","218","17"
"23",2,8,"5.5","3","9","253","43"
"24",4,81,"55","30","133","181","1"
"25",4,51,"55","30","133","181","5"
"26",4,40,"55","30","133","181","2"
"27",4,66,"55","30","133","181","2"
"28",6,696,"426","365","715","16","1"
"29",4,50,"55","30","133","181","4"
"30",4,89,"55","30","133","181","1"
"31",4,32,"55","30","133","181","4"
"32",4,33,"55","30","133","181","9"
"33",4,91,"55","30","133","181","1"
"34",3,17,"15","10","29","218","8"
"35",6,398,"426","365","715","16","1"
"36",2,9,"5.5","3","9","253","25"
"37",6,386,"426","365","715","16","2"
"38",4,43,"55","30","133","181","9"
"39",3,18,"15","10","29","218","2"
"40",2,3,"5.5","3","9","253","83"
"41",4,31,"55","30","133","181","4"
"42",4,38,"55","30","133","181","2"
"43",3,24,"15","10","29","218","4"
"44",4,36,"55","30","133","181","5"
"45",4,48,"55","30","133","181","3"
"46",4,37,"55","30","133","181","3"
"47",3,28,"15","10","29","218","5"
"48",4,58,"55","30","133","181","2"
"49",4,42,"55","30","133","181","6"
"50",4,52,"55","30","133","181","2"
"51",4,120,"55","30","133","181","1"
"52",4,56,"55","30","133","181","8"
"53",4,35,"55","30","133","181","6"
"54",4,71,"55","30","133","181","2"
"55",3,10,"15","10","29","218","37"
"56",5,217,"273","190","360","19","1"
"57",5,253,"273","190","360","19","1"
"58",5,346,"273","190","360","19","1"
"59",5,218,"273","190","360","19","1"
"60",4,87,"55","30","133","181","2"
"61",4,55,"55","30","133","181","6"
"62",4,30,"55","30","133","181","4"
"63",4,74,"55","30","133","181","1"
"64",3,23,"15","10","29","218","3"
"65",4,90,"55","30","133","181","2"
"66",6,400,"426","365","715","16","1"
"67",4,98,"55","30","133","181","1"
"68",4,44,"55","30","133","181","6"
"69",4,86,"55","30","133","181","2"
"70",3,22,"15","10","29","218","6"
"71",3,16,"15","10","29","218","10"
"72",4,80,"55","30","133","181","1"
"73",4,113,"55","30","133","181","2"
"74",4,45,"55","30","133","181","6"
"75",3,19,"15","10","29","218","2"
"76",2,7,"5.5","3","9","253","30"
"77",2,4,"5.5","3","9","253","27"
"78",3,29,"15","10","29","218","2"
"79",4,67,"55","30","133","181","1"
"80",5,342,"273","190","360","19","1"
"81",3,20,"15","10","29","218","2"
"82",4,63,"55","30","133","181","6"
"83",4,62,"55","30","133","181","1"
"84",4,85,"55","30","133","181","3"
"85",4,34,"55","30","133","181","1"
"86",5,357,"273","190","360","19","1"
"87",4,53,"55","30","133","181","2"
"88",5,204,"273","190","360","19","1"
"89",5,352,"273","190","360","19","1"
"90",5,198,"273","190","360","19","1"
"91",6,390,"426","365","715","16","1"
"92",4,76,"55","30","133","181","1"
"93",4,61,"55","30","133","181","2"
"94",5,195,"273","190","360","19","1"
"95",3,27,"15","10","29","218","4"
"96",5,190,"273","190","360","19","1"
"97",5,197,"273","190","360","19","1"
"98",4,57,"55","30","133","181","1"
"99",5,309,"273","190","360","19","1"
"100",4,39,"55","30","133","181","4"
"101",3,25,"15","10","29","218","3"
"102",4,70,"55","30","133","181","2"
"103",5,226,"273","190","360","19","1"
"104",4,69,"55","30","133","181","1"
"105",4,54,"55","30","133","181","1"
"106",6,380,"426","365","715","16","1"
"107",6,377,"426","365","715","16","1"
"108",3,21,"15","10","29","218","2"
"109",6,715,"426","365","715","16","1"
"110",5,360,"273","190","360","19","1"
"111",6,397,"426","365","715","16","1"
"112",6,372,"426","365","715","16","1"
"113",6,420,"426","365","715","16","1"
"114",6,365,"426","365","715","16","1"
"115",6,385,"426","365","715","16","1"
"116",4,73,"55","30","133","181","1"
"117",5,223,"273","190","360","19","1"
"118",3,26,"15","10","29","218","2"
"119",4,93,"55","30","133","181","2"
"120",4,46,"55","30","133","181","2"
"121",5,358,"273","190","360","19","1"
"122",5,307,"273","190","360","19","1"
"123",5,335,"273","190","360","19","1"
"124",6,373,"426","365","715","16","1"
"125",4,78,"55","30","133","181","1"
"126",4,109,"55","30","133","181","1"
"127",4,110,"55","30","133","181","1"
"128",6,371,"426","365","715","16","1"
