Tag_Num,Date,Julian,Ground,Lat,Lon,returnedDate,returnedJulian,returnedArea,returnedLat,returnedLon,Catch.t,daysAtLarge,dataorigin,Comments,ReleaseNAFO,ReturnNAFO
420613,2016-06-28,180,Gannet Dry Ledge,43.605,-66.9362,2017-02-01,32,Area 1B,,,,218,complete.returns,,4Xq,
420289,2016-06-21,173,German Bank,43.4917,-66.7633,2017-03-01,60,Area 1B,,,,253,complete.returns,,4Xq,
430067,2016-08-15,228,Grand Manan Banks,44.2657,-67.0152,2016-09-27,271,Bradfords Cove Weir,,,,43,complete.returns,,5Yb,
442815,2018-06-27,178,Grand Manan Banks,44.44633333,-66.6723,2019-01-17,17,Bradfords Cove Weir,,,,204,complete.returns,,4Xs,
444728,2017-07-25,206,Grand Manan Banks,44.25366667,-67.0403,2017-09-12,255,Bradfords Cove Weir,,,,49,complete.returns,,5Yb,
585004,2022-06-05,156,Grand Manan Banks,44.24748333,-67.0472,2022-07-19,200,Brier,,,42.9,44,complete.returns,,5Yb,
450805,2018-07-03,184,Grand Manan,44.64683333,-66.6555,2019-01-16,16,Campobello North Road Shut Off,,,,197,complete.returns,,4Xs,
445366,2018-07-03,184,Grand Manan,44.64683333,-66.6555,2019-01-17,17,Campobello Ship Head Weir,,,,198,complete.returns,,4Xs,
465926,2020-07-02,184,German Bank,43.15397,-66.0777,2020-07-07,189,Casper,,,101.0,5,complete.returns,,4Xo,
452321,2019-07-04,185,Grand Manan Banks,44.28208333,-66.9652,2019-08-28,240,Chattis Point,,,,55,complete.returns,,5Yb,4Xs
44374,2019-06-05,156,Grand Manan Banks,44.2885,-66.9765,2019-08-21,233,Cora Bell Weir Grand Manan,,,,77,complete.returns,,5Yb,
44089,2019-06-05,156,Grand Manan Banks,44.2885,-66.9765,2019-08-27,239,Crow Island Weir,,,,83,complete.returns,,5Yb,
515650,2021-07-21,202,Long Island,44.21066667,-66.62083333,2021-10-15,288,Deer Island NB,,,14.0,86,complete.returns,,4Xr,
44358,2019-06-05,156,Grand Manan Banks,44.2885,-66.9765,2019-08-27,239,Flagg Cove,,,,83,complete.returns,,5Yb,
443959,2019-06-04,155,Grand Manan Banks,44.291,-66.973,2019-08-28,240,Flagg Cove,,,,85,complete.returns,,5Yb,
452653,2019-07-04,185,Grand Manan Banks,44.2866,-67.1728,2019-08-30,242,Flagg Cove,,,,57,complete.returns,,5Yb,
580142,2021-06-14,165,Gannet Dry Ledge,43.62055,-66.97898333,2021-06-29,180,Gannet Dry Ledge,,,58.0,15,complete.returns,GANNET DRY LEDGE-AREA 5,4Xq,4Xq
511150,2021-06-13,164,Gannet Dry Ledge,43.62583333,-67.00316667,2021-06-14,165,Gannet Dry Ledge,,,34.0,1,complete.returns,GANNET DRY LEDGE-AREA 5,4Xq,4Xq
511097,2021-06-13,164,Gannet Dry Ledge,43.62583333,-67.00316667,2021-06-14,165,Gannet Dry Ledge,,,56.0,1,complete.returns,GANNET DRY LEDGE-AREA 5,4Xq,4Xq
580326,2021-06-16,167,Gannet Dry Ledge,43.58883333,-66.78583333,2021-06-18,169,Gannet Dry Ledge,,,115.0,2,complete.returns,,4Xq,4Xq
580683,2021-06-17,168,Gannet Dry Ledge,43.5883,-66.78375,2021-06-19,170,Gannet Dry Ledge,,,115.0,2,complete.returns,,4Xq,4Xq
464823,2021-06-25,176,Lurcher,43.85333333,-67.02711667,2021-07-28,209,Gannet Dry Ledge,,,94.0,33,complete.returns,,5Yb,4Xq
551485,2022-07-08,189,Grand Manan,44.624,-66.65133333,2022-07-14,195,Gannet Dry Ledge,,,,6,complete.returns,,4Xs,4Xq
437082,2016-08-11,224,German Bank,43.3362,-66.4197,2017-07-19,200,German Bank,,,,342,complete.returns,,4Xq,4Xq
441773,2018-08-13,225,Long Island,44.51016667,-66.096,2018-09-25,268,German Bank,,,,43,complete.returns,,4Xr,4Xq
445880,2018-08-12,224,Long Island,44.57166667,-66.094,2018-09-24,267,German Bank,,,,43,complete.returns,,4Xr,4Xq
445969,2018-08-12,224,Long Island,44.57166667,-66.094,2018-10-02,275,German Bank,,,,51,complete.returns,,4Xr,4Xq
451520,2018-09-23,266,German Bank,43.46845,-66.3601,2018-10-04,277,German Bank,,,,11,complete.returns,,4Xq,4Xq
