"Tag_Num","Date","Julian","Ground","Lat","Lon","returnedDate","returnedJulian","returnedArea","returnedLat","returnedLon","Catch.t","daysAtLarge","dataorigin","Comments","ReleaseNAFO","ReturnNAFO"
420613,"2016-06-28",180,"Gannet Dry Ledge",43.605,-66.9362,"2017-02-01",32,"Area 1B",NA,NA,NA,218,"complete.returns","","4Xq",NA
420289,"2016-06-21",173,"German Bank",43.4917,-66.7633,"2017-03-01",60,"Area 1B",NA,NA,NA,253,"complete.returns","","4Xq",NA
430067,"2016-08-15",228,"Grand Manan Banks",44.2657,-67.0152,"2016-09-27",271,"Bradfords Cove Weir",NA,NA,NA,43,"complete.returns","","4Xq","4Xr"
442815,"2018-06-27",178,"Grand Manan Banks",44.44633333,-66.6723,"2019-01-17",17,"Bradfords Cove Weir",NA,NA,NA,204,"complete.returns","","4Xq","4Xr"
444728,"2017-07-25",206,"Grand Manan Banks",44.25366667,-67.0403,"2017-09-12",255,"Bradfords Cove Weir",NA,NA,NA,49,"complete.returns","","4Xq","4Xr"
585004,"2022-06-05",156,"Grand Manan Banks",44.24748333,-67.0472,"2022-07-19",200,"Brier",NA,NA,42.9,44,"complete.returns","","4Xq",NA
450805,"2018-07-03",184,"Grand Manan",44.64683333,-66.6555,"2019-01-16",16,"Campobello North Road Shut Off",NA,NA,NA,197,"complete.returns","","4Xr",NA
445366,"2018-07-03",184,"Grand Manan",44.64683333,-66.6555,"2019-01-17",17,"Campobello Ship Head Weir",NA,NA,NA,198,"complete.returns","","4Xr",NA
465926,"2020-07-02",184,"German Bank",43.15397,-66.0777,"2020-07-07",189,"Casper",NA,NA,101,5,"complete.returns","","4Xq",NA
452321,"2019-07-04",185,"Grand Manan Banks",44.28208333,-66.9652,"2019-08-28",240,"Chattis Point",NA,NA,NA,55,"complete.returns","","4Xq","4Xs"
44374,"2019-06-05",156,"Grand Manan Banks",44.2885,-66.9765,"2019-08-21",233,"Cora Bell Weir Grand Manan",NA,NA,NA,77,"complete.returns","","4Xq","4Xr"
44089,"2019-06-05",156,"Grand Manan Banks",44.2885,-66.9765,"2019-08-27",239,"Crow Island Weir",NA,NA,NA,83,"complete.returns","","4Xq",NA
515650,"2021-07-21",202,"Long Island",44.21066667,-66.62083333,"2021-10-15",288,"Deer Island NB",NA,NA,14,86,"complete.returns","","4Xq",NA
44358,"2019-06-05",156,"Grand Manan Banks",44.2885,-66.9765,"2019-08-27",239,"Flagg Cove",NA,NA,NA,83,"complete.returns","","4Xq",NA
443959,"2019-06-04",155,"Grand Manan Banks",44.291,-66.973,"2019-08-28",240,"Flagg Cove",NA,NA,NA,85,"complete.returns","","4Xq",NA
452653,"2019-07-04",185,"Grand Manan Banks",44.2866,-67.1728,"2019-08-30",242,"Flagg Cove",NA,NA,NA,57,"complete.returns","","4Xq",NA
