Tag_Num,DateTagged,TaggedArea,TagReturnDate,TagReturnArea,Lon,Lat,id,dataorigin,geometry
422788,2016-08-01,German Bank,2016-08-31,German Bank,-66.3963,43.4042,2016-08-31 Leroy & Barry II,rawReturn.csv,"c(-66.3963, 43.4042)"
422812,2016-08-01,German Bank,2016-10-14,Northeast Bank,-66.3963,43.4042,2016-10-14 Margaret Elizabeth,rawReturn.csv,"c(-66.3963, 43.4042)"
422951,2016-08-01,German Bank,2016-08-16,German Bank,-66.3963,43.4042,2016-08-16 Silver Harvester,rawReturn.csv,"c(-66.3963, 43.4042)"
457012,2017-07-20,German Bank,2017-08-16,German Bank,-66.0465,43.22866667,2017-08-16 Leroy & Barry II,rawReturn.csv,"c(-66.0465, 43.22866667)"
454158,2017-07-25,German Bank,2017-08-31,German Bank,-66.3812,43.43866667,2017-08-31 Leroy & Barry II,rawReturn.csv,"c(-66.3812, 43.43866667)"
457449,2017-07-25,German Bank,2017-07-26,German Bank,-66.3812,43.43866667,2017-07-26 Lady Melissa,rawReturn.csv,"c(-66.3812, 43.43866667)"
457452,2017-07-25,German Bank,2017-09-12,Northeast Bank,-66.3812,43.43866667,2017-09-12 Canada 100,rawReturn.csv,"c(-66.3812, 43.43866667)"
457506,2017-07-25,German Bank,2017-08-17,German Bank,-66.3812,43.43866667,2017-08-17 Brunswick Provider,rawReturn.csv,"c(-66.3812, 43.43866667)"
457550,2017-07-25,German Bank,2017-07-26,German Bank,-66.3812,43.43866667,2017-07-26 Lady Janice II,rawReturn.csv,"c(-66.3812, 43.43866667)"
457674,2017-07-25,German Bank,2017-07-27,German Bank,-66.3812,43.43866667,2017-07-27 Lady Melissa,rawReturn.csv,"c(-66.3812, 43.43866667)"
457761,2017-07-25,German Bank,2017-07-27,German Bank,-66.3812,43.43866667,2017-07-27 Canada 100,rawReturn.csv,"c(-66.3812, 43.43866667)"
458234,2017-07-26,German Bank,2017-09-11,German Bank,-66.362,43.3805,2017-09-11 Margaret Elizabeth,rawReturn.csv,"c(-66.362, 43.3805)"
458295,2017-07-26,German Bank,2017-07-27,German Bank,-66.362,43.3805,2017-07-27 Lady Melissa,rawReturn.csv,"c(-66.362, 43.3805)"
458336,2017-07-26,German Bank,2017-07-27,German Bank,-66.362,43.3805,2017-07-27 Lady Melissa,rawReturn.csv,"c(-66.362, 43.3805)"
454497,2017-07-26,German Bank,2017-09-11,German Bank,-66.41,43.48667,2017-09-11 Morning Star,rawReturn.csv,"c(-66.41, 43.48667)"
453163,2017-07-27,German Bank,2018-06-01,Long Island,-66.4178,43.43233333,2018-06-01 Canada 100,rawReturn.csv,"c(-66.4178, 43.43233333)"
453405,2017-07-27,German Bank,2023-04-19,Scots Bay,-66.4178,43.43233333,2023-04-19 Lady Janice II,Tag returns from website or email 2025 Draw.xlxs,"c(-66.4178, 43.43233333)"
458887,2017-07-27,German Bank,2017-08-21,German Bank,-66.4178,43.43233333,2017-08-21 Canada 100,rawReturn.csv,"c(-66.4178, 43.43233333)"
