Tag_Num,returnedArea,returnedLat,returnedLon,returnedDate,ReturnedBoat,GearType,Company,Catch.t,dataorigin,originalDF,id,Comments,RemovalReason,returnedJulian,Date,Lon,Lat,Ground,Julian,daysAtLarge,BOAT,returnedDate_parsed,
467433,German Bank,NA,NA,2022-08-30,NA,Purse Seine,Comeau - Sea Life,53,complete.returns,ComeauReturns2022.csv,2022-08-31 Lady Melissa,German Bank (Area 7),Days at large <= 0 ( 0 ),242,2022-08-30,-66.3675,43.28433333,German Bank,242,0,Lady Melissa,NA,
516715,German Bank,NA,NA,2021-10-21,NA,Purse Seine,Scotia Garden,115,complete.returns,ScotiaGardenReturns2021.csv,2021-10-21 Morning Star,NA,Days at large <= 0 ( 0 ),294,2021-10-21,-66.355,43.32933333,German Bank,294,0,Morning Star,NA,
516775,German Bank,NA,NA,2021-10-21,NA,Purse Seine,Scotia Garden,115,complete.returns,ScotiaGardenReturns2021.csv,2021-10-21 Morning Star,NA,Days at large <= 0 ( 0 ),294,2021-10-21,-66.355,43.32933333,German Bank,294,0,Morning Star,NA,
516835,German Bank,NA,NA,2021-10-21,NA,Purse Seine,Scotia Garden,115,complete.returns,ScotiaGardenReturns2021.csv,2021-10-21 Morning Star,NA,Days at large <= 0 ( 0 ),294,2021-10-21,-66.355,43.32933333,German Bank,294,0,Morning Star,NA,
516976,German Bank,NA,NA,2021-10-21,NA,Purse Seine,Scotia Garden,115,complete.returns,ScotiaGardenReturns2021.csv,2021-10-21 Morning Star,NA,Days at large <= 0 ( 0 ),294,2021-10-21,-66.355,43.32933333,German Bank,294,0,Morning Star,NA,
422315,German Bank,NA,NA,2016-07-06,NA,Purse Seine,Connors,NA,complete.returns,rawReturn.csv,2016-07-06 Brunswick Provider,NA,Days at large <= 0 ( 0 ),188,2016-07-06,-66.76,43.5033,Other,188,0,Brunswick Provider,NA,
567482,German Bank,NA,NA,2023-09-01,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2023-09-01 Unspecified Connors Boat,NA,Days at large <= 0 ( -2 ),244,2023-09-03,-66.37361111,43.27138889,German Bank,246,-2,Unspecified Connors Boat,NA,
574694,German Bank,NA,NA,2023-09-15,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,2023-09-15 UNKNOWN,NA,Days at large <= 0 ( -6 ),258,2023-09-21,-66.37888889,43.32944444,German Bank,264,-6,UNKNOWN,NA,
483841,Lurcher,NA,NA,2020-09-10,NA,Purse Seine,Connors,24,complete.returns,ConnorsReturns2020.csv,2020-09-10 Canada 100,NA,Days at large <= 0 ( 0 ),254,2020-09-10,-66.5217,43.84215,Lurcher,254,0,Canada 100,NA,
482046,Lurcher,NA,NA,2020-09-10,NA,Purse Seine,Connors,24,complete.returns,ConnorsReturns2020.csv,2020-09-10 Canada 100,NA,Days at large <= 0 ( 0 ),254,2020-09-10,-66.5217,43.84215,Lurcher,254,0,Canada 100,NA,
