id,HSC,DFO
1,581083,552413
2,511150,587324
3,511097,590481
4,580142,494259
5,515196,55231
6,469743,590770
7,469727,494362
8,515504,514298
9,469867,469727
10,589571,481979
11,462648,581083
12,589805,469867
13,589646,515504
14,589507,469743
15,589502,515196
16,486911,580142
17,486889,481753
18,589533,493151
19,590065,516733
20,589890,493022
21,590064,516784
22,590200,589646
23,462600,589805
24,463463,462648
25,494392,589571
26,590796,590200
27,494355,590064
28,590731,589890
29,494405,590065
30,590150,589533
31,494330,486889
32,590756,486911
33,494476,589502
34,590687,589507
35,590536,511097
36,463346,511150
37,580175,514221
38,590862,481072
39,481072,590862
40,514221,580175
41,481979,463346
42,516784,590536
43,493022,590687
44,516733,494476
45,481753,590756
46,493151,494330
47,581226,590150
48,480407,494405
49,513256,590731
50,485775,494355
51,469871,590796
52,469895,494392
53,511454,463463
54,515215,462600
55,511675,
56,511729,
57,462846,
58,589877,
59,512543,
60,589836,
61,512567,
62,512503,
63,484725,
64,463444,
65,463270,
66,590768,
67,590663,
68,590714,
69,460583,
70,590170,
71,51378,
72,513483,
73,584493,
74,583902,
75,494445,
76,494379,
77,480665,
78,511323,
79,464212,
80,579872,
81,511121,
82,494378,
83,494446,
84,590330,
85,485856,
86,494768,
87,494720,
88,463875,
89,488244,
90,510055,
91,587582,
92,587290,
93,488070,
94,494962,
95,488138,
96,587637,
97,488052,
98,463831,
99,587744,
100,463935,
101,488101,
102,463807,
103,463789,
104,488203,
105,510072,
106,488081,
107,527118,
108,587730,
109,463783,
110,587583,
111,587360,
112,488248,
113,587334,
114,488355,
115,488266,
116,488618,
117,488534,
118,488533,
119,579635,
120,581796,
121,464297,
122,580818,
123,469366,
124,515768,
125,583368,
126,488502,
127,463776,
128,463962,
129,581803,
130,463779,
131,580835,
132,463482,
133,511231,
134,488198,
135,490522,
136,514777,
137,514729,
138,514801,
139,514668,
140,514635,
141,580027,
142,511279,
143,469700,
144,485452,
145,584951,
146,515650,
147,510156,
148,42544,
149,580767,
150,583187,
151,517804,
152,463804,
153,514424,
154,589728,
155,515312,
156,526890,
157,464939,
158,490850,
159,587565,
160,205498,
161,589591,
162,515590,
163,581029,
164,589729,
165,580125,
166,580326,
167,580683,
168,581777,
169,5153193,
170,580083,
171,469668,
172,515202,
173,469701,
174,469891,
175,464823,
176,512092,
177,589826,
178,589875,
179,589933,
180,512080,
181,589884,
182,512098,
183,589705,
184,589736,
185,512120,
186,5900081,
187,462879,
188,462835,
189,486910,
190,589935,
191,589949,
192,462740,
193,462553,
194,484789,
195,590321,
196,590372,
197,494402,
198,494299,
199,494285,
200,464224,
201,590156,
202,587293,
203,463797,
204,488145,
205,205155,
206,489754,
207,488595,
208,488585,
209,463335,
210,489473,
211,514422,
212,514447,
213,514164,
214,514759,
215,514778,
216,514724,
217,526523,
218,516640,
219,493029,
220,526873,
221,510146,
222,516715,
223,516775,
224,516835,
225,516976,
226,510089,
227,516656,
228,516759,
229,510101,
230,516745,
231,516963,
232,516760,
233,493025,
234,552123,
235,516639,
236,462848,
237,205276,
238,515030,
239,5510,
240,516934,
