Tag_Num,returnedArea,returnedLat,returnedLon,returnedDate,ReturnedBoat,GearType,Company,Catch.t,dataorigin,originalDF,id,Comments
453405,Scots Bay,,,2023-04-19,Found,N/A,N/A,NA,2023TagReturns,complete.returns,2023-04-19 Lady Janice II,
572411,UNKNOWN,,,2023-06-01,UNKNOWN,Purse Seine,Connors,,2023TagReturns,complete.returns,2023-06-01 UNKNOWN,
591121,Scots Bay,,,2023-06-08,SEALIFE II / MELISSA MIX,Purse Seine,Comeau,45,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-06-08 SEALIFE II / MELISSA MIX,
593181,Grand Manan Banks,,,2023-06-21,LADY JANICE II,Purse Seine,Comeau,10,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-06-21 LADY JANICE II,
468757,The Patch ,,,2023-07-02,Morning Star,Purse Seine,Scotia Gardens,63,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-07-02 Morning Star,
497303,Scots Bay,,,2023-07-03,Leroy & Barry,Purse Seine,Scotia Gardens,63,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-07-03 Leroy & Barry,
497202,Scots Bay,,,2023-07-03,Leroy & Barry,Purse Seine,Scotia Gardens,63,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-07-03 Leroy & Barry,
557301,White Head,,,2023-07-05,Brunswick Provider,Purse Seine/Frozen,Connors,48,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-05 Brunswick Provider,
523994,White Head,,,2023-07-05,Brunswick Provider,Purse Seine/Frozen,Connors,48,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-05 Brunswick Provider,
508845,White Head,,,2023-07-05,Brunswick Provider,Purse Seine/Frozen,Connors,48,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-05 Brunswick Provider,
593841,Grand Manan,,,2023-07-07,LADY JANICE II,Purse Seine,Comeau,125,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-07 LADY JANICE II,
497450,White Head,,,2023-07-11,Leroy & Barry,Purse Seine,Scotia Gardens,65,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-07-11 Leroy & Barry,
509990,Grand Manan,,,2023-07-11,LADY JANICE II,Purse Seine,Comeau,20,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-11 LADY JANICE II,
556394,Grand Manan,,,2023-07-11,LADY JANICE II,Purse Seine,Comeau,20,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-11 LADY JANICE II,
558924,Grand Manan,,,2023-07-11,LADY JANICE II,Purse Seine,Comeau,20,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-11 LADY JANICE II,
558827,Grand Manan,,,2023-07-19,LADY MELISSA,Purse Seine,Comeau,60,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-19 LADY MELISSA,AREA 1 GRAND MANAN
558935,Grand Manan,,,2023-07-19,LADY MELISSA,Purse Seine,Comeau,60,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-19 LADY MELISSA,AREA 1 GRAND MANAN
559893,Grand Manan,,,2023-07-19,LADY MELISSA,Purse Seine,Comeau,60,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-19 LADY MELISSA,AREA 1 GRAND MANAN
475395,Grand Manan,,,2023-07-19,MELISSA / SEALIFE II MIX,Purse Seine,Comeau,95,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-19 MELISSA / SEALIFE II MIX,AREA 1 GRAND MANAN
557233,Grand Manan,,,2023-07-19,MELISSA / SEALIFE II MIX,Purse Seine,Comeau,95,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-19 MELISSA / SEALIFE II MIX,AREA 1 GRAND MANAN
524812,Grand Manan,,,2023-07-20,Leroy & Barry,Purse Seine,Scotia Gardens,62,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-07-20 Leroy & Barry,
559016,Grand Manan,,,2023-07-20,Leroy & Barry,Purse Seine,Scotia Gardens,62,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-07-20 Leroy & Barry,
501859,Grand Manan,,,2023-07-20,LADY MELISSA,Purse Seine,Comeau,46,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-20 LADY MELISSA,AREA 1 GRAND MANAN
559752,Grand Manan,,,2023-07-20,LADY MELISSA,Purse Seine,Comeau,46,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-20 LADY MELISSA,AREA 1 GRAND MANAN
562360,Grand Manan,,,2023-07-20,LADY MELISSA,Purse Seine,Comeau,46,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-20 LADY MELISSA,AREA 1 GRAND MANAN
549606,Grand Manan,,,2023-07-20,MELISSA / SEALIFE II MIX,Purse Seine,Comeau,63,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-20 MELISSA / SEALIFE II MIX,AREA 1 GRAND MANAN
558199,Grand Manan,,,2023-07-20,MELISSA / SEALIFE II MIX,Purse Seine,Comeau,63,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,2023-07-20 MELISSA / SEALIFE II MIX,AREA 1 GRAND MANAN
473477,White Head,,,2023-07-21,Brunswick Provider,Purse Seine/Frozen,Connors,48,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-21 Brunswick Provider,
563741,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
567439,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
577864,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
498720,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
563721,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
563828,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
563764,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
563727,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
563712,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
563757,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
563702,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
578675,Scots Bay,45 06,65 03,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,
471228,German Bank,,,2023-08-24,Leroy & Barry,Purse Seine,Scotia Gardens,60,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-24 Leroy & Barry,
471237,Seal Island,,,2023-08-24,Morning Star,Purse Seine,Scotia Gardens,20,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-24 Morning Star,
521280,Seal Island,,,2023-08-24,Morning Star,Purse Seine,Scotia Gardens,20,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-24 Morning Star,
603551,Scots Bay,45 08,65 03,2023-08-28,Fundy Monarch,Purse Seine,Connors,107,2023TagReturns,complete.returns,2023-08-28 Fundy Monarch,
572673,Scots Bay,45 08,65 03,2023-08-28,Fundy Monarch,Purse Seine,Connors,107,2023TagReturns,complete.returns,2023-08-28 Fundy Monarch,
528653,Scots Bay,45 08,65 03,2023-08-28,Fundy Monarch,Purse Seine,Connors,107,2023TagReturns,complete.returns,2023-08-28 Fundy Monarch,
500644,Scots Bay,,,2023-08-29,Morning Star,Purse Seine,Scotia Gardens,69,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-29 Morning Star,
564113,Scots Bay,,,2023-08-29,Morning Star,Purse Seine,Scotia Gardens,69,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-29 Morning Star,
572422,Scots Bay,,,2023-08-29,Morning Star,Purse Seine,Scotia Gardens,69,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-29 Morning Star,
572298,Scots Bay,,,2023-08-29,Morning Star,Purse Seine,Scotia Gardens,69,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-29 Morning Star,
564084,Scots Bay,,,2023-08-29,Morning Star,Purse Seine,Scotia Gardens,69,2023TagReturns,Scotia Garden Herring Research Tags Collected Information 2023.xlsx,2023-08-29 Morning Star,
564002,Scots Bay ,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564010,Scots Bay ,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564641,Scots Bay ,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
569220,Scots Bay ,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
502232,Scots Bay,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
572434,Scots Bay,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564556,Scots Bay,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564167,Scots Bay,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564234,Scots Bay ,,,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
563867,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564044,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564208,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564311,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564326,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564381,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564385,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564409,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564548,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
572488,Scots Bay,,,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
564004,Scots Bay,,,2023-08-29,SEALIFE II,Purse Seine,Comeau,17,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
572293,Scots Bay,,,2023-08-29,SEALIFE II,Purse Seine,Comeau,17,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471466,Scots Bay ,45 11,65 03,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,,
564145,Scots Bay ,45 11,65 03,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,,
572482,Scots Bay ,45 11,65 03,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,,
471259,Scots Bay ,45 11,65 03,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,,
569218,Scots Bay ,45 11,65 03,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,,
528707,Scots Bay ,45 11,65 03,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,,
471554,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,40,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
572454,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,40,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564875,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,40,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564957,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,40,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564403,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,40,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
471605,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,39,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
471705,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,39,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564317,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,39,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
564346,Scots Bay ,,,2023-08-30,Canada 100,Purse Seine,Connors,39,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,,
572780,German Bank,,,2023-08-30,LADY JANICE II,Purse Seine,Comeau,63,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,German Bank (Area 7)
471488,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471497,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471555,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471570,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471600,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471601,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471608,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471619,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
471682,Scots Bay,,,2023-08-30,LADY MELISSA,Purse Seine,Comeau,74,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,,Scots Bay (Area 8)
