id,X,Y,group,type,div,date,daysAtLarge
227,-66.39633333,43.40416667,1,release,14,2016-08-01,15
183,-66.349,43.46233333,2,release,27,2016-08-11,3
252,-67.11833333,44.13,3,release,10,2016-07-11,8
274,-66.71666667,43.44833333,4,release,7,2016-07-05,2
236,-66.398,43.42483333,5,release,23,2016-08-10,35
277,-66.71483333,43.50833333,6,release,6,2016-07-04,1
288,-66.71483333,43.50833333,7,release,6,2016-07-04,1
242,-66.4175,43.352,8,release,22,2016-08-10,2
160,-66.71483333,43.50833333,9,release,6,2016-07-04,60
296,-66.71483333,43.50833333,10,release,6,2016-07-04,1
246,-66.71483333,43.50833333,11,release,6,2016-07-04,1
164,-66.71483333,43.50833333,12,release,6,2016-07-04,1
290,-66.71483333,43.50833333,13,release,6,2016-07-04,1
190,-66.3385,43.46183333,14,release,20,2016-08-07,8
265,-66.935,43.61166667,15,release,2,2016-06-16,1
293,-66.67833333,43.545,16,release,8,2016-07-05,1
196,-66.4655,43.3305,17,release,24,2016-08-11,1
211,-66.349,43.46233333,18,release,27,2016-08-11,4
154,-66.398,43.42483333,19,release,23,2016-08-10,6
159,-66.349,43.46233333,20,release,27,2016-08-11,6
231,-67.105,44.17333333,21,release,15,2016-08-02,17
224,-66.42683333,43.31266667,22,release,25,2016-08-11,11
219,-66.3945,43.30166667,23,release,28,2016-08-12,10
187,-66.4175,43.352,24,release,22,2016-08-10,13
176,-66.349,43.46233333,25,release,27,2016-08-11,12
155,-66.349,43.46233333,26,release,27,2016-08-11,12
287,-66.349,43.46233333,27,release,27,2016-08-11,12
235,-66.349,43.46233333,28,release,27,2016-08-11,13
153,-66.71666667,43.44833333,29,release,7,2016-07-05,50
223,-66.349,43.46233333,30,release,27,2016-08-11,14
275,-66.77416667,43.5015,31,release,1,2016-06-15,71
244,-66.349,43.46233333,32,release,27,2016-08-11,14
262,-66.72333333,43.5,33,release,5,2016-07-04,56
253,-66.77233333,43.50666667,34,release,9,2016-07-06,55
284,-66.41966667,43.33616667,35,release,26,2016-08-11,33
198,-66.93866667,43.60066667,36,release,3,2016-06-17,9
247,-66.76,43.50333333,37,release,9,2016-07-06,0
258,-67.12333333,44.10416667,38,release,11,2016-07-12,1
289,-67.12333333,44.10416667,39,release,11,2016-07-12,2
222,-67.11833333,44.13,40,release,10,2016-07-11,3
251,-66.93866667,43.60066667,41,release,3,2016-06-17,32
