"","TAG_NUMBER","plantReturnPlace","ReturnDate","ReturnVessel","ReturnGearType","ReturnCompany","Catch.plant","dataorigin","WEIRNO","portCode","OfficialReturnPlace","ReturnNAFO","Vessel","X_return","Y_return","Catch.DFO","Wharf_Name","Actual.Date"
"1","44089","Crow Island Weir",2019-08-27,"Caroline B","Weir","Connors",NA,"rawReturn.csv",609,NA,"CROW IS","4Xs","Caroline B",45.04116667,-66.88,12.37,NA,NA
"2","44358","Flagg Cove",2019-08-27,"Silver Harvester","Weir","Connors",NA,"rawReturn.csv",NA,25009,"4XU","4Xs","Silver Harvester",44.77433,-66.76,78,"North Head",NA
"3","44374","Cora Bell Weir Grand Manan",2019-08-21,"Silver Harvester","ShutOff","Connors",NA,"rawReturn.csv",NA,25009,"NORTH HEAD","4Xs","Silver Harvester",44.7564,-66.7342,27,"North Head",NA
"4","44639","Spruce Island Weir",2019-09-09,"Senator Neil","Weir","Connors",NA,"rawReturn.csv",741,NA,"SPRUCE IS COVE","4Xs","Senator Neil",45.02566667,-66.86,8.44,NA,NA
"5","44790","Tuckers Cove",2019-08-15,"Silver King","Weir_ShutOff","Connors",NA,"rawReturn.csv",NA,25303,"BLACKS HARBOUR","4Xs","Silver King",45.019872,-66.844866,33.75,"Black's Harbour",NA
"6","204314","Spruce Island Weir",2019-09-09,"Senator Neil","Weir","Connors",NA,"rawReturn.csv",741,NA,"SPRUCE IS COVE","4Xs","Senator Neil",45.02566667,-66.86,8.44,NA,NA
"7","430067","Bradfords Cove Weir",2016-09-27,"Andrew & Deane","Weir","Connors",NA,"rawReturn.csv",364,NA,"BRADSFORDS COVE","4Xs","Andrew & Deane",44.62983333,-66.9,45,NA,NA
"8","442133","Mumps weir Shutoff",2018-08-18,"Capelco","Weir_ShutOff","Sealife",NA,"rawReturn.csv",NA,13611,"SAULNIERVILLE","4Xs","Capelco",44.67364,-66.6866,65.25,"Saulnierville",NA
"9","442510","The Mumps Weir",2018-07-09,"Michael Eileen","Weir","CapeBreeze",NA,"rawReturn.csv",376,NA,"DUCK IS LEDGE","4Xs","Michael Eileen",44.67266667,-66.69,22.5,NA,NA
"10","442788","Mill Cove Back Bay",2018-08-10,"Silver King","ShutOff","Sealife",NA,"rawReturn.csv",NA,13611,"SAULNIERVILLE","4Xs","Silver King",44.93033,-66.9047,39.37,"Saulnierville",NA
"11","443959","Flagg Cove",2019-08-28,"Andrew & Deane","Weir","Connors",NA,"rawReturn.csv",851,NA,"Pipe Dream","4Xs","Andrew & Deane",44.74283333,-66.75,11.25,NA,NA
"12","444728","Bradfords Cove Weir",2017-09-12,"Senator Neil","Weir","Connors ",NA,"rawReturn.csv",364,NA,"BRADSFORDS COVE","4Xs","Senator Neil",44.62983333,-66.9,51.75,NA,NA
