id,X,Y,group,type,date,daysAtLarge
1,-67.11666667,44.11666667,48,return,2016-08-09,6
2,-67.01666667,44.25,87,return,2016-08-29,48
3,-64.99533333,45.15466667,53,return,2016-08-15,42
4,-67.02166667,44.25316667,84,return,2016-08-25,22
5,-66.35,43.41666667,29,return,2016-08-24,50
6,-66.35,43.43333333,19,return,2016-08-16,6
7,-66.35,43.41666667,26,return,2016-08-23,12
8,-67.02333333,44.28333333,93,return,2016-09-02,1
9,-66.96666667,44.28333333,119,return,2016-10-14,74
10,-65.03333333,45.15,143,return,2016-08-16,42
11,-66.35,43.43333333,20,return,2016-08-17,6
12,-66.33333333,43.46666667,9,return,2016-09-02,60
13,-66.897,44.62983333,114,return,2016-09-28,44
14,-66.37566667,44.32016667,118,return,2016-10-05,49
15,-66.33333333,43.46666667,135,return,2016-09-02,22
16,-66.66666667,43.51666667,12,return,2016-07-05,1
17,-66.33333333,43.36666667,142,return,2016-08-22,12
18,-67.03466667,44.256,94,return,2016-09-06,35
19,-67.13616667,44.127,78,return,2016-08-22,42
20,-66.28333333,44.31666667,116,return,2016-10-03,52
21,-66.77616667,44.423,111,return,2016-09-20,56
22,-67.03333333,44.23333333,104,return,2016-09-08,44
23,-67.0095,44.28433333,90,return,2016-09-01,52
24,-66.65933333,44.64866667,125,return,2016-11-01,99
25,-67.05,44.21666667,83,return,2016-08-25,44
26,-66.77616667,44.423,115,return,2016-09-30,87
27,-66.73883333,44.44316667,130,return,2016-11-16,113
28,-66.35,43.41666667,25,return,2016-08-23,12
29,-67.11416667,44.265,64,return,2016-08-17,2
30,-67.01666667,44.16666667,98,return,2016-09-06,33
31,-67.11516667,44.30333333,70,return,2016-08-18,38
32,-67.11416667,44.265,60,return,2016-08-17,2
33,-66.35,43.43333333,126,return,2016-11-07,88
34,-66.75,44.38333333,109,return,2016-09-15,29
35,-66.34833333,43.46,2,return,2016-08-14,3
36,-66.96666667,44.31666667,67,return,2016-08-17,2
37,-66.99833333,44.258,81,return,2016-08-23,19
38,-66.35,43.43333333,127,return,2016-11-07,95
39,-66.35,43.41666667,24,return,2016-08-23,13
40,-66.77616667,44.423,112,return,2016-09-20,56
41,-66.8,44.71666667,129,return,2016-11-09,121
42,-66.35,43.43333333,14,return,2016-08-15,8
43,-67.03466667,44.256,99,return,2016-09-06,33
44,-66.65,44.65,120,return,2016-10-14,80
45,-66.75,43.5,147,return,2016-06-21,6
46,-67.1285,44.095,47,return,2016-08-08,28
47,-67.11666667,44.25,106,return,2016-09-10,61
48,-66.41666667,43.33333333,17,return,2016-08-12,1
49,-66.96666667,44.31666667,61,return,2016-08-17,15
50,-66.9,43.6,36,return,2016-06-26,9
51,-66.31666667,43.41666667,138,return,2016-08-25,15
52,-67.13616667,44.127,77,return,2016-08-22,41
53,-66.33333333,43.45,71,return,2016-08-18,11
54,-67.11666667,44.25,105,return,2016-09-09,45
55,-66.99916667,44.258,75,return,2016-08-20,17
56,-67.12466667,44.1445,49,return,2016-08-11,31
57,-66.63333333,44.61666667,121,return,2016-10-17,67
58,-67.02333333,44.28333333,92,return,2016-09-02,38
59,-66.98333333,44.26666667,74,return,2016-08-19,4
60,-67,44.28333333,96,return,2016-09-06,5
61,-66.95416667,44.32483333,89,return,2016-08-31,51
62,-66.34166667,43.45833333,133,return,2016-09-13,34
63,-66.35,43.43333333,18,return,2016-08-15,4
64,-67.11416667,44.265,65,return,2016-08-17,2
65,-66.99833333,44.258,76,return,2016-08-22,28
66,-67.03333333,44.23333333,103,return,2016-09-08,24
67,-66.35,43.46666667,108,return,2016-09-14,34
68,-66.4,43.38333333,132,return,2016-08-04,2
69,-66.33333333,43.36666667,141,return,2016-08-22,11
70,-67.13616667,44.127,80,return,2016-08-23,19
71,-66.31666667,43.45,23,return,2016-08-22,10
72,-67.03466667,44.256,97,return,2016-09-06,33
73,-66.33333333,43.45,136,return,2016-08-31,30
74,-67.12333333,44.10416667,40,return,2016-07-14,3
75,-66.33333333,43.45,30,return,2016-08-25,14
76,-66.31666667,43.45,22,return,2016-08-22,11
77,-67.1,44.08333333,43,return,2016-07-25,14
78,-66.96666667,44.31666667,68,return,2016-08-17,37
79,-66.33333333,43.46666667,1,return,2016-08-16,15
80,-67.11416667,44.265,59,return,2016-08-17,36
81,-67.13616667,44.127,79,return,2016-08-23,6
82,-67.1475,44.11866667,45,return,2016-07-28,3
83,-66.96666667,44.26666667,21,return,2016-08-19,17
84,-64.96666667,45.15,62,return,2016-08-17,10
85,-67.1,44.15,44,return,2016-07-27,42
86,-66.31666667,43.41666667,137,return,2016-08-25,51
87,-66.35,43.41666667,28,return,2016-08-24,13
88,-66.37083333,44.2375,5,return,2016-09-14,35
