id,Sample,No_jars,Lon1,Lat1,Lon2,Lat2,AirTemp,Speed,Heading,TideDirection,CTD_ID,CTD_Lat,CTD_Lon,WindDirection,WindSpeed,Swell,FlowReading1,FlowReading2,Observers,DepthDiscD,DepthDiscA,Ground,Survey.No,Date,StartTime,Fishing,Vessel.No,ExtraBox,EVessel,NVessel,PlanktonVessel,Tow_No,Time1,Time2,TowTime,Gear,Net,TowType,AvgTowDepth,MaxTowDepth,AvgTemp,AvgSalinity,SurfaceTemp,WaterDepth1,WaterDepth2,FlowmeterType
SB2017-01,NA,1,-65.132,45.0885,-65.2168,45.1419,12,4,92,NA,10K100766_20170622_000532,,,SW,15,> 1,NA,NA,Jenna/Jack,NA,NA,NA,1,22/06/2017,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,3:03:00,3:13:00,0:10:00,1/500,1,Surface Tow,1,3,8.003,31.382,8.1,58.5,NA,NA
SB2017-02,NA,1,-65.2667,45.094583,NA,NA,10,4,45,NA,NA,,,SW,5,0,NA,NA,Jeremy/Kyle,NA,NA,NA,3,15/07/2017,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,19:32:00,NA,NA,1/500,1,Surface Tow,NA,NA,NA,NA,9.8,80.5,NA,NA
SB2017-03,NA,1,NA,NA,-64.9216,45.1943,NA,4.5,NA,NA,10K100766_20170729_230802,,,0,0,0,970,1720,Jenna,NA,NA,NA,4,29/07/2017,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,3:20:00,3:30:00,0:10:00,1/500,1,Surface Tow,19,37,10.574,31.527,12.6,NA,NA,HydroBios
SB2017-04,NA,1,-65.2333,45.2533,-65.21,45.17333333,NA,6,NA,NA,10K100766_20170813_042904,,,0,0,0,1761,6376,Jenna,NA,NA,NA,5,13/08/2017,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,1:13:00,1:23:00,0:10:00,1/500,1,Surface Tow,1,4,11.769,31.306,12.2,52,94,HydroBios
SB2017-05,NA,1,-65.26166667,45.09333333,NA,NA,NA,NA,94,NA,NA,,,NA,NA,NA,NA,NA,Jeremy/Kyle,NA,NA,NA,6,26/08/2017,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,19:30:00,19:40:00,0:10:00,1/500,1,Surface Tow,NA,NA,NA,NA,12.3,79,NA,NA
SB2017-06,NA,1,-65.235,45.0583,NA,NA,NA,3.7,85,NA,NA,,,NA,NA,NA,NA,NA,Jeremy/Kyle,NA,NA,NA,7,08/09/2017,NA,NA,NA,NA,NA,NA,Margaret Elizabeth,1,19:38:00,19:48:00,0:10:00,1/500,1,Surface Tow,NA,NA,NA,NA,NA,62,NA,NA
GB2017-01,NA,3,-66.3148,43.5641,-66.319,43.52292,NA,4,NA,NA,10K100766_20170821_224906,,,0,0,0,6385,10641,Jenna,NA,NA,NA,1,21/08/2017,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:20:00,19:31:00,0:11:00,1/500,1,Surface Tow,0.6,1,11.09,31.955,12.9,67,60,HydroBios
GB2017-02,NA,NA,-66.3776,43.5679,-66.3804,43.559,NA,4,NA,NA,10K100766_20170908_224604,,,0,0,02-Jan,10654,13647,Jenna,NA,NA,NA,2,08/09/2017,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:27:00,19:36:00,0:09:00,1/500,1,Surface Tow,2,7,13.896,32.17,14.1,79,77,HydroBios
GB2017-03,NA,NA,-66.3429,43.5689,-66.3486,43.5697,NA,4,NA,NA,10K100766_20170917_225337,,,NA,NA,NA,13657,17312,Jenna,NA,NA,NA,3,17/09/2017,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:33:00,19:41:00,0:08:00,1/500,1,Surface Tow,NA,NA,NA,NA,14.8,75,80,HydroBios
GB2017-04,NA,NA,-66.3667,43.55912,-66.3793,43.57415,NA,4,NA,NA,NA,,,NA,NA,0.5,17315,21726,Jenna,NA,NA,NA,4,01/10/2017,NA,NA,NA,NA,NA,NA,Lady Melissa,1,19:09:00,19:19:00,0:10:00,1/500,1,Surface Tow,0.5,1,NA,NA,NA,80,75,HydroBios
