set,X,Y,RELEASE_DATE,RELEASE_VESSEL,Tagger,no_tags,Year,month,Julian,week
1,-66.7742,43.5015,2016-06-15,Lady Melissa,Cody Mark,375,2016,6,167,24
2,-66.935,43.6117,2016-06-16,Lady Melissa,Cody Mark,225,2016,6,168,24
3,-66.9387,43.6007,2016-06-17,Lady Melissa,Cody Mark,499,2016,6,169,25
4,-66.7633,43.4917,2016-06-21,Dual Venture,Cody Mark,199,2016,6,173,25
5,-66.8305,43.475,2016-06-21,Dual Venture,Cody Mark,14,2016,6,173,25
6,-66.9148,43.594,2016-06-28,Leroy and Barry,Cody Mark,234,2016,6,180,26
7,-66.9362,43.605,2016-06-28,Leroy and Barry,Cody Mark,250,2016,6,180,26
8,-66.7148,43.5083,2016-07-04,Sealife II,Cody Mark,250,2016,7,186,27
9,-66.7233,43.5,2016-07-04,Sealife II,Cody Mark,499,2016,7,186,27
10,-66.6783,43.545,2016-07-05,Sealife II,Cody Mark,249,2016,7,187,27
11,-66.7167,43.4483,2016-07-05,Sealife II,Cody Mark,376,2016,7,187,27
12,-66.76,43.5033,2016-07-06,Sealife II,Cody Mark,150,2016,7,188,27
13,-66.7723,43.5067,2016-07-06,Sealife II,Cody Mark,124,2016,7,188,27
14,-67.1183,44.13,2016-07-11,Canada 100,Nicole Seamone,1500,2016,7,193,28
15,-67.1233,44.1042,2016-07-12,Canada 100,Nicole Seamone,675,2016,7,194,28
16,-67.1485,44.1367,2016-07-25,Canada 100,Nicole Seamone,875,2016,7,207,30
17,-67.1493,44.1407,2016-07-26,Canada 100,Nicole Seamone,750,2016,7,208,30
18,-66.3963,43.4042,2016-08-01,Lady Melissa,Cody Mark,550,2016,8,214,31
19,-66.3952,43.3678,2016-08-02,Lady Melissa,Cody Mark,398,2016,8,215,31
20,-67.105,44.1733,2016-08-02,Canada 100,Nicole Seamone,800,2016,8,215,31
21,-66.3952,43.3908,2016-08-03,Lady Melissa,Cody Mark,400,2016,8,216,31
22,-67.121,44.125,2016-08-03,Canada 100,Nicole Seamone,725,2016,8,216,31
23,-66.3498,43.3775,2016-08-04,Lady Melissa,Cody Mark,450,2016,8,217,31
24,-67.1285,44.0895,2016-08-04,Canada 100,Nicole Seamone,675,2016,8,217,31
25,-66.3608,43.4535,2016-08-05,Lady Melissa,Cody Mark,600,2016,8,218,32
26,-66.3372,43.456,2016-08-07,Lady Janice,Cody Mark,450,2016,8,220,32
27,-66.3385,43.4618,2016-08-07,Lady Janice,Cody Mark,200,2016,8,220,32
28,-66.398,43.4248,2016-08-10,Lady Janice,Cody Mark,524,2016,8,223,32
29,-66.4175,43.352,2016-08-10,Lady Janice,Cody Mark,476,2016,8,223,32
30,-66.349,43.4623,2016-08-11,Lady Janice,Cody Mark,200,2016,8,224,32
31,-66.4197,43.3362,2016-08-11,Lady Janice,Cody Mark,649,2016,8,224,32
32,-66.4268,43.3127,2016-08-11,Lady Janice,Cody Mark,600,2016,8,224,32
33,-66.4655,43.3305,2016-08-11,Lady Janice,Cody Mark,650,2016,8,224,32
