id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,2716,45.311782,2155,10794,5472.760292,42433.10821,20220925, 19:55:04.3960,20220925, 22:19:06.3960,43.56564699,-66.4780151,43.23364633,-66.47819092,13.0.378.44817,20230120, 11:36:43.9840,BP_Sep25_2022,2954094.032,-54.30217837,38,
2,2,BP_T02,Transect,2716,33.5005,13190,21349,53452.39303,90396.4967,20220925, 22:59:05.3960,20220926, 01:15:04.3960,43.23356204,-66.34417003,43.56541871,-66.34432761,13.0.378.44817,20230120, 11:36:43.9840,BP_Sep25_2022,2226095.335,-51.1348343,38,
3,3,BP_T03,Transect,2716,34.650279,24530,30827,103593.7549,131403.6361,20220926, 02:08:05.3960,20220926, 03:53:07.3970,43.50013128,-66.21499932,43.25011336,-66.21679,13.0.378.44817,20230120, 11:36:43.9840,BP_Sep25_2022,1743362.361,-54.08590025,38,
4,1,C1_T01,Transect,2717,46.960782,678,9388,7230.356456,47816.63438,20220925, 19:53:34.2020,20220925, 22:18:44.2010,43.56853528,-66.49460528,43.23423651,-66.49566309,13.0.378.44817,20230120, 11:37:01.7740,C1_Sep25_2022,3417263.821,-55.9177486,38,
5,2,C1_T02,Transect,2717,32.321771,11703,20140,59408.47618,99146.6211,20220925, 22:57:19.2010,20220926, 01:17:56.2010,43.23477314,-66.35928771,43.56637791,-66.35831536,13.0.378.44817,20230120, 11:37:01.7740,C1_Sep25_2022,2300078.16,-56.50361251,38,
6,3,C1_T03,Transect,2717,36.56074,22431,29022,112303.8031,143045.9539,20220926, 01:56:07.2010,20220926, 03:45:58.2010,43.50219729,-66.23014167,43.24501215,-66.22895189,13.0.378.44817,20230120, 11:37:01.7740,C1_Sep25_2022,2006404.328,-54.88318444,38,
7,1,FM_T01,Transect,2718,34.677872,505,9619,1196.433814,39622.42623,20220926, 20:47:40.1850,20220926, 23:19:34.1850,43.56667541,-66.38880791,43.23346144,-66.38866511,13.0.378.44817,20230120, 11:37:19.5170,FM_Sep25_2022,2372650.923,-48.76979086,38,
8,2,FM_T02,Transect,2718,40.764741,11844,20458,50599.32914,88571.56742,20220926, 23:56:41.1860,20220927, 02:20:15.1840,43.23541435,-66.25556003,43.56760208,-66.25497382,13.0.378.44817,20230120, 11:37:19.5170,FM_Sep25_2022,2817589.627,-55.36280923,38,
9,3,FM_T03,Transect,2718,25.255447,22843,29382,101164.4443,130291.9813,20220927, 03:00:00.1840,20220927, 04:48:59.1850,43.49939523,-66.1373752,43.24611249,-66.1376772,13.0.378.44817,20230120, 11:37:19.5170,FM_Sep25_2022,1211174.725,-54.38682138,38,
10,1,LB_T01,Transect,2719,39.319939,154,9166,855.909739,39365.81374,20220925, 19:52:19.5630,20220925, 22:34:14.5620,43.56663035,-66.43373964,43.23291815,-66.43356089,13.0.378.44817,20230120, 11:37:37.4530,LB_Sep25_2022,2760222.856,-50.47114235,38,
