id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
1,1,BP_T01,Transect,2629,6,1,40.460081,2456,2689,5022.980843,5998.346391,20221003, 18:34:41.2020,20221003, 18:38:34.2020,45.08517196,-65.24719279,45.08737994,-65.23521135,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,5.84E-07,38,
2,1,BP_T01,Transect,2629,7,1,38.76231,2690,2928,6002.576123,6997.361087,20221003, 18:38:35.2140,20221003, 18:42:33.2020,45.08738903,-65.23515919,45.09128526,-65.22391595,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,9.88E-07,38,
3,1,BP_T01,Transect,2629,8,1,37.831732,2929,3167,7001.509524,7997.371482,20221003, 18:42:34.2020,20221003, 18:46:32.2030,45.09129921,-65.22386708,45.0947849,-65.21222095,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,1.19E-06,38,
4,1,BP_T01,Transect,2629,9,1,35.174825,3168,3409,8001.558334,8996.012744,20221003, 18:46:33.2020,20221003, 18:50:34.2030,45.09480086,-65.21217278,45.09849742,-65.20067311,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,1.42E-06,38,
5,1,BP_T01,Transect,2629,10,1,33.805088,3410,3652,9000.155492,9996.345103,20221003, 18:50:35.2030,20221003, 18:54:37.2020,45.09851239,-65.20062491,45.10226315,-65.18913684,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,2.11E-06,38,
6,1,BP_T01,Transect,2629,11,1,37.508815,3653,3895,10000.45046,10996.61867,20221003, 18:54:38.2020,20221003, 18:58:40.2020,45.10227979,-65.18909026,45.10615078,-65.17768037,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,3.28E-06,38,
7,1,BP_T01,Transect,2629,12,1,39.032835,3896,4133,11000.77614,11997.70356,20221003, 18:58:41.2140,20221003, 19:02:38.2020,45.10616606,-65.17763215,45.1099507,-65.16615599,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,4.19E-06,38,
8,1,BP_T01,Transect,2629,13,1,40.025948,4134,4369,12001.96653,12996.84827,20221003, 19:02:39.2020,20221003, 19:06:34.2020,45.10996512,-65.1661058,45.11369644,-65.15462736,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,4.01E-06,38,
9,1,BP_T01,Transect,2629,14,1,38.233778,4370,4607,13001.11712,13999.00123,20221003, 19:06:35.2030,20221003, 19:10:32.2020,45.11371245,-65.15457805,45.11756078,-65.14313202,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,3.92E-06,38,
10,1,BP_T01,Transect,2629,15,1,36.858016,4608,4844,14003.05652,14998.87109,20221003, 19:10:33.2020,20221003, 19:14:29.2020,45.11757639,-65.14308545,45.12137637,-65.1316332,13.0.378.44817,20230116, 15:10:35.1070,BP_Oct03_2022,2.96E-06,38,
